,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2014-03-31,2015-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,245950.000,246819.000,243383.000,345625.000
AccountsPayableCurrent,224905.000,,,,,,
AccountsPayableRelatedPartiesCurrent,,,,,,215370.000,53084.000
AccruedLiabilitiesCurrent,,256229.000,252737.000,436644.000,375618.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,4492.000
AdditionalPaidInCapital,22821391.000,22868334.000,23411084.000,23415251.000,23621327.000,25094309.000,27232532.000
Assets,190381.000,100049.000,105079.000,102614.000,102183.000,162975.000,534448.000
AssetsCurrent,40381.000,49.000,5079.000,2614.000,2183.000,12119.000,567.000
Cash,,,1079.000,,,11757.000,567.000
CashAndCashEquivalentsAtCarryingValue,381.000,49.000,1079.000,2251.000,1230.000,,567.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,-60000.000,-60000.000,-60000.000,-60000.000,,
CommonStockSharesAuthorized,200000000.000,100000000.000,100000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,47253268.000,50344097.000,58244247.000,58244247.000,73595293.000,84716809.000,142081962.000
CommonStockSharesOutstanding,47253268.000,50344097.000,58244247.000,58244247.000,73595293.000,84716809.000,142081962.000
CommonStockValue,47253.000,50344.000,58244.000,58244.000,73595.000,84717.000,142083.000
ConstructionInProgressGross,,,,,,,20747.000
ConvertibleDebtCurrent,,,37500.000,70000.000,53693.000,47500.000,240802.000
ConvertibleDebtNoncurrent,438065.000,,,,,,
DebtInstrumentUnamortizedDiscountPremiumNet,,,,,37207.000,,
DeferredCompensationEquity,,0.000,,,,,
DeferredCompensationSharebasedArrangementsLiabilityCurrentAndNoncurrent,-1898000.000,,,,,,
Deposits,,,,,,10000.000,
DerivativeFairValueOfDerivativeLiability,,,,,107575.000,,
DerivativeLiabilities,,,,,50588.000,,90117.000
DerivativeLiabilitiesCurrent,,107575.000,,0.000,50588.000,,
DerivativeLiabilityFairValueNet,,,0.000,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,-23943643.000,-24324071.000,-24401475.000,-24597457.000,-26096304.000,
DueToRelatedPartiesCurrent,,328000.000,328000.000,328000.000,328000.000,,
DueToRelatedPartiesNoncurrent,291500.000,0.000,,,,,
EquityMethodInvestments,,,,,,,28250.000
FinancialLiabilitiesFairValueDisclosure,,,,,,,0.000
IntangibleAssetsNetExcludingGoodwill,,,,100000.000,100000.000,,
InvestmentsAndOtherNoncurrentAssets,,,,,,26139.000,56344.000
Liabilities,954470.000,1175014.000,1009822.000,1080594.000,1054718.000,1068753.000,1389628.000
LiabilitiesAndStockholdersEquity,190381.000,100049.000,105079.000,102614.000,102183.000,162975.000,534448.000
LiabilitiesCurrent,224905.000,1175014.000,,1080594.000,1054718.000,506253.000,1389628.000
LoansReceivableNet,,,,,,3500.000,
MineralRights,,100000.000,100000.000,,,100000.000,100000.000
NonredeemableNoncontrollingInterest,,,,,,,-24979.000
NotesAndLoansReceivableNetCurrent,,0.000,,,,,
NotesReceivableNet,40000.000,,,,,,
OtherAssetsNoncurrent,75000.000,,,,,,
OtherLiabilities,,,,,,,660000.000
OtherLiabilitiesFairValueDisclosure,,,,,,,660000.000
OtherReceivablesNetCurrent,0.000,0.000,,,,,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000
PreferredStockSharesIssued,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,,10000000.000
PreferredStockSharesOutstanding,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,,10000000.000
PreferredStockValue,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000
PrepaidExpenseAndOtherAssetsCurrent,,,,,,,0.000
PrepaidExpenseCurrent,,,4000.000,363.000,953.000,362.000,
PropertyPlantAndEquipmentNet,0.000,,,,,11217.000,349287.000
RetainedEarningsAccumulatedDeficit,-21969638.000,,,,,,-28217316.000
StockholdersEquity,-34524.000,-1074965.000,-904743.000,-977980.000,-952535.000,-905778.000,-855180.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-764089.000,-1074965.000,-904743.000,-977980.000,-952535.000,-905778.000,-855180.000
