,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2014-03-31,2016-09-30
AmortizationOfDebtDiscountPremium,,48568.000,,,,14332.000,,,36388.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,200000000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-8713.000,,,,7117.000,,,,
ChangeInUnrealizedGainLossOnFairValueHedgingInstruments1,,,,,,,,,-12414.000,
CostOfGoodsAndServicesSold,,,,,,,,,,498.000
DebtConversionConvertedInstrumentRate,,,,,,,,,0.080,
DepreciationExpense,,50.000,,,,,,,,
DerivativeGainLossOnDerivativeNet,,,,,,,,,-60026.000,355408.000
EarningsPerShareBasic,,-0.002,,,,,,,-0.000,
EarningsPerShareBasicAndDiluted,0.000,,0.000,0.000,,0.000,,,,-0.000
EarningsPerShareDiluted,,-0.002,,,,,,,-0.000,
GeneralAndAdministrativeExpense,194068.000,493281.000,52706.000,540111.000,-23560.000,56883.000,19801.000,80886.000,61534.000,165543.000
GrossProfit,,,,,,,,,,171.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,,,,-241355.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-791032.000,,,,-154019.000,,,,-350797.000
IncomeLossFromContinuingOperationsPerBasicShare,,-0.002,,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,-0.002,,,,,,,,
IncomeLossFromExtraordinaryItemsNetOfTaxPerBasicAndDilutedShare,,,,,,,0.000,-0.000,,
IncomeTaxExpenseBenefit,,0.000,,,,0.000,,,,
IncreaseDecreaseInAccountsPayable,,0.000,,,,,,,,
IncreaseDecreaseInAccountsReceivable,,0.000,,,,,,,,
IncreaseDecreaseInAccruedInterestReceivableNet,,,,,,0.000,,,,
IncreaseDecreaseInAccruedLiabilities,,60835.000,,,,60836.000,,,-19992.000,
IncreaseDecreaseInDerivativeLiabilities,,,,,,-18401.000,,,,
IncreaseDecreaseInInterestPayableNet,,,,,,31430.000,,,,
InterestExpense,-90201.000,-341669.000,-110792.000,-103542.000,-149789.000,-115537.000,-91107.000,125792.000,167407.000,540833.000
InterestExpenseDebt,,,,,,,,,113434.000,
InterestPaid,,,,,,,,,80000.000,
InvestmentIncomeInterest,43750.000,43750.000,43750.000,0.000,-87500.000,0.000,0.000,0.000,,
NetCashProvidedByUsedInFinancingActivities,,120350.000,,,,64000.000,,,115000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,120350.000,,,,64000.000,,,115000.000,
NetCashProvidedByUsedInInvestingActivities,,0.000,,,,0.000,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,0.000,,,,0.000,,,,
NetCashProvidedByUsedInOperatingActivities,,-129063.000,,,,-56883.000,,,-115000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-129063.000,,,,-56883.000,,,-115000.000,
NetIncomeLoss,,-791032.000,-115434.000,-643653.000,-213728.000,-154019.000,-122771.000,-197077.000,-241355.000,-350797.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,,0.000,,,,
NoncashOrPartNoncashAcquisitionInterestAcquired1,,,,,,,,,0.900,
NonoperatingIncomeExpense,-44431.000,-297751.000,-62828.000,-103542.000,,,,,,355408.000
OperatingExpenses,194068.000,493281.000,52706.000,540111.000,-23560.000,56883.000,19801.000,80886.000,61534.000,706376.000
OperatingIncomeLoss,-194068.000,-493281.000,-52706.000,-540111.000,23560.000,-56883.000,-19801.000,-80886.000,-61534.000,
OtherExpenses,,,,,,,,,241355.000,
OtherIncome,,,,,,,0.000,9601.000,,
OtherNonoperatingExpense,,,,,,-97136.000,-102970.000,116191.000,,
OtherNonoperatingIncome,,168.000,4314.000,0.000,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,0.000,,,,0.000,,,,
ProceedsFromContributedCapital,,,,,,0.000,,,,
ProceedsFromConvertibleDebt,,,,,,,,,115000.000,
ProceedsFromIssuanceOfCommonStock,,85350.000,,,,,,,,
ProfitLoss,-238499.000,-791032.000,,,,-154019.000,,,-241355.000,
Revenues,,,,,,0.000,,,,669.000
SalesRevenueNet,,,,,,0.000,,,,669.000
ShareBasedCompensation,,299000.000,,,,,,,,
StockIssuedDuringPeriodSharesAcquisitions,,,,,,,,,50000000.000,
StockIssuedDuringPeriodSharesOther,,,,,,,,,25000000.000,
StockholdersEquityNoteStockSplitConversionRatio1,,,,,,,,,0.100,
WeightedAverageNumberOfDilutedSharesOutstanding,,447293751.000,,,,,,,250000000.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,764962300.000,783662300.000,1074513863.000,74317927.000
WeightedAverageNumberOfSharesOutstandingBasic,255073709.000,447293751.000,,,,,,,,
