,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2013-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,89000.000,189000.000,,-302000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,59000.000,46000.000,,27000.000
AllowanceForLoanAndLeaseLossesAdjustmentsNet,,,,-6674000.000,-6063000.000
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,,981000.000,1213000.000
AllowanceForLoanAndLeaseLossesWriteOffs,,,,-7655000.000,-7276000.000
AmortizationOfAcquiredIntangibleAssets,,,,,512000.000
AmortizationOfIntangibleAssets,102000.000,90000.000,90000.000,368000.000,452000.000
AmortizationOfMortgageServicingRightsMSRs,,,,,-431000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,418242.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,-5320000.000,719000.000,,
BankOwnedLifeInsuranceIncome,,,,,373000.000
BrokerageCommissionsRevenue,657000.000,532000.000,664000.000,875000.000,714000.000
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,14600000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-9262000.000,-13151000.000,,11849000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,0.000,0.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,0.000,0.000,,
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldAccretion,,,,,-5784000.000
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldReclassificationsToNonaccretableDifference,,,,,-1111000.000
CommonStockDividendsPerShareCashPaid,,0.050,0.050,,0.050
ComprehensiveIncomeNetOfTax,,10252000.000,2458000.000,10920000.000,6572000.000
Depreciation,,1365000.000,1380000.000,,1366000.000
DerivativeGainLossOnDerivativeNet,,,,,313000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,6540000.000,,,,
DividendsCommonStock,,-826000.000,-826000.000,,-826000.000
DividendsCommonStockCash,,-826000.000,-826000.000,,-826000.000
DividendsPreferredStock,812000.000,813000.000,813000.000,812000.000,813000.000
DividendsPreferredStockCash,,-813000.000,-813000.000,,-813000.000
EarningsPerShareBasic,-2.660,0.880,0.050,0.700,0.260
EarningsPerShareDiluted,-2.660,0.880,0.050,0.700,0.260
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,0.380,0.334
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,100000.000,100000.000
EquipmentExpense,1838000.000,1870000.000,1809000.000,1893000.000,2068000.000
FDICIndemnificationAssetCashPaymentsReceived,,,,,21200000.000
FDICIndemnificationAssetPeriodIncreaseDecrease,,,,,3339000.000
FeesAndCommissionsDepositorAccounts,6982000.000,7099000.000,7302000.000,7558000.000,7263000.000
FeesAndCommissionsFiduciaryAndTrustActivities,1116000.000,1192000.000,1081000.000,1078000.000,1067000.000
ForeclosedRealEstateExpense,800000.000,1541000.000,530000.000,134000.000,924000.000
