,2011-09-30,2012-09-30,2013-09-30,2014-09-30,2015-09-30,2016-09-30
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,7000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,264000.000,879000.000,3323000.000,8446000.000,4733000.000,2831000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,24000.000,0.000,0.000
AdvertisingExpense,,9000.000,290000.000,752000.000,100000.000,600000.000
AllocatedShareBasedCompensationExpense,,,,,,2831000.000
AmortizationOfAcquiredIntangibleAssets,,871000.000,,,,
AmortizationOfIntangibleAssets,,,1811000.000,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,123105.000,0.000,11059.000,259424.000,384312.000
BusinessAcquisitionsProFormaNetIncomeLoss,,,-6542000.000,,-6542000.000,
BusinessAcquisitionsProFormaRevenue,,,33271000.000,,33271000.000,
BusinessCombinationSeparatelyRecognizedTransactionsAdditionalDisclosuresAcquisitionCostExpensed,,,1000000.000,,,
CapitalizedComputerSoftwareAdditions,,54000.000,440000.000,250000.000,,
CapitalizedComputerSoftwareAmortization,,38000.000,120000.000,600000.000,,
CashAcquiredFromAcquisition,,,383000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,1331000.000,338000.000,1590000.000,37356000.000,-12506000.000,-7128000.000
ComprehensiveIncomeNetOfTax,,,-4359000.000,-22725000.000,-50142000.000,-14523000.000
ConversionGainsAndLossesOnForeignInvestments,,,,-76000.000,-100000.000,-100000.000
CostOfServicesMaintenanceCosts,2537000.000,2530000.000,2440000.000,3351000.000,3122000.000,2177000.000
CostsAndExpenses,17818000.000,24463000.000,34113000.000,56752000.000,82663000.000,43591000.000
CurrentFederalTaxExpenseBenefit,,4000.000,-4000.000,-8000.000,-53000.000,-66000.000
CurrentForeignTaxExpenseBenefit,,25000.000,0.000,,,-16000.000
CurrentIncomeTaxExpenseBenefit,,50000.000,-5000.000,4000.000,-57000.000,-94000.000
CurrentStateAndLocalTaxExpenseBenefit,,21000.000,-1000.000,12000.000,-4000.000,-12000.000
DeferredFederalIncomeTaxExpenseBenefit,,-391000.000,-1070000.000,-4890000.000,5975000.000,4766000.000
DeferredForeignIncomeTaxExpenseBenefit,,,-83000.000,176000.000,-3221000.000,861000.000
DeferredIncomeTaxExpenseBenefit,,,-83000.000,-523000.000,-2667000.000,1567000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,-3000.000,-293000.000,-882000.000,853000.000,397000.000
DeferredTaxExpenseFromStockOptionsExercised,,,61000.000,,,
DepreciationAndAmortization,,137000.000,145000.000,158000.000,300000.000,400000.000
DepreciationDepletionAndAmortization,753000.000,1220000.000,2327000.000,4237000.000,2857000.000,2548000.000
EarningsPerShareBasic,0.020,0.170,-0.630,-2.240,-4.380,-1.240
EarningsPerShareDiluted,0.020,0.150,-0.630,-2.240,-4.380,-1.240
EffectOfExchangeRateOnCashAndCashEquivalents,-128000.000,112000.000,-342000.000,-91000.000,-137000.000,2000.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,0.340,0.340,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,-7000.000,,
ExtinguishmentOfDebtGainLossNetOfTax,,,,-795000.000,,
FinitelivedIntangibleAssetsAcquired1,,,15840000.000,,,
ForeignCurrencyTransactionGainBeforeTax,,,,,,100000.000
ForeignCurrencyTransactionGainLossBeforeTax,89000.000,-126000.000,-41000.000,-76000.000,-78000.000,-74000.000
ForeignCurrencyTransactionGainLossRealized,,-126000.000,41000.000,,,
ForeignCurrencyTransactionLossBeforeTax,,,,342000.000,400000.000,
GainLossOnDispositionOfAssets,,,-2000.000,,,
GainLossOnDispositionOfAssets1,,,374000.000,,,
GainLossOnDispositionOfProperty,,-1000.000,,,,
GainLossOnSaleOfBusiness,,,374000.000,,,
GeneralAndAdministrativeExpense,4274000.000,4610000.000,6793000.000,9181000.000,8599000.000,9636000.000
GoodwillAndIntangibleAssetImpairment,,,,,32009000.000,
GoodwillImpairmentLoss,,,,,21698000.000,
GoodwillImpairmentLossNetOfTax,,,,,400000.000,
GoodwillSubsequentRecognitionOfDeferredTaxAsset,,,,,18000000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,1253000.000,-2139000.000,-17533000.000,-45812000.000,-11227000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,,-169000.000,-2146000.000,-5369000.000,-6699000.000,-1932000.000
