,2011-03-31,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,,42000000.000,,,,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,109000000.000,,79000000.000,75000000.000,96000000.000,,84000000.000,69000000.000,94000000.000,,81000000.000,70000000.000,72000000.000,,66000000.000,74000000.000,79000000.000,,44000000.000,74000000.000,93000000.000
AmortizationOfIntangibleAssets,128000000.000,128000000.000,123000000.000,122000000.000,127000000.000,127000000.000,125000000.000,136000000.000,140000000.000,134000000.000,129000000.000,126000000.000,125000000.000,119000000.000,116000000.000,113000000.000,109000000.000,104000000.000,99000000.000,98000000.000,87000000.000,89000000.000,80000000.000,79000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,814000000.000,,,,866000000.000,,,,175000000.000,,,,-1072000000.000,,,,869000000.000,,,,354000000.000,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,,,,,-348000000.000,,
CommonStockDividendsPerShareCashPaid,0.482,0.525,0.525,0.525,0.565,0.562,0.562,0.562,0.604,0.602,0.602,0.602,0.644,0.644,0.644,0.644,0.658,0.663,0.663,0.663,0.671,0.670,0.669,0.669
ComprehensiveIncomeNetOfTax,4734000000.000,83000000.000,,,,3959000000.000,4540000000.000,1985000000.000,2658000000.000,3790000000.000,3787000000.000,2341000000.000,1554000000.000,-141000000.000,910000000.000,-381000000.000,1530000000.000,1635000000.000,2618000000.000,3442000000.000,-314000000.000,2678000000.000,7296000000.000,3089000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,48000000.000,21000000.000,18000000.000,7000000.000,35000000.000,50000000.000,26000000.000,39000000.000,12000000.000,-18000000.000,35000000.000,79000000.000,34000000.000,22000000.000,33000000.000,7000000.000,43000000.000,21000000.000,34000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,334000000.000,3778000000.000,,4007000000.000,4561000000.000,2003000000.000,2665000000.000,3825000000.000,3837000000.000,2367000000.000,1593000000.000,-129000000.000,892000000.000,-346000000.000,1609000000.000,1669000000.000,2640000000.000,3475000000.000,-307000000.000,2721000000.000,7317000000.000,3123000000.000
CostOfGoodsSold,10005000000.000,11061000000.000,11125000000.000,10237000000.000,9968000000.000,10350000000.000,10880000000.000,10344000000.000,10854000000.000,10810000000.000,11130000000.000,10601000000.000,9919000000.000,10552000000.000,10083000000.000,9327000000.000,8914000000.000,8152000000.000,8460000000.000,7915000000.000,8382000000.000,8102000000.000,8298000000.000,7836000000.000
DeferredIncomeTaxExpenseBenefit,,126000000.000,,,,-18000000.000,,,,-11000000.000,,,,-15000000.000,,,,89000000.000,,,,-177000000.000,,
DepreciationAndAmortization,,743000000.000,,,,710000000.000,,,,771000000.000,,,,794000000.000,,,,731000000.000,,,,728000000.000,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,,13000000.000,-3000000.000,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,,,,,,,,,,,252000000.000,36000000.000,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,,,,,,,,,,,,,,,-0.210,-0.110,,-0.050,0.120,0.170,,-0.040,2.050,0.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,,,,,,,,,,,,,,,-0.200,-0.100,,-0.050,0.110,0.160,,-0.040,1.950,0.000
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,,,,,,,,,,,,,,,103000000.000,10000000.000,,,,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,,,,,,,,,,,,,,-1000000.000,2000000.000,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOtherExpense,,,,,,,,,,,,,,,740000000.000,308000000.000,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,,,,,854000000.000,410000000.000,,,,,,,,
DividendsPreferredStock,,,,,,,,,,,,,,60000000.000,,59000000.000,,65000000.000,64000000.000,63000000.000,63000000.000,63000000.000,61000000.000,60000000.000
EarningsPerShareBasic,1.010,1.080,0.590,0.850,1.300,1.000,1.460,0.920,0.660,,,,,0.710,0.850,0.770,0.170,0.930,1.160,1.000,0.710,0.990,3.010,0.960
EarningsPerShareDiluted,0.960,1.030,0.570,0.820,1.240,0.960,1.390,0.880,0.630,,,,,0.690,0.820,0.750,0.180,0.910,1.120,0.970,0.690,0.960,2.880,0.930
EffectOfExchangeRateOnCashAndCashEquivalents,,-75000000.000,,,,66000000.000,,,,-52000000.000,,,,-132000000.000,,,,-152000000.000,,,,-43000000.000,,
GainLossOnSaleOfBusiness,,,,,,17000000.000,,,,2000000.000,,,,234000000.000,,,,7000000.000,,,,75000000.000,,
GoodwillAndIntangibleAssetImpairment,,,,,,,,,,,,,,973000000.000,,,,,,,,,,
GoodwillImpairmentLoss,,,1308000000.000,,,,,,,,,,,863000000.000,,,,,,,,,,
GoodwillTranslationAndPurchaseAccountingAdjustments,,-1482000000.000,,,,589000000.000,,,,686000000.000,,,,-1478000000.000,,,,-10000000.000,,,,121000000.000,,
ImpairmentOfRealEstate,,,,220000000.000,,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperations,2873000000.000,3024000000.000,,,,,,,,,,,,1973000000.000,,,,,,,,,,
