,2011-06-30,2011-09-30,2012-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,-224000.000
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,7000.000
BankOwnedLifeInsuranceIncome,103000.000,100000.000,95000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-18558000.000
ComprehensiveIncomeNetOfTax,1651000.000,-1281000.000,312000.000
DepreciationAmortizationAndAccretionNet,,,185000.000
EarningsPerShareBasic,-0.030,0.060,0.050
EarningsPerShareDiluted,-0.030,0.050,0.050
EquipmentExpense,151000.000,141000.000,116000.000
FederalDepositInsuranceCorporationPremiumExpense,282000.000,225000.000,165000.000
FeesAndCommissionsDepositorAccounts,345000.000,354000.000,341000.000
FeesAndCommissionsOther,276000.000,174000.000,206000.000
ImpairmentOfInvestments,0.000,0.000,0.000
ImpairmentOfRealEstate,0.000,107000.000,252000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,94000.000,307000.000,291000.000
IncomeTaxExpenseBenefit,0.000,0.000,0.000
IncomeTaxesPaid,,,0.000
IncreaseDecreaseInAccruedInterestReceivableNet,,,-60000.000
IncreaseDecreaseInDeposits,,,7743000.000
IncreaseDecreaseInInterestPayableNet,,,-105000.000
IncreaseDecreaseInLoansHeldForSale,,,-2000.000
IncreaseDecreaseInOtherOperatingAssets,,,265000.000
IncreaseDecreaseInTimeDeposits,,,-10694000.000
InterestAndDividendIncomeOperating,4324000.000,4055000.000,3910000.000
InterestAndFeeIncomeLoansAndLeases,3468000.000,3349000.000,3124000.000
InterestExpense,1645000.000,1564000.000,1214000.000
InterestExpenseDeposits,1218000.000,1153000.000,807000.000
InterestExpenseFederalHomeLoanBankAndFederalReserveBankAdvancesLongTerm,383000.000,369000.000,364000.000
InterestExpenseSecuritiesSoldUnderAgreementsToRepurchase,2000.000,2000.000,0.000
InterestExpenseTrustPreferredSecurities,42000.000,40000.000,43000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,1979000.000,1831000.000,2496000.000
InterestIncomeExpenseNet,2679000.000,2491000.000,2696000.000
InterestIncomeFederalFundsSold,11000.000,10000.000,10000.000
InterestIncomeSecuritiesStateAndMunicipal,84000.000,88000.000,202000.000
InterestIncomeSecuritiesUSTreasuryAndOtherUSGovernment,558000.000,424000.000,371000.000
InterestPaid,,,1208000.000
LaborAndRelatedExpense,1361000.000,1272000.000,1289000.000
MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,560000.000,789000.000,406000.000
NetCashProvidedByUsedInFinancingActivities,,,-4344000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-4344000.000
NetCashProvidedByUsedInInvestingActivities,,,-14737000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-14737000.000
NetCashProvidedByUsedInOperatingActivities,,,523000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,523000.000
NetIncomeLoss,94000.000,307000.000,291000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-67000.000,146000.000,130000.000
NoninterestExpense,3228000.000,2994000.000,3308000.000
NoninterestIncome,1343000.000,1470000.000,1103000.000
NoninterestIncomeOtherOperatingIncome,59000.000,53000.000,55000.000
OccupancyNet,285000.000,262000.000,261000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,1557000.000,-1588000.000,21000.000
OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,-560000.000,-789000.000,-406000.000
OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeTax,0.000,,
OtherComprehensiveIncomeReclassificationAdjustmentForWriteDownOfSecuritiesIncludedInNetIncomeNetOfTax,0.000,0.000,0.000
OtherComprehensiveIncomeReclassificationAdjustmentForWriteDownOfSecuritiesIncludedInNetIncomeTax,0.000,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,2117000.000,-799000.000,427000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,0.000,,
OtherInterestAndDividendIncome,203000.000,184000.000,203000.000
OtherNoninterestExpense,1149000.000,987000.000,997000.000
PaymentsForProceedsFromLoansAndLeases,,,-9825000.000
PaymentsToAcquireAvailableForSaleSecurities,,,68551000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,48000.000
PreferredStockAccretionOfRedemptionDiscount,,,0.000
PreferredStockDividendsIncomeStatementImpact,161000.000,161000.000,161000.000
ProceedsFromIssuanceOfCommonStock,,,0.000
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,,,8467000.000
ProceedsFromPaymentsForInSecuritiesSoldUnderAgreementsToRepurchase,,,-1393000.000
ProceedsFromSaleOfAvailableForSaleSecurities,,,34542000.000
ProceedsFromSaleOfOtherRealEstate,,,1028000.000
ProfitLossFromRealEstateOperations,,,-480000.000
ProvisionForLoanAndLeaseLosses,700000.000,660000.000,200000.000
ShareBasedCompensation,,,7000.000
StockIssuedDuringPeriodSharesShareBasedCompensation,,,9379.000
StockIssuedDuringPeriodValueRestrictedStockAwardGross,,,0.000
TransferOfOtherRealEstate,,,756000.000
