,2011-06-30,2011-09-30
Assets,614831.000,712460.000
AssetsCurrent,223034.000,328411.000
CashAndCashEquivalentsAtCarryingValue,176623.000,196505.000
DueFromRelatedPartiesCurrent,43862.000,128315.000
GeneralPartnersCapitalAccount,-594516.000,-585085.000
LiabilitiesAndStockholdersEquity,614831.000,712460.000
LimitedPartnersCapitalAccount,1034323.000,1119204.000
OilAndGasPropertyFullCostMethodDepletion,3914429.000,3922177.000
OilAndGasPropertyFullCostMethodGross,4306226.000,4306226.000
OilAndGasPropertyFullCostMethodNet,391797.000,384049.000
OilAndGasReclamationLiabilityNoncurrent,175024.000,178341.000
PartnersCapital,439807.000,534119.000
PrepaidTaxes,2549.000,3591.000
