,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
AccountsAndNotesReceivableNet,,,160863000.000,161611000.000,148143000.000,87552000.000,,,,,,,,,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,216864000.000,188648000.000,165698000.000,140422000.000,165791000.000,143760000.000,153957000.000,160250000.000,171318000.000,156606000.000,185809000.000,193445000.000,216594000.000,189200000.000,216959000.000,205647000.000,225375000.000,178474000.000,202794000.000,194427000.000,238022000.000,195216000.000,224685000.000,192948000.000,239496000.000,193978000.000,222216000.000
AccountsPayableCurrent,,,,,3231000.000,,,,6412000.000,,,,24963000.000,,,,12102000.000,,,,25152000.000,,,,4367000.000,,
AccountsReceivableGrossCurrent,,,111798000.000,123278000.000,99686000.000,46851000.000,75135000.000,96216000.000,67259000.000,41269000.000,66966000.000,61906000.000,76057000.000,81330000.000,77088000.000,77311000.000,84923000.000,84358000.000,85007000.000,79873000.000,107041000.000,82404000.000,77760000.000,80034000.000,85554000.000,114137000.000,84383000.000
AccountsReceivableNetNoncurrent,,,,,,,7750000.000,5668000.000,7559000.000,3734000.000,5929000.000,3994000.000,3672000.000,6193000.000,5611000.000,4957000.000,3644000.000,3619000.000,1628000.000,1568000.000,4498000.000,11365000.000,17368000.000,14961000.000,12949000.000,13127000.000,13340000.000
AccruedIncomeTaxesCurrent,,,,,6488000.000,,,,2305000.000,,,,11062000.000,,,,9118000.000,,,,11024000.000,,,,18382000.000,,
AccruedIncomeTaxesNoncurrent,,,,,71218000.000,,,,51994000.000,,,,11396000.000,,,,18539000.000,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,657517000.000,640380000.000,650786000.000,658990000.000,662068000.000,668328000.000,638552000.000,635450000.000,626732000.000,623356000.000,564416000.000,568494000.000,576562000.000,584613000.000,546129000.000,552551000.000,560774000.000,569202000.000,577254000.000,581345000.000,592978000.000,604532000.000,613314000.000,612961000.000,623185000.000,634418000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,1431000.000,1427000.000,410000.000,290000.000,526000.000,242000.000,143000.000,320000.000,346000.000,165000.000,941000.000,541000.000,41000.000,106000.000,54000.000,55000.000,210000.000,1074000.000,770000.000,892000.000,926000.000,1391000.000,1174000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,-4468000.000,4497000.000,4414000.000,4348000.000,5229000.000,4911000.000,4846000.000,4781000.000,3218000.000,2810000.000,2831000.000,2780000.000,3401000.000,3110000.000,3084000.000,2844000.000,3066000.000,2984000.000,3093000.000,3331000.000,3716000.000,3686000.000,3647000.000
