,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccretionExpense,,,,,,,,,,,,,,,,,21000000.000,,,,,,,,,
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForRevisionInEstimates,3000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AccrualForEnvironmentalLossContingenciesPayments,-7000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,404000000.000,,,,292000000.000,,,,401000000.000,,,,347000000.000,,,,630000000.000,,,,450000000.000,,,,,
AmortizationOfDeferredHedgeGains,,,,,,,,,5000000.000,-5000000.000,5000000.000,15000000.000,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,100000.000,100000.000,9900000.000,-300000.000,8300000.000,8300000.000,8100000.000,-17200000.000,7300000.000,1200000.000,500000.000,-8900000.000,2800000.000,800000.000,400000.000,-3600000.000,11500000.000,2300000.000,2000000.000,-13800000.000,2500000.000,500000.000,500000.000,-2500000.000,3000000.000,2300000.000
AssetImpairmentCharges,,,,,,,21000000.000,,,,23000000.000,,,,,,,,,,,,,,,
AssetRetirementObligationAccretionExpense,20000000.000,,,,,,,,23000000.000,,,,21000000.000,,,,,,,,22000000.000,,,,22000000.000,
AssetRetirementObligationLiabilitiesIncurred,11000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AssetRetirementObligationRevisionOfEstimate,2000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,0.580,,,,,,,,0.620,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,0.580,,,,,,,,0.620,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaNetIncomeLoss,,,272000000.000,,,,,,,,,,,,,,,,,,,,,,,
