,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,,,,17105.000,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,2018000.000,,,,,,,,,,,,21528176.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-17561.000,,3710.000,,,,-10850.000,,,,91239.000,,,,-4302.000,,,
ComprehensiveIncomeNetOfTax,-68871.000,-70598.000,-46709.000,-55970.000,-48874.000,-30028.000,-38260.000,-30442.000,-15732.000,58085.000,-36260.000,-54513.000,,,,-77691.000,,,
CostOfRevenue,25669.000,5259.000,6321.000,26150.000,4817.000,9794.000,2667.000,3099.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,0.000,0.000,0.000
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,,,,,,,,,,,,3333.000,,,
Depreciation,,3797.000,,1593.000,,,,943.000,,,,0.000,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,0.000,0.000,0.000,-0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.010,0.000,0.000,0.000,-2.130
GainLossOnSaleOfSecuritiesNet,,,,,,,,,,75000.000,,,,0.000,,,,,
GainsLossesOnSalesOfAssets,,,,,,12250.000,,,,0.000,,,,,,,,,
GeneralAndAdministrativeExpense,40303.000,45183.000,36942.000,49293.000,26666.000,19253.000,17721.000,17188.000,2413.000,-214.000,0.000,8895.000,17435.000,19508.000,20854.000,21167.000,231128.000,22310.000,9742.000
GrossProfit,53122.000,43818.000,51258.000,51495.000,22636.000,-611.000,5371.000,1181.000,691.000,1613.000,1763.000,1690.000,2033.000,93.000,0.000,49.000,1.000,0.000,-1.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,,,,,,,,-59586.000,-163642.000,,-77691.000,-268935.000,,
IncomeTaxExpenseBenefit,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,
IncomeTaxesPaidNet,,0.000,,0.000,,,,0.000,,,,0.000,,,,0.000,,,
IncreaseDecreaseInAccountsPayable,,5580.000,,4701.000,,,,-8147.000,,,,40215.000,,,,-30207.000,,,
IncreaseDecreaseInAccruedLiabilities,,18242.000,,1991.000,,,,9622.000,,,,7092.000,,,,16513.000,,,
IncreaseDecreaseInCustomerDeposits,,-4557.000,,-2090.000,,,,-1530.000,,,,-1555.000,,,,0.000,,,
IncreaseDecreaseInOtherCurrentAssets,,3956.000,,,,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,1574.000,,,,0.000,,,,,,,,-2478.000,,,
IncreaseDecreaseInReceivables,,-11243.000,,-6820.000,,,,-1960.000,,,,0.000,,,,,,,
InterestAndOtherIncome,0.000,,,,,,,,,,,,,,,,,,
InterestExpense,24812.000,21971.000,23830.000,26913.000,12541.000,13379.000,13419.000,13237.000,13297.000,13217.000,11359.000,11798.000,10884.000,43300.000,45792.000,31497.000,15810.000,10053.000,18604.000
InterestPaidNet,,17166.000,,17204.000,,,,3519.000,,,,4703.000,,,,4256.000,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,,,,0.000,,,,,,,,,,,
LeaseAndRentalExpense,,,,,,,,,,,,,,,,,,7500.000,
NetCashProvidedByUsedInFinancingActivities,,37262.000,,-899.000,,,,0.000,,,,,,,,67500.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,37262.000,,-899.000,,,,0.000,,,,,,,,67500.000,,,
NetCashProvidedByUsedInInvestingActivities,,0.000,,,,,,,,,,100000.000,,,,0.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,0.000,,,,,,,,,,100000.000,,,,0.000,,,
NetCashProvidedByUsedInOperatingActivities,,-54823.000,,4609.000,,,,-10850.000,,,,-8761.000,,,,-71802.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-54823.000,,4609.000,,,,-10850.000,,,,-8761.000,,,,-71802.000,,,
NetIncomeLoss,-68871.000,-70598.000,-46709.000,-55970.000,-48874.000,-30028.000,-38260.000,-30442.000,-15732.000,58085.000,-36260.000,-54513.000,-59586.000,-163642.000,-69001.000,-77691.000,-268935.000,-60955.000,-88995.000
NonoperatingIncomeExpense,-24812.000,-21971.000,-23830.000,-26913.000,-12541.000,-1129.000,-13419.000,-13237.000,-13297.000,61783.000,-11359.000,-11798.000,-10884.000,-43300.000,-45792.000,-31497.000,-15810.000,-10053.000,
OperatingExpenses,97181.000,92445.000,74137.000,80552.000,58969.000,28288.000,30212.000,18386.000,3126.000,5311.000,26664.000,44405.000,50735.000,120435.000,23209.000,46243.000,253126.000,50902.000,
OperatingIncomeLoss,-44059.000,-48627.000,-22879.000,-29057.000,-36333.000,-28899.000,-24841.000,-17205.000,-2435.000,-3698.000,-24901.000,-42715.000,-48702.000,-120342.000,-23209.000,-46194.000,-253125.000,-50902.000,-70391.000
OtherPreferredStockDividendsAndAdjustments,,,,,,,,,,,,1200.000,,,,0.000,,,
PaymentsToAcquirePropertyPlantAndEquipment,,0.000,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOrSaleOfEquity,,,,,,,,,,,,100000.000,,,,0.000,,,
ProceedsFromRelatedPartyDebt,,40000.000,,0.000,,,,,,,,,,,,67500.000,,,
ProfessionalFees,7734.000,14529.000,8601.000,791.000,11267.000,1179.000,5446.000,857.000,713.000,5525.000,26664.000,35510.000,33300.000,100927.000,2355.000,25076.000,21998.000,28592.000,
RepaymentOfNotesReceivableFromRelatedParties,,,,-254.000,,,,,,,,,,,,,,,
RepaymentsOfLongTermDebt,,2738.000,,645.000,,,,0.000,,,,,,,,,,,
RepaymentsOfRelatedPartyDebt,,,,,,,,0.000,,,,,,,,,,,
ResearchAndDevelopmentExpense,44407.000,26462.000,25257.000,26297.000,19860.000,7721.000,7000.000,341.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
Revenues,78791.000,49077.000,57579.000,77645.000,27453.000,9183.000,8038.000,4280.000,691.000,1613.000,1763.000,1690.000,2073.000,93.000,0.000,49.000,1.000,0.000,-1.000
SalesRevenueNet,78791.000,49077.000,57579.000,77645.000,27453.000,9183.000,8038.000,4280.000,691.000,1613.000,1763.000,1690.000,2073.000,93.000,0.000,49.000,1.000,0.000,-1.000
SellingAndMarketingExpense,4737.000,6271.000,3337.000,4171.000,1176.000,135.000,45.000,0.000,0.000,0.000,0.000,,,,,,,,
ShareBasedCompensation,,,,20000.000,,,,,,,,,,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,23031863.000,23031863.000,,,,,,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,23031863.000,23107132.000,24031863.000,24031863.000,-47370178.000,24031863.000,24031863.000,24031863.000,-48063726.000,30348482.000,53404140.000,53404140.000,-90934305.000,53404140.000,59942602.000,60404140.000,-173517926.000
WeightedAverageNumberOfSharesOutstandingBasic,23031863.000,23031863.000,,,,,,,,,,,,,,,,,
