,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AccretionExpense,,40000.000,50000.000,,,
AdditionsToNoncurrentAssets,,8744000.000,,,,
AllocatedShareBasedCompensationExpense,,0.000,,,,
AmortizationOfAboveAndBelowMarketLeases,,-246000.000,-240000.000,-250000.000,-232000.000,-232000.000
AmortizationOfBelowMarketLease,,,,250000.000,232000.000,232000.000
AmortizationOfFinancingCostsAndDiscounts,2766000.000,2371000.000,2515000.000,3006000.000,3234000.000,4695000.000
AmortizationOfIntangibleAssets,-1004000.000,,,1827000.000,1561000.000,1365000.000
AssetImpairmentCharges,14784000.000,4961000.000,644000.000,,,
CapitalExpendituresIncurredButNotYetPaid,-621000.000,-405000.000,1592000.000,-1170000.000,164000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,1645000.000,10547000.000,-5940000.000,-8460000.000,-3087000.000,-2386000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,1640000.000,0.000,120000.000,-135000.000,0.000
CostsAndExpenses,102230000.000,69258000.000,70206000.000,59789000.000,58695000.000,58522000.000
DepreciationDepletionAndAmortization,16405000.000,11843000.000,11004000.000,11144000.000,10753000.000,10477000.000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,33617000.000,28328000.000,27822000.000,26597000.000,25677000.000,25384000.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,5365000.000,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,8378000.000,0.000,-536000.000,-180000.000,0.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,762000.000,0.000,,-24000.000,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,3954000.000,,2291000.000,158000.000,
DisposalGroupIncludingDiscontinuedOperationRevenue,,4716000.000,,1755000.000,134000.000,
EarningsPerShareBasicAndDiluted,-0.000,-0.990,-1.560,-1.180,-1.010,-1.000
EquityMethodInvestmentOtherThanTemporaryImpairment,,0.000,0.000,900000.000,0.000,0.000
GainLossOnContractTermination,507000.000,0.000,,,,
GainLossOnDispositionOfAssets,,5365000.000,0.000,,,
GainLossOnSaleOfProperties,,,,,-156000.000,
GainsLossesOnExtinguishmentOfDebt,,2251000.000,,,,
GeneralAndAdministrativeExpense,10590000.000,4040000.000,1856000.000,1692000.000,1684000.000,1744000.000
GoodwillWrittenOffRelatedToSaleOfBusinessUnit,,9400000.000,9400000.000,,,
ImpairmentOfRealEstate,,,,,0.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-22274000.000,-24135000.000,-16816000.000,-14084000.000,-13964000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-35572000.000,-22584000.000,-24924000.000,-15669000.000,-14581000.000,-13745000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,-14084000.000,-13964000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,-1.450,-1.560,-1.150,-1.000,-1.000
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,-180000.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,0.460,0.000,-0.030,-0.010,0.000
IncomeLossFromEquityMethodInvestments,3171000.000,310000.000,789000.000,-1147000.000,497000.000,-219000.000
IncreaseDecreaseInAccountsAndOtherReceivables,410000.000,180000.000,-392000.000,-78000.000,360000.000,2000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-2104000.000,-1441000.000,170000.000,-1021000.000,120000.000,206000.000
IncreaseDecreaseInDeferredRentReceivables,22000.000,,,,,
IncreaseDecreaseInOtherOperatingAssets,-2028000.000,-144000.000,36000.000,-7000.000,-571000.000,913000.000
IncreaseDecreaseInRestrictedCash,-1326000.000,231000.000,25000.000,-154000.000,108000.000,7600000.000
IncreaseDecreaseInRestrictedCashForOperatingActivities,-3224000.000,-983000.000,505000.000,-543000.000,805000.000,2000000.000
IncreaseDecreaseInSecurityDeposits,-135000.000,-36000.000,12000.000,-7000.000,59000.000,-45000.000
InterestExpense,26132000.000,20086000.000,20155000.000,20356000.000,20581000.000,20917000.000
InterestPaid,21027000.000,19748000.000,17642000.000,17621000.000,17386000.000,16268000.000
ManagementFeesRevenue,,1390000.000,0.000,,,
MergerAndAcquisitionCosts,282000.000,0.000,,,,
MinorityInterestInNetIncomeLossOperatingPartnerships,20239000.000,-14003000.000,,,,
MinorityInterestInNetIncomeLossPreferredUnitHolders,-2273000.000,2273000.000,,,,
NetCashProvidedByUsedInFinancingActivities,-4127000.000,2196000.000,-1726000.000,-1393000.000,-7110000.000,9877000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-4127000.000,2196000.000,-1726000.000,-1393000.000,-7110000.000,9877000.000
NetCashProvidedByUsedInInvestingActivities,2693000.000,8037000.000,-3717000.000,-7113000.000,3319000.000,-11686000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,2693000.000,8037000.000,-3717000.000,-7113000.000,3319000.000,-11686000.000
NetCashProvidedByUsedInOperatingActivities,3079000.000,314000.000,-497000.000,46000.000,704000.000,-577000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,3079000.000,-1326000.000,-497000.000,-74000.000,839000.000,-577000.000
NetIncomeLoss,,-13896000.000,-4403000.000,-2921000.000,-2246000.000,-2181000.000
NetIncomeLossAttributableToNoncontrollingInterest,17966000.000,-11730000.000,-19732000.000,-14431000.000,-12018000.000,-11783000.000
