,2011-09-30,2011-12-31,2012-03-31,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,22599.000,22680.000,23663.000,26426.000,4901.000,2095.000,3497.000,466.000,466.000,466.000,466.000,466.000,21039.000,11788.000,11788.000,11788.000,20983.000,27271.000,24743.000,35226.000,39188.000
AccountsPayableRelatedPartiesCurrent,,,5588.000,,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,37841.000,69025.000,7275.000,5760.000,5760.000,5760.000,5760.000,5760.000,5760.000,5760.000,5760.000,5760.000,5760.000,5760.000,5760.000,5760.000,5760.000,5760.000,5400.000,5400.000,5400.000
AccumulatedAmortizationOfOtherDeferredCosts,,,,25753.000,40056.000,,,,,,,,,,,,,,,,
AdditionalPaidInCapital,,,,,,,,,,,,,-285405.000,-285405.000,-285405.000,-285405.000,-285405.000,-285405.000,-265405.000,,
AdditionalPaidInCapitalCommonStock,11762385.000,11762385.000,12259385.000,14900109.000,14932554.000,14908054.000,14908054.000,14908054.000,14968014.000,14968014.000,14968014.000,14968014.000,,,,,,,,-265405.000,-265405.000
Assets,53348.000,3763.000,233015.000,956635.000,352844.000,290278.000,253275.000,211432.000,182258.000,153457.000,122694.000,99796.000,107290.000,64638.000,52056.000,27863.000,14094.000,1619.000,76076.000,68712.000,66037.000
AssetsCurrent,53348.000,3763.000,233015.000,410276.000,352844.000,290278.000,253275.000,211432.000,182258.000,153457.000,122694.000,99796.000,107290.000,64638.000,52056.000,27863.000,14094.000,1619.000,76076.000,68712.000,66037.000
Cash,,,,,,,,,,,,,,64638.000,,,,,,,
CashAndCashEquivalentsAtCarryingValue,655.000,332.000,232703.000,404369.000,348482.000,280903.000,250354.000,203951.000,178322.000,146086.000,118125.000,94635.000,107290.000,,52056.000,27863.000,14094.000,1619.000,76076.000,68712.000,66037.000
ClassOfWarrantOrRightOutstanding,,,,500000.000,750000.000,,,,,,,,,,,,,,,8155478.000,8155478.000
CommitmentsAndContingencies,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,,,,,,,,,,,,,,,9508245.000,9508245.000
CommonStockParOrStatedValuePerShare,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,11490016.000,11490016.000,14490016.000,18666636.000,18666636.000,18566636.000,18566636.000,18566636.000,18566636.000,18566636.000,18566636.000,18566636.000,78766636.000,78766636.000,78766636.000,78766636.000,78766636.000,78766636.000,79766636.000,79766636.000,79766636.000
CommonStockSharesOutstanding,11490016.000,11490016.000,14490016.000,18666636.000,18666636.000,18566636.000,18566636.000,18566636.000,18566636.000,18566636.000,18566636.000,18566636.000,78766636.000,78766636.000,78766636.000,78766636.000,78766636.000,78766636.000,79766636.000,79766636.000,79766636.000
CommonStockValue,89845.000,89845.000,104845.000,93333.000,93333.000,92833.000,92833.000,92833.000,92833.000,92833.000,92833.000,92833.000,393833.000,393833.000,393833.000,393833.000,393833.000,393833.000,398833.000,398833.000,398833.000
ConvertibleNotesPayableCurrent,,,,,,,,,,,,,,,,,,,50000.000,50000.000,50000.000
