,2014-12-31,2015-12-31,2016-12-31
AssetManagementCosts,312359.000,348459.000,270314.000
CashAndCashEquivalentsPeriodIncreaseDecrease,136280.000,-1024905.000,-1588518.000
EarningsPerShareBasic,341.030,-165.640,-453.860
FloorBrokerageExchangeAndClearanceFees,42826.000,26970.000,29683.000
GeneralAndAdministrativeExpense,4087.000,9066.000,6318.000
IncreaseDecreaseInFinanceReceivables,76.000,365.000,710.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,-18965.000,-3006.000,-2180.000
InvestmentIncomeInterest,675.000,1113.000,9833.000
InvestmentIncomeNet,675.000,1113.000,9833.000
NetCashProvidedByUsedInFinancingActivities,-522464.000,-742846.000,-668205.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-522464.000,-742846.000,-668205.000
NetCashProvidedByUsedInOperatingActivities,658744.000,-282059.000,-920313.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,658744.000,-282059.000,-920313.000
NetIncomeLoss,1000951.000,-438097.000,-1003911.000
NetInvestmentIncome,-499152.000,-561452.000,-455617.000
NoninterestExpenseRelatedToPerformanceFees,0.000,0.000,0.000
OperatingExpenses,499827.000,562565.000,465450.000
PaymentsForRepurchaseOfEquity,624300.000,742846.000,668205.000
ProceedsFromIssuanceOrSaleOfEquity,101836.000,0.000,0.000
ProfessionalFees,63117.000,80419.000,90328.000
TradingGainsLosses,1500103.000,123355.000,-548294.000
TradingSecuritiesRealizedGainLoss,1624496.000,303901.000,-467104.000
TradingSecuritiesUnrealizedHoldingGainLoss,-81567.000,-153576.000,-51507.000
UnrealizedGainLossOnDerivativesAndCommodityContracts,-114723.000,-158773.000,-48496.000
