,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30
AccountsPayableCurrent,80435000.000,80301000.000,94013000.000,95698000.000,90480000.000
AccountsReceivableNetCurrent,172260000.000,177298000.000,177234000.000,180047000.000,177715000.000
AccruedIncomeTaxes,,,,9250000.000,
AccruedLiabilitiesCurrent,92702000.000,88971000.000,94121000.000,98299000.000,99580000.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,98299000.000,
AccruedSalesCommissionCurrentAndNoncurrent,,,,4459000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,235040000.000,241650000.000,240357000.000,245910000.000,251201000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,47728000.000,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,-30549000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-59123000.000,-52500000.000,-65808000.000,-78277000.000,-77288000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,5847000.000,
Assets,1574838000.000,1517959000.000,1496829000.000,1523263000.000,1551770000.000
AssetsCurrent,586370000.000,524334000.000,518116000.000,542060000.000,572341000.000
AssetsFairValueDisclosure,,,,118952000.000,
AssetsOfDisposalGroupIncludingDiscontinuedOperation,0.000,0.000,0.000,,
BuildingsAndImprovementsGross,,,,87237000.000,
BusinessAcquisitionSharePrice,,,,,60.000
CashAndCashEquivalentsAtCarryingValue,231453000.000,159383000.000,146677000.000,166925000.000,184873000.000
CashAndCashEquivalentsFairValueDisclosure,,,,166925000.000,
CommonStockParOrStatedValuePerShare,,,,0.000,
CommonStockSharesAuthorized,,,,80000000.000,
CommonStockSharesIssued,,,,48236027.000,
CommonStockValue,677294000.000,599023000.000,536688000.000,743007000.000,515018000.000
CustomerAdvancesCurrent,,,,25797000.000,
DeferredTaxAssetsGross,,,,74365000.000,
