,2017-03-31
AccretionExpense,16.000
CashAndCashEquivalentsPeriodIncreaseDecrease,3843.000
EarningsPerShareBasicAndDiluted,0.000
GeneralAndAdministrativeExpense,2817.000
GrossProfit,211.000
IncomeLossFromContinuingOperations,-11701.000
IncomeTaxExpenseBenefit,0.000
IncomeTaxesPaidNet,0.000
IncreaseDecreaseInAccountsPayable,-11470.000
IncreaseDecreaseInInterestPayableNet,283.000
IncreaseDecreaseInNotesPayableRelatedParties,-445.000
IncreaseDecreaseInPrepaidExpensesOther,-10247.000
InterestExpense,-524.000
InterestPaid,0.000
LeaseOperatingExpense,316.000
NetCashProvidedByUsedInFinancingActivities,37931.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,37931.000
NetCashProvidedByUsedInInvestingActivities,-445.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-445.000
NetCashProvidedByUsedInOperatingActivities,-33643.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-33643.000
NetIncomeLoss,-12225.000
OperatingExpenses,11912.000
OtherNonoperatingIncomeExpense,-524.000
ProceedsFromNotesPayable,56216.000
ProceedsFromRelatedPartyDebt,0.000
ProfessionalFees,9095.000
ProfitLoss,-12225.000
RepaymentsOfRelatedPartyDebt,-18285.000
Revenues,527.000
SalesRevenueNet,527.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,17016428.000
