,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,,,,,,,,,4309073.000,4420750.000,5505523.000,4823644.000,4952977.000,5178476.000,5097097.000,5334105.000,16414392.000,10439829.000,9067827.000,8451805.000
AccountsPayableCurrent,8537988.000,6367821.000,5594344.000,4826224.000,5270455.000,3375333.000,3888978.000,3406023.000,3036980.000,3378248.000,2812361.000,2703105.000,4339791.000,2372130.000,2873268.000,2371069.000,2599720.000,5246153.000,5927974.000,5577064.000,11783861.000
AccountsPayableOtherCurrent,,,1720377.000,1084344.000,878996.000,921864.000,973385.000,963012.000,1004222.000,1049783.000,904332.000,944064.000,1051827.000,1098705.000,1025896.000,918299.000,977911.000,6056153.000,5615399.000,4147620.000,3410762.000
AccountsPayableTradeCurrent,,,,,,9426904.000,3269988.000,,,8803074.000,4700415.000,,,13126582.000,4758654.000,,,,,,
AccountsReceivableNet,,,,,,,,,,,,,,,,,,118418228.000,116563778.000,125035022.000,154950404.000
AccountsReceivableNetCurrent,46789336.000,60397781.000,67699174.000,61731764.000,73960377.000,85323442.000,95380068.000,76362588.000,87361396.000,88781608.000,75058824.000,71065640.000,71832200.000,68528598.000,67400965.000,65730552.000,74730414.000,117055376.000,116563778.000,125035022.000,154950404.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,122679.000,122990.000,123688.000,125550.000,125861.000,127024.000,125938.000,135872.000,135872.000,136123.000,136709.000,113027.000,131580.000,128844.000,129765.000,126219.000,125733.000,120762.000,121702.000
AccruedIncomeTaxesCurrent,11466110.000,14509522.000,19540884.000,21102145.000,21964129.000,25728759.000,23923518.000,14886271.000,9290397.000,1166683.000,3171512.000,4726504.000,7560792.000,3778339.000,0.000,994928.000,3123472.000,3445480.000,-304665.000,1482816.000,3803310.000
AccruedLiabilitiesCurrent,,,3213543.000,2648981.000,2719085.000,2700468.000,2813550.000,2915025.000,2901370.000,2948727.000,3205855.000,4250322.000,3457708.000,3554733.000,3851258.000,3884299.000,4058550.000,4450306.000,4417656.000,4574577.000,4666446.000
AccruedPayrollTaxesCurrent,,,125558.000,142314.000,206940.000,20191.000,82538.000,33777.000,8630.000,7964.000,7964.000,7979.000,9647.000,18451.000,8354.000,7552.000,8647.000,58704.000,54850.000,77039.000,103915.000
