,2011-06-30,2011-09-30
AssetRetirementObligationAccretionExpense,4322.000,4356.000
CostOfGoodsSoldOilAndGas,89371.000,123863.000
CostsAndExpenses,123636.000,164099.000
DepreciationDepletionAndAmortization,4528.000,4563.000
GeneralAndAdministrativeExpense,25415.000,31317.000
InterestIncomeOperating,82.000,81.000
NetIncomeLoss,,99666.000
NetIncomeLossAllocatedToGeneralPartners,1846.000,1042.000
NetIncomeLossAllocatedToLimitedPartners,161573.000,89243.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,14.840,8.200
OilAndGasRevenue,303583.000,263684.000
ProfitLoss,180029.000,
Revenues,303665.000,263765.000
SalesRevenueNet,303665.000,263765.000
