,2011-12-31,2012-12-31
AdvertisingExpense,,21437000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,3668000.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-20463000.000,14010000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,-3848000.000,0.000
CommonStockDividendsPerShareDeclared,0.000,0.000
ComprehensiveIncomeNetOfTax,-70857000.000,-35391000.000
CostOfGoodsSold,175735000.000,145726000.000
CurrentFederalTaxExpenseBenefit,,1681000.000
CurrentForeignTaxExpenseBenefit,,826000.000
CurrentStateAndLocalTaxExpenseBenefit,,83000.000
DeferredFederalIncomeTaxExpenseBenefit,,0.000
DeferredForeignIncomeTaxExpenseBenefit,,607000.000
DeferredIncomeTaxExpenseBenefit,1000000.000,650000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,0.000
DefinedContributionPlanCostRecognized,,22000.000
DepreciationAndAmortization,3611000.000,3670000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,84000.000
DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,,-44000.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,0.000,0.000
EarningsPerShareBasic,-1.980,-0.980
EarningsPerShareBasicAndDiluted,,-0.980
EarningsPerShareDiluted,-1.980,-0.980
EffectOfExchangeRateOnCashAndCashEquivalents,-1034000.000,509000.000
EffectiveIncomeTaxRateContinuingOperations,,-0.101
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,-0.385
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,-0.087
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,,0.000
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,-0.030
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,0.051
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,0.000,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,0.000,
GainLossOnSaleOfPropertyPlantEquipment,33000.000,-66000.000
GoodwillAndIntangibleAssetImpairment,2986000.000,
GoodwillImpairmentLoss,,0.000
GrossProfit,92622000.000,77125000.000
IncomeLossFromContinuingOperations,-64522000.000,-34779000.000
IncomeLossFromContinuingOperationsPerBasicShare,-1.810,-0.980
IncomeLossFromContinuingOperationsPerDilutedShare,-1.810,-0.980
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,-5949000.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,-0.170,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,-0.170,0.000
IncomeTaxExpenseBenefit,3751000.000,3197000.000
IncomeTaxesPaid,656000.000,-1020000.000
