,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,,,,714198.000,365822.000,169545.000,182794.000
AccountsPayableCurrent,2665.000,18926.000,14795.000,38729.000,48518.000,72697.000,108527.000,95327.000,85540.000,268258.000,149568.000,86895.000,409950.000,,,,
AccountsPayableRelatedPartiesCurrent,182143.000,202638.000,243086.000,303196.000,351632.000,408277.000,411431.000,439746.000,207483.000,18144.000,3809.000,,,16977.000,2090.000,475.000,7101.000
AccountsReceivableNetCurrent,211562.000,34727.000,27344.000,25825.000,26012.000,156251.000,21707.000,10735.000,11936.000,55216.000,48310.000,157579.000,527030.000,1050099.000,356743.000,172966.000,226765.000
AccountsReceivableRelatedPartiesCurrent,,2522.000,49.000,1316.000,5121.000,0.000,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,553763.000,579707.000,602209.000,-623871.000,645461.000,666593.000,684768.000,702638.000,720953.000,739547.000,753304.000,767229.000,781048.000
AdditionalPaidInCapital,,,,,,,,,30501972.000,39953091.000,40109465.000,40151791.000,40192571.000,41040447.000,41362359.000,41635437.000,41911156.000
AdditionalPaidInCapitalCommonStock,27020674.000,27058078.000,27099965.000,27138969.000,27152779.000,27166742.000,30137846.000,30149835.000,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,350298.000,368753.000,354172.000,344564.000,243752.000,17634.000,17268.000,16700.000,17048.000,16435.000,,,,,,
AssetRetirementObligation,,,,,404888.000,425700.000,424058.000,419112.000,432888.000,446155.000,434121.000,423614.000,485512.000,469013.000,454223.000,421645.000,435415.000
AssetRetirementObligationsNoncurrent,424781.000,387368.000,398220.000,412392.000,404888.000,425700.000,424058.000,419112.000,432888.000,446155.000,434121.000,423614.000,485512.000,469013.000,454223.000,421645.000,435415.000
Assets,15226876.000,14624096.000,14390989.000,14202252.000,13994017.000,14235452.000,17001051.000,16798098.000,16887725.000,24366368.000,23727554.000,23316166.000,23667902.000,23691595.000,23050761.000,22548002.000,22503143.000
AssetsCurrent,1296442.000,809313.000,577215.000,362528.000,191650.000,446674.000,423295.000,226985.000,278018.000,7770925.000,7143723.000,4167710.000,3389319.000,3418729.000,2793088.000,2338038.000,2299450.000
BusinessAcquisitionPercentageOfVotingInterestsAcquired,,,,,,,,,,0.100,,,,0.200,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,,13755.000,47398.000,35549.000,23699.000,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,55021.000,,47398.000,47398.000,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,,55021.000,47398.000,47398.000,47398.000,,,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,55021.000,47398.000,47398.000,47398.000,,,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,,55021.000,47398.000,47398.000,47398.000,,,,,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,,,,,108608.000,46502.000,46502.000,46502.000,,,,,
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,,,30744.000,32033.000,34843.000,36893.000,39319.000,41747.000,43985.000,46223.000,48925.000,51814.000,54950.000,58692.000,62614.000
CapitalizedCostsOilAndGasProducingActivitiesNet,,,,,13189917.000,13190518.000,15877401.000,15898025.000,15922716.000,15921770.000,15939463.000,18532175.000,19575219.000,19604050.000,19618195.000,,
CapitalizedCostsProvedProperties,,,,,,,0.000,,,,,,,4568.000,4568.000,4568.000,4568.000
CapitalizedCostsUnprovedProperties,,,,,13220661.000,13222551.000,15912244.000,15934918.000,15962035.000,15963517.000,15983448.000,18578399.000,19624144.000,19651296.000,19668577.000,19669280.000,19671471.000
CapitalizedCostsWellsAndRelatedEquipmentAndFacilities,,,,,,,,,,,,,,19600000.000,19600000.000,19600000.000,19600000.000
CashAndCashEquivalentsAtCarryingValue,1030800.000,723766.000,507733.000,277316.000,107811.000,244191.000,353300.000,162373.000,220323.000,7633009.000,4415799.000,3931308.000,2534059.000,2324755.000,2394325.000,2107058.000,2023228.000
