,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,2300000.000,,1700000.000,1700000.000,1500000.000,-3100000.000,1700000.000,1800000.000,1100000.000,-3100000.000,1700000.000,1600000.000
AssumedPremiumsEarned,,,,,,,,1100000.000,1200000.000,,1000000.000,1100000.000,1200000.000,1070800000.000,1100000.000,1000000.000,1100000.000,1267300000.000,1400000.000,1000000.000
AssumedPremiumsEarnedOtherInsurance,,,,1000000.000,1100000.000,,400000.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,,-5900000.000,29400000.000,,13000000.000,-61300000.000,6000000.000,2900000.000,8100000.000,26100000.000,-18500000.000,9700000.000,8300000.000,-28600000.000,-22900000.000,1700000.000,23200000.000,20600000.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,,6700000.000,7000000.000,,6700000.000,1500000.000,7500000.000,7500000.000,10700000.000,5300000.000,1600000.000,3100000.000,4200000.000,5400000.000,10800000.000,4300000.000,1300000.000,6500000.000
AvailableForSaleSecuritiesGrossRealizedGains,,,,9800000.000,8100000.000,,7100000.000,4100000.000,8400000.000,9100000.000,11600000.000,5600000.000,3300000.000,4000000.000,5200000.000,6400000.000,14700000.000,8100000.000,5600000.000,7300000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,3100000.000,1100000.000,,400000.000,2600000.000,900000.000,1600000.000,900000.000,300000.000,1700000.000,900000.000,1000000.000,1000000.000,3900000.000,3800000.000,4300000.000,800000.000
AvailableForSaleSecuritiesIncomeTaxExpenseOnChangeInUnrealizedHoldingGainOrLoss,,,,-2300000.000,10400000.000,,4500000.000,24000000.000,1600000.000,-47700000.000,4300000.000,10300000.000,-6200000.000,5300000.000,4500000.000,-15400000.000,-12400000.000,900000.000,12500000.000,11100000.000
BenefitsLossesAndExpenses,2600000.000,1400000.000,1600000.000,2400000.000,2400000.000,1900000.000,1800000.000,2100000.000,2700000.000,2000000.000,2000000.000,2300000.000,1000000.000,2000000.000,2000000.000,2100000.000,1600000.000,600000.000,1600000.000,2100000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-293000000.000,,,,5300000.000,,,,-2000000.000,,,,-17900000.000,,,,-10400000.000,
