,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfFinancingCosts,,,,,,,,,,,,,,,,,,,,,,,,,13256000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,2800000.000,3500000.000,,3800000.000,,,,,,,,,,,,,,,,0.000,,0.000,,0.000
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,,411267000.000,,,,0.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,50329000.000,,,,15347000.000,,,,21033000.000,,,,11821000.000,,,,40464000.000,,,,-4205000.000,,,,-23294000.000
CashDividendsPaidToParentCompanyByUnconsolidatedSubsidiaries,,,,,,,,,,,,,,,,,,,,,800000.000,23100000.000,47491000.000,4551000.000,27997000.000
ChangeInUnrealizedGainLossOnFairValueHedgingInstruments,,11767000.000,15172000.000,,,,,,,,,,,,,,,,,,,,,,
ChangeInUnrealizedGainLossOnHedgedItemInFairValueHedge,,1010000.000,-2719000.000,,,,,,,,,,,,,,,,,,,,,,
CommonStockDividendsPerShareCashPaid,,,0.100,,0.100,,,,0.120,0.120,,,0.250,0.250,,,0.300,0.300,,,0.375,0.375,,,
CommonStockDividendsPerShareDeclared,,,,,,0.100,0.120,,,,,,,0.250,0.300,,0.300,0.300,0.375,,0.375,0.375,,,0.480
ComprehensiveIncomeNetOfTax,,119284000.000,100157000.000,,197774000.000,-304266000.000,450432000.000,-384231000.000,49382000.000,46031000.000,438861000.000,79605000.000,-26019000.000,113148000.000,220689000.000,-446337000.000,-248756000.000,402923000.000,5422000.000,74755000.000,105013000.000,380403000.000,787785000.000,422136000.000,238888000.000
CostOfRevenue,1101071000.000,1185375000.000,1405300000.000,1250861000.000,1255112000.000,1296014000.000,1348325000.000,1257983000.000,1282190000.000,1323619000.000,1416801000.000,1282660000.000,1303980000.000,1330674000.000,1426882000.000,1244745000.000,1222617000.000,1316409000.000,1387026000.000,1173341000.000,1241578000.000,1310587000.000,1340123000.000,1123251000.000,1175824000.000
CostOfServicesDirectLabor,204487000.000,198794000.000,210535000.000,211860000.000,210114000.000,206519000.000,201644000.000,209921000.000,209923000.000,208975000.000,213860000.000,208979000.000,210801000.000,209171000.000,214260000.000,213409000.000,211591000.000,218570000.000,217627000.000,213987000.000,227441000.000,230433000.000,214081000.000,210936000.000,215735000.000
DebtInstrumentIncreaseAdditionalBorrowings,,,,,300000000.000,,,,,,,,,,,,,,,,,,,,
DeferredOtherTaxExpenseBenefit,,,,,,,,,,,,,,,,,-520000.000,,,,827000.000,,,,610000.000
DepreciationAndAmortization,173252000.000,172050000.000,177191000.000,179933000.000,179392000.000,180514000.000,182051000.000,188536000.000,189364000.000,186184000.000,188541000.000,190622000.000,193735000.000,192880000.000,192448000.000,193382000.000,200468000.000,206468000.000,210742000.000,209330000.000,210764000.000,221620000.000,229328000.000,233203000.000,235749000.000
DerivativeCashReceivedOnHedge,,,,,,,,,,,,,-22835000.000,,,,,,,,,,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,5339000.000,-13038000.000,,11055000.000,-15791000.000,5480000.000,-2263000.000,-8344000.000,-18851000.000,,,1890000.000,,,,-28083000.000,,,,14455000.000,,,,13812000.000
EarningsPerShareBasic,0.420,0.430,1.840,0.110,0.220,-0.020,1.690,-1.810,0.350,0.110,1.660,0.040,0.120,0.620,2.200,0.510,0.210,0.840,1.040,0.940,0.460,1.070,3.230,1.200,1.000
EarningsPerShareDiluted,0.420,0.430,1.820,0.100,0.210,-0.020,1.680,-1.790,0.350,0.110,1.650,0.030,0.120,0.620,2.190,0.500,0.200,0.840,1.030,0.950,0.460,1.060,3.210,1.200,0.990
EffectOfExchangeRateOnCashAndCashEquivalents,-173000.000,,,,3170000.000,,,,-1039000.000,,,,910000.000,,,,-6040000.000,,,,1407000.000,,,,974000.000
ExciseAndSalesTaxes,,103200000.000,130400000.000,,,,,,,,,,,,,,,,,,,,,,
FoodAndBeverageCostOfSales,100082000.000,99149000.000,113319000.000,111758000.000,113625000.000,109300000.000,111315000.000,115409000.000,119483000.000,112530000.000,119104000.000,118536000.000,118080000.000,119184000.000,120908000.000,119958000.000,119786000.000,119407000.000,122124000.000,118692000.000,121510000.000,124517000.000,125732000.000,113914000.000,121211000.000
FuelCosts,166061000.000,188128000.000,202478000.000,208091000.000,228994000.000,237961000.000,213434000.000,229302000.000,241652000.000,232471000.000,215686000.000,234605000.000,244459000.000,242804000.000,230818000.000,229310000.000,205276000.000,202565000.000,199848000.000,188112000.000,175862000.000,176649000.000,178772000.000,182393000.000,177414000.000
GainLossOnDispositionOfAssets,,,,,,,,,,,,,,,,,,,,,,,,,30902000.000
GainsLossesOnExtinguishmentOfDebt,,,,,,,-7485000.000,,,,-4206000.000,,,,0.000,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,,,,,,,,,,,,,,,,,9200000.000,14700000.000,38400000.000,18700000.000,21000000.000,27300000.000,46539000.000,33511000.000,11880000.000
IncreaseDecreaseInAccountsPayable,85050000.000,,,,-14263000.000,,,,-13043000.000,,,,-13323000.000,,,,9341000.000,,,,68515000.000,,,,56373000.000
IncreaseDecreaseInCustomerDeposits,80524000.000,,,,77360000.000,,,,55751000.000,,,,188367000.000,,,,208423000.000,,,,178316000.000,,,,333735000.000
IncreaseDecreaseInInterestPayableNet,-46249000.000,,,,-22294000.000,,,,-2528000.000,,,,-32002000.000,,,,28774000.000,,,,42564000.000,,,,45206000.000
IncreaseDecreaseInInventories,12658000.000,,,,3141000.000,,,,-152000.000,,,,-6104000.000,,,,2615000.000,,,,-274000.000,,,,-5391000.000
IncreaseDecreaseInOtherOperatingCapitalNet,8117000.000,,,,14641000.000,,,,979000.000,,,,-7656000.000,,,,-12601000.000,,,,14511000.000,,,,6930000.000
IncreaseDecreaseInOtherOperatingLiabilities,-51399000.000,,,,-21938000.000,,,,-45953000.000,,,,7579000.000,,,,-53681000.000,,,,-53108000.000,,,,-57344000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,38014000.000,,,,30612000.000,,,,19990000.000,,,,30565000.000,,,,67772000.000,,,,50524000.000,,,,32083000.000
IncreaseDecreaseInReceivables,-35648000.000,,,,-21069000.000,,,,-2257000.000,,,,36332000.000,,,,-18095000.000,,,,-10094000.000,,,,828000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,1356000.000,,1387000.000,1146000.000,1260000.000,-2490000.000,1376000.000,1192000.000,1336000.000,-2518000.000,1216000.000,989000.000,1174000.000,-2227000.000,955000.000,866000.000,848000.000,-1746000.000,943000.000
InterestAndOtherIncome,,,,,,,,,,,3299000.000,,3276000.000,2630000.000,2117000.000,2321000.000,3737000.000,2772000.000,1735000.000,3781000.000,2720000.000,5683000.000,6472000.000,5981000.000,6252000.000
InterestExpense,87483000.000,92968000.000,98198000.000,103767000.000,92666000.000,89106000.000,84977000.000,89036000.000,90182000.000,86877000.000,79654000.000,75709000.000,68571000.000,65260000.000,60100000.000,64368000.000,70159000.000,76620000.000,66819000.000,64127000.000,65446000.000,78747000.000,82610000.000,80567000.000,80317000.000
InterestPaidNet,122775000.000,,,,101065000.000,,,,88229000.000,,,,94205000.000,,,,33664000.000,,,,18670000.000,,,,24296000.000
InvestmentIncomeInterest,3781000.000,6478000.000,7070000.000,7989000.000,6346000.000,4972000.000,4744000.000,5269000.000,3747000.000,3405000.000,,,,,,,,,,,,,,,
LongTermPurchaseCommitmentAmount,,,,,3000000000.000,,,,3500000000.000,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,-452668000.000,,,,-44595000.000,,,,-25672000.000,,,,-107505000.000,,,,19653000.000,,,,-246762000.000,,,,-944394000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-452668000.000,,,,-44595000.000,,,,-25672000.000,,,,-107505000.000,,,,19653000.000,,,,-246762000.000,,,,-944394000.000
NetCashProvidedByUsedInInvestingActivities,217751000.000,,,,-158443000.000,,,,-193513000.000,,,,-197370000.000,,,,-399576000.000,,,,-236746000.000,,,,123600000.000
