,2011-11-30,2012-02-29,2012-05-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30
AccountsAndOtherReceivablesNetCurrent,,,,,,,,,,,380456.000,0.000,355531.000,355531.000,155400.000,0.000
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,,,,,,818632.000,,,,710046.000,,,,474498.000,
AccountsPayableCurrent,2198023.000,1974753.000,1861632.000,1699886.000,1683487.000,1238382.000,1012328.000,1169304.000,1083373.000,982412.000,1015856.000,1028604.000,1394843.000,1348121.000,981112.000,942733.000
AccountsReceivableNetCurrent,974143.000,500824.000,455778.000,716565.000,596699.000,839750.000,1062029.000,1680702.000,1441586.000,1772753.000,1986633.000,1483134.000,1611933.000,1037864.000,1466243.000,944163.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,,,,189202.000,,,,179621.000,,,,193782.000,
AccruedLiabilitiesCurrent,14185572.000,13691664.000,13723607.000,11627849.000,11490297.000,11619267.000,11845317.000,11803858.000,15993592.000,16085797.000,18512986.000,17835331.000,17464214.000,16246301.000,16235138.000,16553043.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,7800000.000,,,,300000.000,300000.000,300000.000,300000.000,,300000.000,300000.000,,
AccruedMarketingCostsCurrent,,,,,,,300000.000,,,,300000.000,,,,0.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,11691440.000,,,,11621946.000,,,,11653863.000,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,7410633.000,8387456.000,9184292.000,9382334.000,,,,12616346.000,10945401.000,10124848.000,8229315.000,7087889.000,7557436.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,0.000,,,,0.000,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,4647171.000,6326320.000,4622133.000,7410633.000,8387456.000,9184292.000,9382334.000,11203250.000,11953646.000,13148629.000,12616346.000,10945401.000,10124848.000,8229315.000,7087889.000,7557436.000
AdditionalPaidInCapital,9848526.000,10047320.000,10093456.000,10139247.000,10183574.000,10232915.000,10282256.000,10331597.000,10381063.000,10430404.000,10479745.000,10529086.000,10578427.000,10627768.000,10491386.000,10493985.000
AllowanceForDoubtfulAccountsReceivableCurrent,187007000.000,187059000.000,188615000.000,186120000.000,183245000.000,176197000.000,170198000.000,166142000.000,162107000.000,157920000.000,154132000.000,142293000.000,125799000.000,122597000.000,38738000.000,38668000.000
Assets,57296851.000,56599450.000,51222818.000,43722237.000,43808690.000,42875127.000,41636327.000,42872144.000,47177396.000,48096511.000,47760527.000,44462068.000,41959020.000,38710060.000,36080265.000,34624309.000
AssetsCurrent,31052576.000,27634244.000,24271069.000,20664662.000,19783841.000,18172387.000,16865664.000,16306541.000,19809232.000,19506252.000,19870240.000,18322131.000,16725113.000,19356211.000,17892333.000,16151436.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,5401092.000,5087891.000,5004221.000,0.000,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,6748300.000,6651726.000,6580101.000,,,,0.000,,,,,,,,,
AvailableForSaleSecuritiesNoncurrent,14570523.000,18281129.000,15501936.000,15445968.000,16441102.000,17222914.000,17458985.000,19338745.000,20101192.000,21285689.000,20678130.000,18900608.000,17885213.000,12049876.000,10938811.000,11313206.000
CapitalLeaseObligationsCurrent,95900.000,97794.000,99726.000,100533.000,166814.000,141526.000,115737.000,91593.000,28044.000,28447.000,26513.000,29269.000,29689.000,30259.000,30548.000,30986.000
CapitalLeaseObligationsNoncurrent,164478.000,139308.000,113640.000,63945.000,83801.000,76939.000,69978.000,62918.000,55757.000,48492.000,41123.000,33649.000,26067.000,15789.000,10576.000,2663.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,,,,72000.000,,,,43000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,,,,29000.000,,,,32000.000,
CapitalLeasesFutureMinimumPaymentsDueInRollingYearFour,,,,,,,11000.000,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,,,11000.000,,,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,,,,32000.000,,,,11000.000,
CashAndCashEquivalentsAtCarryingValue,18563488.000,15842467.000,12758429.000,11776714.000,11125159.000,9725715.000,13585447.000,13478867.000,17293027.000,17128361.000,16819504.000,16248134.000,14282560.000,17554608.000,15829349.000,14789879.000
CashUninsuredAmount,,,,,,,11900000.000,,,,15200000.000,,,,13900000.000,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,14426960.000,14543626.000,14543626.000,14543626.000,14543626.000,14543626.000,14543626.000,14543626.000,14418626.000,14418626.000,14418626.000,14418626.000,14418626.000,14418626.000,13715849.000,13601624.000
CommonStockSharesOutstanding,,,,,,,14543626.000,14418626.000,14418626.000,14418626.000,13888010.000,13888010.000,13888010.000,13460124.000,13601624.000,13601624.000
CommonStockValue,14427.000,14544.000,14544.000,14544.000,14544.000,14544.000,14544.000,14544.000,14419.000,14419.000,14419.000,14419.000,14419.000,14419.000,13716.000,13602.000
DebtInstrumentInterestRateEffectivePercentage,,,,,,,0.045,,,,0.045,,,,,
DebtInstrumentInterestRateStatedPercentage,,,,,,,0.045,,,,0.045,,,,0.045,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,,,0.000,,,,0.000,,,,0.000,
DeferredTaxAssetsNet,,,,,,,0.000,,,,0.000,,,,0.000,
DeferredTaxAssetsNetNoncurrent,1511195.000,612216.000,1529856.000,,,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,9439548.000,,,,8610673.000,,,,9265994.000,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,27000000.000,,,,24600000.000,,,,26500000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,,,,,13157.000,,,,-350000.000,,,,0.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,,,,513456.000,,,,513456.000,,,,513456.000,
DeferredTaxAssetsValuationAllowanceCurrent,,,,,,,359855.000,,,,0.000,,,,554223.000,
DeferredTaxAssetsValuationAllowanceNoncurrent,,,,,,,12783145.000,,,,13568740.000,,,,14502130.000,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,,207396.000,,,,210814.000,,,,214172.000,
DisposalGroupIncludingDiscontinuedOperationPropertyPlantAndEquipmentNet,,,,5401092.000,5087891.000,5004221.000,0.000,,,,,,,,,
DueFromAffiliates,,,,,,,0.000,,,,,,,,,
EmployeeRelatedLiabilitiesCurrent,,,,,,,306450.000,,,,399724.000,,,,297583.000,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,,,329000.000,280000.000,230000.000,181000.000,132000.000,82000.000,33000.000,11000.000,2770.000
IncomeTaxesReceivable,2363724.000,2363724.000,2363724.000,569430.000,569430.000,569430.000,569430.000,569430.000,569430.000,0.000,0.000,,,,,
IncomeTaxesReceivableNoncurrent,868249.000,868249.000,868249.000,868249.000,868249.000,868249.000,800920.000,800920.000,800920.000,800920.000,800920.000,800920.000,800920.000,800920.000,800920.000,800920.000
InterestPayableCurrent,,,,1800000.000,,,,2300000.000,3300000.000,3400000.000,,,3700000.000,3800000.000,,
InterestPayableCurrentAndNoncurrent,,,,,,,8100000.000,,,,11300000.000,11300000.000,11300000.000,11300000.000,11300000.000,11300000.000
InterestReceivableCurrent,241358.000,178874.000,232417.000,196443.000,106993.000,149922.000,102964.000,147165.000,109441.000,153477.000,122041.000,161925.000,104461.000,99311.000,54134.000,70285.000
InventoryNet,549561.000,474109.000,413132.000,312291.000,288632.000,320733.000,293565.000,276908.000,286442.000,305242.000,298662.000,286895.000,262603.000,248638.000,257778.000,247025.000
Liabilities,18540433.000,17766563.000,17628022.000,13571398.000,13490844.000,13132892.000,13090360.000,13164780.000,17187860.000,17162120.000,19603212.000,18926853.000,18914813.000,17640470.000,17257374.000,17529425.000
LiabilitiesAndStockholdersEquity,57296851.000,56599450.000,51222818.000,43722237.000,43808690.000,42875127.000,41636327.000,42872144.000,47177396.000,48096511.000,47760527.000,44462068.000,41959020.000,38710060.000,36080265.000,34624309.000
LiabilitiesCurrent,17224799.000,16501352.000,16414209.000,13467171.000,13379940.000,13038971.000,13013638.000,13101862.000,17132103.000,17113628.000,19562089.000,18893204.000,18888746.000,17624681.000,17246798.000,17526762.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,0.000,,,,,,,,,
