,2011-07-30,2011-10-29,2012-04-28,2012-07-28,2012-10-27,2013-05-04,2013-08-03,2013-11-02,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,-34516000.000,,,-36182000.000,,,,-17013000.000,,,,-11847000.000,,
AllocatedShareBasedCompensationExpense,,,,300000.000,100000.000,200000.000,200000.000,200000.000,200000.000,200000.000,200000.000,200000.000,300000.000,200000.000,300000.000,300000.000
AmortizationOfFinancingCosts,,,,,,,,,,72000.000,,,,79000.000,,
AssetImpairmentCharges,,,75000.000,,,251000.000,,,,39000.000,,,,0.000,,
CapitalExpendituresIncurredButNotYetPaid,,,911000.000,,,538000.000,,,,294000.000,,,,8000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-5125000.000,,,4043000.000,,,,-3990000.000,,,,1303000.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,-16000.000,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,,-9150000.000,-6859000.000,,-5526000.000,-3018000.000,-7003000.000,18899000.000,-5254000.000,-5763000.000,-7142000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,-21000.000,-197000.000,,-424000.000,50000.000,-164000.000,-92000.000,28000.000,88000.000,-58000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,-3702000.000,-9171000.000,-7056000.000,11670000.000,-5950000.000,-2968000.000,-7167000.000,18807000.000,-5226000.000,-5675000.000,-7200000.000
ConcentrationRiskPercentage1,,,,,,,,1.000,,1.000,1.000,1.000,,1.000,1.000,1.000
CostOfGoodsSold,76364000.000,70204000.000,82260000.000,86781000.000,77210000.000,76171000.000,78160000.000,74119000.000,105341000.000,75384000.000,77299000.000,74369000.000,106612000.000,73478000.000,77828000.000,73750000.000
DeferredIncomeTaxExpenseBenefit,,,372000.000,,,-767000.000,,,,0.000,,,,-1000.000,,
DepreciationAndAmortization,3917000.000,4028000.000,4154000.000,4121000.000,4132000.000,4291000.000,4448000.000,4765000.000,4847000.000,4465000.000,4353000.000,4303000.000,3304000.000,3763000.000,3877000.000,3778000.000
DepreciationDepletionAndAmortization,,,,,,,,,,4465000.000,,,,3763000.000,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,500000.000,500000.000,0.000,2500000.000,0.000,0.000,0.000,,,,
EarningsPerShareBasic,-0.180,-0.250,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,,-0.130,-0.060,-0.180,-0.250,-0.620,-0.470,,-0.380,-0.210,-0.500,,-0.370,-0.410,-0.500
