,2012-03-31,2013-03-31,2014-03-31,2015-03-31
AssetManagementCosts,92738.000,58046.000,34405.000,25088.000
CashPeriodIncreaseDecrease,-65132.000,-90912.000,-11372.000,4343.000
DistributionFees,,,13130.000,14342.000
EquityMethodInvestmentRealizedGainLossOnDisposal,,121751.000,8409.000,0.000
GainLossOnSaleOfBusiness,-381961.000,121751.000,8409.000,
GainLossOnSaleOfProperties,381961.000,,,
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,25000.000,25000.000,
IncomeTaxesPaidNet,800.000,,,
IncreaseDecreaseInDueToRelatedParties,-325568.000,-81829.000,114706.000,167805.000
IncreaseDecreaseInOtherOperatingAssets,-18550.000,17660.000,-59866.000,62400.000
InvestmentIncomeInterest,59.000,18.000,1.000,1.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,0.010,,
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,,0.990,0.990,0.990
NetCashProvidedByUsedInInvestingActivities,381961.000,77301.000,8409.000,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,381961.000,77301.000,8409.000,0.000
NetCashProvidedByUsedInOperatingActivities,-447093.000,-168213.000,-19781.000,4343.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-447093.000,-168213.000,-19781.000,4343.000
NetIncomeLoss,253986.000,17707.000,-66212.000,-101062.000
NetIncomeLossAllocatedToGeneralPartners,2540.000,177.000,-662.000,-1011.000
NetIncomeLossAllocatedToLimitedPartners,251446.000,17530.000,-65550.000,-100051.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasic,13.970,0.980,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-3.660,-5.590
OperatingExpenses,147963.000,105262.000,87752.000,115405.000
OperatingIncomeLoss,-128034.000,-104062.000,-74622.000,-101063.000
OtherAssetImpairmentCharges,,6838.000,,60756.000
OtherCostAndExpenseOperating,7076.000,3175.000,13180.000,3066.000
OtherOperatingIncome,14641.000,,,
PostageExpense,2766.000,1977.000,108.000,1147.000
ProceedsFromPartnershipContribution,,,-1066000.000,
ProceedsFromSaleOfEquityMethodInvestments,381961.000,77301.000,8409.000,0.000
ProfessionalFees,41263.000,30178.000,34359.000,19350.000
RevenueFromRelatedParties,5288.000,1200.000,,0.000
Revenues,19929.000,1200.000,13130.000,14342.000
SalesRevenueNet,5288.000,1200.000,13130.000,14342.000
WeightedAverageLimitedPartnershipUnitsOutstanding,18000.000,17957.000,17917.000,17897.000
