,2011-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,394862000.000
AccountsReceivableNet,95538000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,213465000.000
AdditionalPaidInCapital,9665861000.000
Assets,14935695000.000
CashAndCashEquivalentsAtCarryingValue,24744000.000
CommonStockParOrStatedValuePerShare,0.010
CommonStockSharesIssued,570552000.000
CommonStockSharesOutstanding,570552000.000
CommonStockValue,5706000.000
DebtAndCapitalLeaseObligations,6415034000.000
DebtInstrumentUnamortizedDiscount,41914000.000
DeferredGainOnSaleOfProperty,531900000.000
DerivativeLiabilities,1000000.000
DevelopmentInProcess,452813000.000
EquityMethodInvestmentOwnershipPercentage,0.298
EquityMethodInvestmentSummarizedFinancialInformationAssets,16931700000.000
EquityMethodInvestmentSummarizedFinancialInformationEquityOrCapital,7977100000.000
EquityMethodInvestmentSummarizedFinancialInformationLiabilities,8948300000.000
EquityMethodInvestmentSummarizedFinancialInformationMinorityInterest,6300000.000
InvestmentBuildingAndBuildingImprovements,8258506000.000
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,2084696000.000
Land,2548677000.000
LandAvailableForDevelopment,1599966000.000
Liabilities,7309306000.000
LiabilitiesAndStockholdersEquity,14935695000.000
LineOfCreditFacilityAmountOutstanding,-273500000.000
LineOfCreditFacilityMaximumBorrowingCapacity,1627500000.000
LineOfCreditFacilityRemainingBorrowingCapacity,1268700000.000
LoansReceivableNet,358323000.000
LongTermDebt,6141514000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,172333000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,801616000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,659160000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,659957000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,800233000.000
MinorityInterest,17738000.000
NotesReceivableRelatedParties,246561000.000
OtherAssetsHeldForSale,215714000.000
OtherLiabilities,496946000.000
PledgedAssetsNotSeparatelyReportedRealEstate,273700000.000
PrepaidExpenseAndOtherAssets,637865000.000
RealEstateInvestmentPropertyAccumulatedDepreciation,1656781000.000
RealEstateInvestmentPropertyAtCost,13141508000.000
RealEstateInvestmentPropertyNet,11484727000.000
RealEstateInvestmentsOther,281546000.000
RestrictedCashAndCashEquivalents,34088000.000
RetainedEarningsAccumulatedDeficit,-2626381000.000
SegmentReportingReconcilingItemsAssets,547938000.000
SegmentReportingSegmentAssets,14387757000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,2365352.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOtherShareIncreaseDecreaseInPeriodWeightedAverageExercisePrice,31.980
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,2839674.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,28.970
StockholdersEquity,7608651000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,7626389000.000
