,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableCurrent,7648000.000,,9736000.000,8319000.000,4731000.000,6849000.000,8532000.000,7265000.000,3541000.000,5204000.000,9694000.000,8034000.000,4437000.000,2713000.000,5036000.000,3082000.000,4760000.000,1792000.000
AccountsReceivableNetCurrent,3244000.000,,3446000.000,3226000.000,3109000.000,2745000.000,3447000.000,4084000.000,3236000.000,3095000.000,3464000.000,4313000.000,5070000.000,3460000.000,2948000.000,2731000.000,2548000.000,1461000.000
AccruedLiabilitiesCurrent,1728000.000,,677000.000,336000.000,430000.000,546000.000,1192000.000,407000.000,559000.000,634000.000,833000.000,306000.000,463000.000,640000.000,821000.000,233000.000,680000.000,544000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,14226000.000,,14942000.000,16323000.000,16731000.000,18143000.000,19786000.000,20670000.000,20343000.000,21997000.000,23369000.000,24646000.000,25794000.000,26082000.000,26867000.000,27105000.000,28771000.000,30016000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,7204000.000,,28964000.000,19397000.000,27608000.000,20787000.000,18027000.000,23903000.000,26292000.000,18632000.000,15025000.000,15631000.000,15988000.000,23132000.000,30072000.000,39912000.000,38354000.000,38710000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,,-7000.000,-67000.000,-66000.000,0.000,0.000
AdditionalPaidInCapital,217753000.000,,219522000.000,220739000.000,221290000.000,221847000.000,222513000.000,223896000.000,224589000.000,225290000.000,226060000.000,227394000.000,228697000.000,247707000.000,248186000.000,249460000.000,250011000.000,250567000.000
AssetRetirementObligation,,,,,,,1431000.000,,,,1620000.000,,,,1989000.000,,,
AssetRetirementObligationCurrent,,,,,,,269000.000,,,,0.000,,,,,,,
AssetRetirementObligationsNoncurrent,736000.000,,1184000.000,1278000.000,1221000.000,1292000.000,1431000.000,1516000.000,1523000.000,1599000.000,1620000.000,1721000.000,1740000.000,1748000.000,1989000.000,1939000.000,1981000.000,2008000.000
Assets,82814000.000,,110224000.000,115337000.000,108595000.000,106195000.000,105954000.000,99803000.000,88691000.000,92007000.000,100692000.000,104584000.000,98296000.000,106963000.000,78893000.000,68060000.000,68219000.000,64136000.000
AssetsCurrent,31226000.000,,60200000.000,58890000.000,52943000.000,53196000.000,47119000.000,39478000.000,30474000.000,25262000.000,21827000.000,21409000.000,15340000.000,32957000.000,23451000.000,17667000.000,17672000.000,11112000.000
AssetsNoncurrent,2827000.000,,2128000.000,2156000.000,1900000.000,1842000.000,1746000.000,1555000.000,1488000.000,2772000.000,2729000.000,2584000.000,2447000.000,2175000.000,,,,
AvailableForSaleSecuritiesAmortizedCost,,,,,,,,,,,,,,4066000.000,,7030000.000,,
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,,,,,11638000.000,,,,14245000.000,,,,16744000.000,,,
CapitalizedCostsOilAndGasProducingActivitiesGross,,,,,,,66157000.000,,,,87648000.000,,,,67612000.000,,,
CapitalizedCostsOilAndGasProducingActivitiesNet,,,,,,,54519000.000,,,,73403000.000,,,,50868000.000,,,
CapitalizedCostsProvedProperties,,,,,,,63821000.000,,,,85244000.000,,,,65621000.000,,,
CapitalizedCostsUnprovedProperties,,,,,,,2336000.000,,,,2404000.000,,,,1991000.000,,,
CapitalizedExploratoryWellCosts,,,,,,,11160000.000,,,,19241000.000,23716.000,28457.000,23422.000,0.000,,800000.000,2600000.000
CashAndCashEquivalentsAtCarryingValue,13490000.000,,50859000.000,51111000.000,45914000.000,45180000.000,33990000.000,32492000.000,24126000.000,19182000.000,11153000.000,14258000.000,6754000.000,23467000.000,11232000.000,6905000.000,14165000.000,8738000.000
CertificatesOfDepositAtCarryingValue,406000.000,,406000.000,406000.000,406000.000,382000.000,382000.000,382000.000,406000.000,406000.000,406000.000,406000.000,406000.000,406000.000,406000.000,406000.000,406000.000,406000.000
CommonStockParOrStatedValuePerShare,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,,100000000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,52315204.000,,52787350000.000,52926098.000,52926098.000,52926098.000,53246620.000,53415522.000,53412433.000,53409365.000,53733398.000,53912277.000,54076416.000,54073918.000,54401967.000,54870587.000,54869656.000,54869256.000
CommonStockSharesOutstanding,52315204.000,,52787350000.000,52926098.000,52926098.000,52926098.000,53246620.000,53415522.000,53412433.000,53409365.000,53733398.000,53912277.000,54076416.000,54073918.000,54401967.000,54870587.000,54869656.000,54869256.000
CommonStockValue,52000.000,,53000.000,53000.000,53000.000,53000.000,53000.000,53000.000,53000.000,53000.000,54000.000,54000.000,54000.000,54000.000,54000.000,55000.000,55000.000,55000.000
DeferredFinanceCostsNoncurrentNet,2421000.000,,1722000.000,1750000.000,1494000.000,1460000.000,1364000.000,1173000.000,1082000.000,2366000.000,2323000.000,2178000.000,2041000.000,1769000.000,1553000.000,1327000.000,1241000.000,2655000.000
DeferredTaxAssetsLiabilitiesNet,,,,,,,0.000,,,,0.000,,,,0.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,,,10117000.000,,,,11927000.000,,,,11511000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAssetRetirementObligations,,,,,,,389000.000,,,,452000.000,,,,568000.000,,,
DeferredTaxAssetsUnrealizedCurrencyLosses,,,,,,,4865000.000,,,,4013000.000,,,,8239000.000,,,
