,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AccruedLiabilitiesCurrentAndNoncurrent,19758.000,19458.000,23572.000,34812.000,19246.000,21914.000,27831.000,44225.000,27106.000,39530.000,42952.000,47858.000,33719.000,23317.000
Assets,2020477.000,2078745.000,2095617.000,974540.000,915850.000,734626.000,636695.000,551963.000,423303.000,759372.000,640355.000,541746.000,418658.000,300615.000
CashAndCashEquivalentsAtCarryingValue,139525.000,118193.000,94770.000,974369.000,915221.000,734150.000,636452.000,551963.000,423021.000,759183.000,640312.000,541746.000,418482.000,300498.000
DueToAffiliateCurrentAndNoncurrent,957327.000,1038415.000,1130942.000,67379.000,138082.000,70704.000,76499.000,83942.000,82291.000,88994.000,85249.000,85484.000,83784.000,89984.000
DueToOfficersOrStockholdersCurrentAndNoncurrent,,,,,,,4593.000,,,,12265.000,,,
InvestmentOwnedAtFairValue,,,,2044403.000,2044403.000,2044403.000,1989681.000,,,,,,,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,1880222.000,1959962.000,2000439.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Liabilities,977085.000,1057873.000,1154514.000,102191.000,157328.000,92618.000,104330.000,128167.000,109397.000,128524.000,128201.000,133342.000,117503.000,113301.000
LiabilitiesAndStockholdersEquity,2020477.000,2078745.000,2095617.000,974540.000,915850.000,734626.000,636695.000,551963.000,423303.000,759372.000,640355.000,541746.000,418658.000,300615.000
LimitedPartnersCapitalAccountUnitsAuthorized,,,,,,,200000.000,,,,200000.000,,,
LimitedPartnersCumulativeSpecialEarningsLosses,,,,,,,,,,,,,,-745535.000
OtherAssets,730.000,590.000,408.000,171.000,629.000,476.000,243.000,0.000,282.000,189.000,43.000,0.000,176.000,117.000
PartnersCapital,1043392.000,1020872.000,941103.000,872349.000,758522.000,642008.000,532365.000,423796.000,313906.000,630848.000,512154.000,408404.000,301155.000,187314.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1043392.000,1020872.000,941103.000,872349.000,758522.000,642008.000,532365.000,423796.000,313906.000,630848.000,512154.000,408404.000,301155.000,187314.000
