,2011-09-30,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AmortizationOfAcquisitionCosts,437.000,437.000,264.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
AssetManagementCosts,,,,,,,,,,,72984.000,72984.000,72984.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,879599.000,,,,-84489.000,,,,-98566.000,,
ImpairmentOfInvestments,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-104146.000,-102697.000,-99073.000,-113827.000,-116514.000,-109643.000,-108569.000,-109890.000,950039.000,-118694.000,-103750.000,-107249.000,-113841.000
IncomeLossFromEquityMethodInvestments,-71698.000,80177.000,59722.000,0.000,0.000,-54722.000,0.000,0.000,366903.000,0.000,0.000,0.000,0.000
IncreaseDecreaseInAccruedLiabilities,,,,,,,16394.000,,,,4906.000,,
IncreaseDecreaseInDueToAffiliates,,,,,,,7443.000,,,,235.000,,
IncreaseDecreaseInOtherOperatingAssets,,,,,,,-243.000,,,,-43.000,,
InterestIncomeExpenseNet,,,,,,,,,,,495.000,371.000,254.000
InterestIncomeOperating,152.000,129.000,442.000,336.000,242.000,1689.000,501.000,417.000,369.000,,,,
LossOnSaleOfInvestments,,,29403.000,0.000,0.000,,0.000,0.000,0.000,0.000,,,
NetCashProvidedByUsedInInvestingActivities,,,2030494.000,,,,0.000,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,2030494.000,,,,0.000,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,-1150895.000,,,,-84489.000,,,,-98566.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-1150895.000,,,,-84489.000,,,,-98566.000,,
NetIncomeLoss,-175844.000,-22520.000,-68754.000,-113827.000,-116514.000,-109643.000,-108569.000,-109890.000,1316942.000,-118694.000,-103750.000,-107249.000,-113841.000
NetIncomeLossAllocatedToGeneralPartners,-1758.000,-225.000,-688.000,-1138.000,-1165.000,-1096.000,-1086.000,-1099.000,13170.000,-1187.000,-1038.000,-1072.000,-1138.000
NetIncomeLossAllocatedToLimitedPartners,-174086.000,-22295.000,-68066.000,-112689.000,-115349.000,-108547.000,-107483.000,-108791.000,1303772.000,-117507.000,-102712.000,-106177.000,-112703.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-4.770,-0.610,-1.860,-3.090,,,,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,-2.940,-2.980,35.720,-3.220,-2.810,-2.910,-3.090
OperatingExpenses,,,,,,,,,,,104245.000,107620.000,114095.000
ProceedsFromLimitedPartnershipInvestments,,,2015000.000,,,,0.000,,,,,,
ReimbursementRevenue,,,,,,,,,,,12500.000,9118.000,20289.000
Revenues,152.000,129.000,442.000,336.000,242.000,1689.000,501.000,417.000,1058895.000,585.000,495.000,371.000,254.000
SalesRevenueNet,152.000,129.000,442.000,336.000,242.000,1689.000,501.000,417.000,1058895.000,585.000,495.000,371.000,254.000
SellingGeneralAndAdministrativeExpense,35216.000,33745.000,28547.000,43460.000,46052.000,39426.000,37164.000,38402.000,36950.000,46295.000,31261.000,34636.000,41111.000
