,2012-03-31,2013-03-31,2014-03-31,2015-03-31,2016-03-31
AssetManagementCosts,42900.000,31130.000,17104.000,17284.000,9866.000
CashAndCashEquivalentsPeriodIncreaseDecrease,2414.000,49444.000,-53551.000,-27998.000,230251.000
DistributionFees,,,,0.000,
EquityMethodInvestmentRealizedGainLossOnDisposal,137061.000,447130.000,,,
GainLossOnSaleOfBusiness,,,,0.000,623345.000
GrossProfit,,21767.000,2000.000,2000.000,2000.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,,25000.000,,
IncomeLossFromEquityMethodInvestments,0.000,,,,
IncomeTaxesPaid,800.000,,,,
IncomeTaxesPaidNet,,,,800.000,800.000
IncreaseDecreaseInAccruedLiabilities,,166.000,-166.000,0.000,0.000
IncreaseDecreaseInDueToRelatedParties,-5586.000,-60056.000,72675.000,85573.000,-326023.000
IncreaseDecreaseInOtherOperatingAssets,-52425.000,2360.000,-54080.000,-24.000,-52206.000
InterestIncomeSecuritiesTaxable,,25000.000,,,
InvestmentIncomeInterest,,21.000,15.000,2.000,48.000
InvestmentIncomeNet,13.000,,,,
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,,,,0.990,0.990
NetCashProvidedByUsedInFinancingActivities,,,,,-81890.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,-81890.000
NetCashProvidedByUsedInInvestingActivities,155411.000,225765.000,,0.000,623345.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,155411.000,225765.000,,0.000,623345.000
NetCashProvidedByUsedInOperatingActivities,-152997.000,-176321.000,-53551.000,-27998.000,-311204.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-152997.000,-176321.000,-53551.000,-27998.000,-311204.000
NetIncomeLoss,42075.000,328339.000,-71980.000,-113595.000,585958.000
NetIncomeLossAllocatedToGeneralPartners,421.000,3283.000,-720.000,-1136.000,5860.000
NetIncomeLossAllocatedToLimitedPartners,41654.000,325056.000,-71260.000,-112459.000,580098.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,2.670,20.850,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-4.570,-7.230,37.320
OperatingExpenses,129537.000,140579.000,73995.000,115597.000,39435.000
OperatingIncomeLoss,-94999.000,-118812.000,-71995.000,-113597.000,-37435.000
OtherAssetImpairmentCharges,,6950.000,,,
OtherCostAndExpenseOperating,16616.000,11652.000,11136.000,20600.000,5469.000
PartnersCapitalAccountContributions,165000.000,,,,
PartnersCapitalAccountPublicSaleOfUnits,,15241000.000,15241000.000,,
PartnersCapitalAccountReturnOfCapital,,,,,-81890.000
PartnersCapitalAccountUnitsAcquisitions,,2.000,,,
PartnersCapitalAccountUnitsSaleOfUnits,,15600.000,20000.000,,
PartnersCapitalAccountUnitsSoldInPublicOffering,,,15600.000,,
PaymentsForAdvanceToAffiliate,0.000,,,,
ProceedsFromSaleOfEquityMethodInvestments,155411.000,225765.000,,0.000,623345.000
ProfessionalFees,,90847.000,45755.000,23633.000,24100.000
ProvisionForDoubtfulAccounts,0.000,,,,
RevenueFromRelatedParties,2850.000,6767.000,2000.000,2000.000,2000.000
Revenues,34538.000,,,,
SalesRevenueNet,34538.000,,,,
StockIssued1,165000.000,,,,
WeightedAverageLimitedPartnershipUnitsOutstanding,,,15588.000,15558.000,15543.000
WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,15600.000,15593.000,,,
