,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
AccountsPayableCurrent,,141500000.000,139000000.000,132000000.000,124600000.000,139000000.000,141400000.000,146900000.000,142500000.000,148700000.000,157600000.000,161800000.000,155600000.000,160100000.000,171900000.000,167600000.000,145000000.000,162000000.000,166100000.000,178100000.000,148300000.000,161700000.000,169100000.000,172600000.000,170900000.000,189900000.000,202300000.000
AccountsReceivableGrossCurrent,,,479700000.000,474700000.000,485500000.000,484700000.000,476800000.000,495200000.000,516900000.000,518300000.000,517000000.000,538200000.000,546500000.000,573700000.000,581200000.000,590000000.000,567000000.000,565600000.000,575100000.000,588100000.000,579200000.000,586900000.000,581300000.000,603600000.000,612800000.000,621600000.000,659000000.000
AccountsReceivableNetCurrent,,457600000.000,452200000.000,449600000.000,463500000.000,463100000.000,455800000.000,476900000.000,497900000.000,500200000.000,499900000.000,521900000.000,531600000.000,559000000.000,565800000.000,574400000.000,550800000.000,548400000.000,558000000.000,571200000.000,562500000.000,570000000.000,565900000.000,589100000.000,598800000.000,608100000.000,645300000.000
AccruedIncomeTaxesCurrent,,,,,11700000.000,,,,19600000.000,,,,7700000.000,,,,15200000.000,,,,28500000.000,,,,21400000.000,,
AccruedLiabilitiesCurrent,,48700000.000,44400000.000,48200000.000,48800000.000,50000000.000,45000000.000,47900000.000,50600000.000,50700000.000,44600000.000,47900000.000,48100000.000,53600000.000,46600000.000,50700000.000,53800000.000,54700000.000,45100000.000,48700000.000,52100000.000,54000000.000,44900000.000,49700000.000,52800000.000,52500000.000,43700000.000
AccruedMarketingCostsCurrent,,,,,29100000.000,,,,26600000.000,,,,24500000.000,,,,24500000.000,,,,23300000.000,,,,24700000.000,,
AccruedSalariesCurrent,,,,,,,,,,,,,,,,,99200000.000,71900000.000,76600000.000,87200000.000,91000000.000,64000000.000,73900000.000,85100000.000,89800000.000,61500000.000,69500000.000
AccruedSalariesCurrentAndNoncurrent,,66700000.000,80000000.000,79400000.000,91000000.000,65000000.000,74100000.000,83800000.000,88300000.000,62200000.000,73300000.000,84200000.000,95500000.000,70500000.000,83400000.000,92100000.000,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,580700000.000,573000000.000,572600000.000,574100000.000,590400000.000,590200000.000,604900000.000,615000000.000,620900000.000,627600000.000,640000000.000,644500000.000,658000000.000,662600000.000,660500000.000,658600000.000,652000000.000,669400000.000,679500000.000,684400000.000,701900000.000,708100000.000,716200000.000,712900000.000,733100000.000,753500000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,,,,,,1600000.000,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,271400000.000,,,,255600000.000,-249600000.000,,,100000.000,,,,300000.000,,,,400000.000,,,,400000.000,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,94700000.000,,,,129700000.000,101500000.000,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-40400000.000,-26100000.000,-87000000.000,-174600000.000,-146100000.000,-180800000.000,-131000000.000,-124200000.000,-146500000.000,-155900000.000,-111100000.000,-44800000.000,-36900000.000,-36500000.000,-97900000.000,-248200000.000,-339200000.000,-302000000.000,-322200000.000,-364200000.000,-340100000.000,-369800000.000,-372900000.000,-498500000.000,-450400000.000,-397000000.000
