,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,,24000.000
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,,,108000.000,
AmortizationOfLeasedAsset,,262000.000,23000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,12143000.000,,21224000.000
AssetImpairmentCharges,,90000.000,,
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentInventory,,,692000.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-5335000.000,-3039000.000,-56000.000,-1000.000
CostOfGoodsAndServicesSold,6364000.000,2407000.000,2078000.000,60000.000
DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1,,,1245000.000,
DeferredCompensationArrangementWithIndividualAllocatedShareBasedCompensationExpense,,171000.000,,
DepreciationDepletionAndAmortization,495000.000,466000.000,130000.000,38000.000
EarningsPerShareBasicAndDiluted,-0.220,-0.190,-0.070,-0.010
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,0.340,
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,,16000.000,24000.000
FairValueAssumptionsRiskFreeInterestRate,,,,0.020
FairValueOptionCreditRiskGainsLossesOnLiabilities,,13500.000,,
GainLossOnDispositionOfAssets,-49000.000,28000.000,29000.000,
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,,,34000.000,74000.000
GainLossRelatedToLitigationSettlement,-41000.000,2014000.000,,
GainsLossesOnSalesOfOtherAssets,,482000.000,,
GrossProfit,258000.000,-1304000.000,-1652000.000,-60000.000
ImpairmentOfLongLivedAssetsHeldForUse,,,,42000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,-480000.000,-169000.000,-36000.000
IncomeTaxReconciliationTaxContingenciesDomestic,,-2800000.000,-987000.000,-210000.000
IncreaseDecreaseInAccountsPayable,-1493000.000,204000.000,84000.000,-82000.000
IncreaseDecreaseInAccountsReceivable,-2020000.000,255000.000,118000.000,
IncreaseDecreaseInDeferredRevenue,289000.000,-202000.000,95000.000,
IncreaseDecreaseInEmployeeRelatedLiabilities,-656000.000,-168000.000,96000.000,17000.000
IncreaseDecreaseInInterestPayableNet,81000.000,81000.000,83000.000,81000.000
IncreaseDecreaseInInventories,426000.000,397000.000,116000.000,
IncreaseDecreaseInOperatingCapital,,-7200000.000,,
IncreaseDecreaseInOtherAccruedLiabilities,-1263000.000,-262000.000,39000.000,137000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-240000.000,,166000.000,3000.000
InterestExpenseMediumTermNotes,,88000.000,85000.000,81000.000
InterestPaid,6000.000,5000.000,1000.000,
InventoryLIFOReserveEffectOnIncomeNet,,,1660000.000,59000.000
InventoryLIFOReservePeriodCharge,,1436000.000,,
InventoryRecallExpense,,245000.000,,
InventoryWriteDown,845000.000,1436000.000,1660000.000,59000.000
LossContingencyDamagesSoughtValue,,,2014169.000,
NetCashProvidedByUsedInFinancingActivities,1242000.000,112000.000,-11000.000,267000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1242000.000,112000.000,-11000.000,267000.000
NetCashProvidedByUsedInInvestingActivities,-275000.000,237000.000,29000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-275000.000,237000.000,29000.000,
NetCashProvidedByUsedInOperatingActivities,-6302000.000,-3388000.000,-74000.000,-268000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-6302000.000,-3388000.000,-74000.000,-268000.000
NetIncomeLoss,-6984000.000,-8235000.000,-2904000.000,-619000.000
NonoperatingIncomeExpense,-128000.000,-2211000.000,-171000.000,-155000.000
OperatingExpenses,7114000.000,7420000.000,1081000.000,404000.000
OperatingIncomeLoss,-6856000.000,-6024000.000,-2733000.000,-464000.000
OperatingLeasesRentExpenseNet,,537000.000,111000.000,72000.000
OtherDepreciationAndAmortization,,466000.000,130000.000,38000.000
OtherRealEstatePeriodIncreaseDecrease,,,1327000.000,
OtherSignificantNoncashTransactionValueOfConsiderationGiven1,,,272000.000,
PartnersCapitalAccountUnitsSoldInPrivatePlacement,,,11250000.000,
