,2012-03-31,2013-03-31
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,1760555.000
AssetManagementCosts,38880.000,25743.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-15803.000,347966.000
EquityMethodInvestmentRealizedGainLossOnDisposal,,169552.000
GainLossOnDispositionOfProperty,,27000.000
GainLossOnSaleOfProperties,73997.000,
IncomeTaxesPaidNet,800.000,800.000
IncreaseDecreaseInAccruedLiabilities,0.000,665.000
IncreaseDecreaseInDueToRelatedParties,76500.000,-45702.000
IncreaseDecreaseInOtherOperatingAssets,-20237.000,-59598.000
InvestmentIncomeInterest,7.000,37.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,0.010
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,,0.990
NetCashProvidedByUsedInInvestingActivities,96991.000,484280.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,96991.000,484280.000
NetCashProvidedByUsedInOperatingActivities,-112794.000,-136314.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-112794.000,-136314.000
NetIncomeLoss,-95060.000,137873.000
NetIncomeLossAllocatedToGeneralPartners,-950.000,1379.000
NetIncomeLossAllocatedToLimitedPartners,-94110.000,136494.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasic,-5.230,7.610
OperatingExpenses,198244.000,69296.000
OperatingIncomeLoss,-169064.000,-31716.000
OtherCostAndExpenseOperating,12089.000,14616.000
PartnersCapitalAccountContributions,247039.000,
PartnersCapitalAccountUnitsAcquisitions,,3.000
PaymentsForAdvanceToAffiliate,115247.000,
PaymentsForProceedsFromRealEstatePartnershipInvestmentNet,-96991.000,
ProceedsFromSaleOfEquityMethodInvestments,,204280.000
ProceedsFromSaleOfInterestInPartnershipUnit,,4707317.000
ProceedsFromSaleOfInvestmentProjects,,2355384.000
ProfessionalFees,32028.000,28937.000
ProvisionForDoubtfulAccounts,115247.000,
RevenueFromRelatedParties,24991.000,20984.000
Revenues,29180.000,37580.000
SalesRevenueNet,29180.000,37580.000
WeightedAverageLimitedPartnershipUnitsOutstanding,18000.000,17946.000
