,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28
AccountsPayableCurrent,570245.000,635447.000,648321.000,596636.000,620296.000,479386.000,626865.000
AccountsReceivableGrossCurrent,,,,,174131.000,240145.000,263958.000
AccountsReceivableNetCurrent,214597.000,253029.000,193074.000,173496.000,154131.000,220145.000,243958.000
AccruedPayrollTaxesCurrent,,,,,1201159.000,1202676.000,1293879.000
AccruedProfessionalFeesCurrent,,,,,55455.000,31330.000,30400.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,633478.000,650578.000,667677.000
AdditionalPaidInCapital,18797401.000,19194169.000,19401307.000,19368435.000,,,
AdditionalPaidInCapitalCommonStock,,,,,19714587.000,19942159.000,19976168.000
AdvancesOnInventoryPurchases,,,,,,132604.000,34780.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,20000.000,20000.000,20000.000
Assets,4677766.000,4825191.000,4652515.000,4537147.000,4449943.000,5355166.000,4827904.000
AssetsCurrent,597840.000,810144.000,666124.000,536871.000,482732.000,1414116.000,912825.000
BankOverdrafts,,,,,4746.000,,
CashAndCashEquivalentsAtCarryingValue,14973.000,161238.000,16567.000,43016.000,,460494.000,157681.000
CommitmentsAndContingencies,,,,,0.000,0.000,0.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,40000000.000,40000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,24200316.000,25232982.000,27752982.000,28093982.000,28628982.000,31409982.000,31582982.000
CommonStockSharesOutstanding,24200316.000,25232982.000,27752982.000,28093982.000,28628982.000,31409982.000,31582982.000
CommonStockValue,24200.000,25233.000,27753.000,28094.000,28629.000,31410.000,31584.000
ConvertiblePreferredStockSharesReservedForFutureIssuance,,,,,500000.000,,
DebtInstrumentBasisSpreadOnVariableRate,,,,,0.050,,
DebtInstrumentFaceAmount,,,,,,,150000.000
DebtInstrumentUnamortizedDiscount,,,,,52532.000,133052.000,121000.000
DeferredRevenueCurrent,53768.000,133889.000,106524.000,58778.000,74574.000,46462.000,141625.000
EmployeeRelatedLiabilitiesCurrent,693748.000,791267.000,951332.000,1093483.000,48304.000,25053.000,42205.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,422583.000,438093.000,453603.000
FiniteLivedIntangibleAssetsNet,3531179.000,3510179.000,3489179.000,3468179.000,3448095.000,3432585.000,3417075.000
GoodwillGross,,,,,1420678.000,1420678.000,1420678.000
IntangibleAssetsNetIncludingGoodwill,,,,,3448095.000,3432585.000,3417075.000
InterestPayableCurrent,,,,,638682.000,332042.000,401768.000
InventoryNet,330438.000,350496.000,420178.000,297300.000,212328.000,490835.000,362431.000
Liabilities,,,,,8446969.000,9857992.000,9979622.000
LiabilitiesAndStockholdersEquity,4677766.000,4825191.000,4652515.000,4537147.000,4449943.000,5355166.000,4827904.000
LiabilitiesCurrent,3008252.000,3453616.000,3530436.000,3750113.000,4097501.000,3360879.000,4085045.000
LineOfCreditFacilityAmountOutstanding,,,,,,1811592.000,1591790.000
LongTermDebt,,,,,5636000.000,7954165.000,7507576.000
LongTermDebtCurrent,,,,,250000.000,250000.000,818000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,1234000.000,1074000.000,1492000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,,,,,0.000,0.000,0.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,,,0.000,0.000,29213.000
