,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,-2815000.000,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,5992000.000,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,4827000.000,,,,417000.000,,
AllocatedShareBasedCompensationExpense,,,,,,,,,5992000.000,6291000.000,6629000.000
AmortizationOfFinancingCostsAndDiscounts,,,,,2245000.000,,,,2409000.000,,
AmortizationOfIntangibleAssets,8897000.000,7156000.000,7208000.000,7774000.000,8827000.000,8787000.000,8830000.000,8857000.000,8899000.000,7683000.000,7689000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,1749000.000,2266000.000,,837000.000,,,,,,
AssetImpairmentCharges,,,8500000.000,,,,,,104245000.000,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,,,-10000.000,,,,8000.000,,
AvailableForSaleSecuritiesIncomeTaxExpenseOnChangeInUnrealizedHoldingGainOrLoss,,,,,1000.000,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,,,,,,,,,-422000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-35344000.000,,,,32293000.000,,,,,,
ComprehensiveIncomeNetOfTax,,23736000.000,26603000.000,,20996000.000,-4843000.000,-3851000.000,-6252000.000,-64517000.000,292000.000,4886000.000
CostOfGoodsSold,18869000.000,21309000.000,20115000.000,19683000.000,32079000.000,24721000.000,21552000.000,30195000.000,29859000.000,28158000.000,27479000.000
CostsAndExpenses,67000000.000,86500000.000,92466000.000,76280000.000,95490000.000,91870000.000,95177000.000,112053000.000,205008000.000,99925000.000,102364000.000
DebtInstrumentConvertibleEffectiveInterestRate,,,,,0.080,,,,,,
DebtInstrumentConvertibleIfConvertedValueInExcessOfPrincipal,,,,,350000000.000,,,,,,
DeferredCompensationArrangementWithIndividualFairValueOfSharesIssued,,,,,103000.000,,,,,,
DeferredIncomeTaxExpenseBenefit,-2468000.000,,,,-4381000.000,,,,,,
DepreciationDepletionAndAmortization,9421000.000,,,,9561000.000,,,,9739000.000,,
EarningsPerShareBasic,0.470,0.300,0.380,0.740,0.280,-0.060,-0.070,-0.070,-0.980,0.010,0.060
EarningsPerShareDiluted,0.400,0.280,0.350,0.650,0.260,-0.060,-0.070,-0.050,-0.980,0.010,0.060
EffectOfExchangeRateOnCashAndCashEquivalents,458000.000,,,,699000.000,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,,,,,-849000.000,,
EffectiveIncomeTaxRateContinuingOperations,,0.426,0.366,,0.475,,,,0.393,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,271000.000,,,,4827000.000,,,,417000.000,,
FairValueLiabilitiesMeasuredOnRecurringBasisGainLossIncludedInOtherIncome,,,2100000.000,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,,,,,,,,,417000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,-105455000.000,-235000.000,10684000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,60400000.000,39690000.000,44520000.000,63397000.000,38060000.000,-5390000.000,-8787000.000,-4862000.000,,,
IncomeTaxExpenseBenefit,23954000.000,16894000.000,16281000.000,10219000.000,18069000.000,-1187000.000,-4220000.000,748000.000,-41458000.000,-833000.000,6498000.000
IncomeTaxesPaid,,,,,23677000.000,,,,-69000.000,,
IncreaseDecreaseInAccountsPayable,5947000.000,,,,4840000.000,,,,-4181000.000,,
