SEC ID,Report date,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,ComprehensiveIncomeNetOfTax,EarningsPerShareDiluted,Goodwill,Liabilities,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,Revenues,WeightedAverageNumberOfDilutedSharesOutstanding
1493040,2015-04-30,16293.000,15056.000,15056.000,,,,1855767.000,,64211.000,0.000,-259254.000,,1237.000,0.000,29768750.000
1019650,2016-12-31,977779000.000,,22507000.000,5922000.000,0.920,,850850000.000,,63929000.000,-79732000.000,10655000.000,,16371000.000,,6517109.000
1508594,2014-09-30,48150.000,2391.000,,,,,96165.000,5984.000,18961.000,,-18903.000,-24017.000,12082.000,19034.000,
701221,2016-12-31,59360000000.000,,3185000000.000,1735000000.000,7.190,5980000000.000,45575000000.000,,-225000000.000,-2574000000.000,4026000000.000,,1536000000.000,39668000000.000,259647000.000
1121793,2014-12-26,21731100.000,13935500.000,,324600.000,0.010,,,13678300.000,3122300.000,-2934000.000,-425100.000,996100.000,4893900.000,61711400.000,19983799.000
817979,2015-12-31,606716000.000,151930000.000,29759000.000,24579000.000,-0.160,96283000.000,535862000.000,121898000.000,-18198000.000,-24553000.000,42737000.000,29420000.000,224762000.000,,47961000.000
1028954,2016-12-31,848728000.000,,,5680000.000,1.190,,788656000.000,,157399000.000,-158021000.000,9140000.000,,8728000.000,,4651108.000
1332412,2011-12-31,9873990.000,9058701.000,372435.000,419974.000,0.010,,,6634602.000,125154.000,-62872.000,-275396.000,744130.000,112062.000,14992867.000,63778097.000
1121788,2016-12-31,4525133000.000,2263016000.000,846883000.000,504481000.000,2.700,224553000.000,,782735000.000,-561676000.000,-121537000.000,705682000.000,623909000.000,482878000.000,3022671000.000,189343.000
1479426,2013-06-28,34941000.000,18755000.000,5101000.000,-9553000.000,-0.840,,27173000.000,25655000.000,-17571000.000,-402000.000,5187000.000,-8676000.000,1204000.000,64953000.000,11295501.000
778734,2014-03-31,541660000.000,192951000.000,49964000.000,,2.260,179816000.000,205114000.000,61352000.000,28505000.000,-75217000.000,58930000.000,50032000.000,77253000.000,,16685000.000
1552164,2015-01-31,22307.000,20179.000,19579.000,,,,,122690.000,182594.000,-2134.000,-161952.000,,2128.000,,
1527190,2016-12-29,788500000.000,180900000.000,10700000.000,109300000.000,,,1045400000.000,121100000.000,-130200000.000,-12400000.000,150300000.000,173000000.000,29600000.000,,
1555177,2016-12-31,249904000.000,53938000.000,4000.000,,-2.920,,195248000.000,22850000.000,-114081000.000,140541000.000,-47326000.000,-89596000.000,165855000.000,128399000.000,
912833,2016-12-31,406102000.000,315228000.000,76141000.000,6320000.000,0.260,,97371000.000,78118000.000,434000.000,-21795000.000,49345000.000,12036000.000,82517000.000,703371000.000,24988000.000
1364100,2013-12-31,650682000.000,230043000.000,12190000.000,-39385000.000,,,408665000.000,161994000.000,50811000.000,-16542000.000,-29908000.000,-49959000.000,388580000.000,361100000.000,93827000.000
1061288,2011-12-31,1227350.000,56948.000,28551.000,,,,,343564.000,316234.000,-238192.000,-51836.000,-240837.000,961727.000,,
1115975,2014-12-31,,1310.000,1310.000,,,,522861.000,522861.000,36900.000,,-38226.000,-36032.000,,,
1473654,2016-12-31,6902.000,6902.000,1413.000,-731813.000,,,357932.000,357932.000,118506.000,,-139809.000,-626296.000,,2236.000,
1658432,2016-12-31,2077381.000,1039725.000,287754.000,,,,2337165.000,2160082.000,620243.000,-438226.000,-228287.000,-1014438.000,1037656.000,6543428.000,
865941,2016-06-30,1103290000.000,255608000.000,9077000.000,13965000.000,0.880,62451000.000,,191495000.000,-46416000.000,35827000.000,-5211000.000,52206000.000,636733000.000,1065356000.000,28081000.000
1528749,2016-12-31,22224104.000,7955585.000,7805660.000,-930798.000,,,45084.000,45084.000,-129852.000,8650861.000,-669403.000,-586784.000,5956385.000,0.000,39725556.000
1585064,2016-09-30,27035000000.000,,864000000.000,448000000.000,1.660,,25101000000.000,,1183000000.000,-1186000000.000,365000000.000,175000000.000,,1139000000.000,
1006820,2011-12-31,245677000.000,,10536000.000,-9051000.000,-7.640,,242081000.000,,-6385000.000,-1650000.000,2171000.000,,4427000.000,,
1441849,2016-12-31,1714776000.000,225157000.000,83708000.000,56676000.000,0.350,2280000.000,763115000.000,129191000.000,-28998000.000,-25323000.000,48716000.000,67268000.000,1432361000.000,800438000.000,62290000.000
1483195,2016-06-30,3669338000.000,,,44071000.000,1.210,,3134138000.000,,244999000.000,-275530000.000,31973000.000,,14338000.000,,43275000.000
93556,2016-12-31,15634900000.000,4788500000.000,1131800000.000,738300000.000,6.510,6694000000.000,9261300000.000,2807500000.000,-433100000.000,-284000000.000,1485200000.000,1840500000.000,1451200000.000,11406900000.000,148207000.000
811830,2016-12-31,137370523000.000,,,340206000.000,,4454925000.000,114991765000.000,,-4869574000.000,356752000.000,5101674000.000,,996498000.000,0.000,
1431837,2012-03-31,0.000,0.000,,,,,,62871.000,,,0.000,,,0.000,
102109,2017-03-31,18387273.000,7711539.000,262355.000,-2793424.000,,,,4155015.000,1950234.000,102581.000,-2153188.000,-978140.000,46293.000,,
1390533,2015-12-31,,129243.000,118743.000,,,,219575.000,76718.000,174227.000,,-56228.000,-67386.000,,,
828940,2012-12-31,1307405.000,1005829.000,183785.000,,,,,1227854.000,-168358.000,-23733.000,358916.000,131985.000,20364.000,4276488.000,
1537048,2015-08-31,134.000,,134.000,,,,33604.000,,0.000,,-332.000,-18947.000,,0.000,
1070789,2014-12-31,2836.000,2836.000,2836.000,,,,,1336375.000,80904.000,,-83543.000,-131992.000,,,
1571384,2015-12-31,275.000,275.000,275.000,,,,,251458.000,25018.000,,-26904.000,,,,
1514370,2012-02-29,0.000,,,,,,0.000,,139.000,,-139.000,-139.000,,0.000,
860413,2016-12-31,9063895000.000,,782023000.000,87102000.000,2.130,212820000.000,8081302000.000,,26588000.000,-143092000.000,118070000.000,,194457000.000,,44910396.000
1446210,2012-12-31,57455039.000,39565693.000,,14300622.000,,427136.000,29433359.000,28117991.000,0.000,-9293184.000,23171485.000,,5599190.000,59217289.000,
65270,2017-04-29,704000000.000,530300000.000,294000000.000,75600000.000,,1600000.000,162900000.000,124400000.000,-47000000.000,-21700000.000,145200000.000,110800000.000,90600000.000,816500000.000,37485701.000
1144945,2013-12-31,3125670000.000,162097000.000,7298000.000,,,70283000.000,,148439000.000,147602000.000,-358463000.000,203446000.000,132683000.000,2189278000.000,1117486000.000,
744485,2012-12-31,413272000.000,,51625000.000,-11724000.000,-3.210,,397339000.000,,-39117000.000,47935000.000,4974000.000,,8544000.000,,4275236.000
916863,2014-12-31,11282000000.000,1410700000.000,18000000.000,272500000.000,3.430,655400000.000,7931200000.000,1436100000.000,-269200000.000,-336500000.000,601400000.000,507000000.000,6859800000.000,4144200000.000,80700000.000
827187,2016-12-31,457166000.000,138327000.000,11609000.000,51431000.000,1.100,64046000.000,296846000.000,225317000.000,-118355000.000,-42675000.000,151645000.000,76650000.000,208367000.000,1311291000.000,46902000.000
1662669,2016-12-31,,,,,,,5175.000,,1000.000,,-1000.000,-10413.000,,,
1463729,2014-12-31,678007000.000,675532000.000,458278000.000,-115025000.000,,,28520000.000,28520000.000,697333000.000,-170611000.000,-92249000.000,-111570000.000,966000.000,,
1523854,2016-12-31,287103940.000,,7649356.000,1659867.000,1.790,,258901542.000,,13333059.000,-18209386.000,5688258.000,,6111527.000,,1003993.000
1505155,2016-12-31,150588000.000,47299000.000,28758000.000,-13376000.000,,69097000.000,91575000.000,39698000.000,19525000.000,-13229000.000,3875000.000,-8524000.000,4356000.000,74767000.000,
1619096,2016-07-31,17699.000,859.000,859.000,,,,958.000,,,,-7852.000,-9447.000,14362.000,46541.000,
1404281,2016-12-31,29761000.000,29543000.000,23223000.000,-37905000.000,,,2903000.000,2819000.000,37000.000,35683000.000,-36520000.000,-38123000.000,98000.000,0.000,
1351901,2016-12-31,1845492.000,660960.000,332742.000,,,,1011281.000,,-281445.000,-55252.000,648584.000,,,952933.000,
1157601,2016-12-31,41210425.000,41207479.000,19144983.000,-26362454.000,,,4799923.000,4799923.000,14454082.000,21992272.000,-17607620.000,-25223641.000,2946.000,,
885275,2016-12-31,2198051000.000,,47918000.000,22401000.000,2.490,4805000.000,1953431000.000,,149698000.000,-237836000.000,26803000.000,,44414000.000,,10284328.000
1553326,2016-09-30,702625000.000,,29613000.000,3680000.000,0.930,,622996000.000,,58570000.000,-52202000.000,6757000.000,,15410000.000,,3730078.000
1411488,2016-12-31,3595778000.000,2054656000.000,1008125000.000,-4024000.000,0.080,570398000.000,2803383000.000,2168833000.000,204121000.000,-289761000.000,185231000.000,23249000.000,172381000.000,1899778000.000,57260000.000
1378125,2015-07-31,498.000,,498.000,,,,539416.000,,6610.000,,-6112.000,-29101.000,,,
320174,2014-12-31,8886223.000,7745352.000,5594578.000,,,,1799503.000,1799503.000,,,,,1140871.000,,
80661,2016-12-31,33427500000.000,,,1164000000.000,1.760,449400000.000,24986700000.000,,-250400000.000,-2464500000.000,2701900000.000,,1177100000.000,23441400000.000,585000000.000
355379,2016-12-31,47267129.000,,661545.000,-244078.000,,,42998207.000,,1303998.000,-907664.000,-927125.000,-5174448.000,158471.000,4114248.000,
1536256,2014-12-31,57866453.000,,333919.000,,,,39679619.000,,24493912.000,-24211734.000,-468708.000,441388.000,,,
1065059,2016-12-31,713500000.000,560600000.000,260700000.000,-70900000.000,,,,325700000.000,-9800000.000,-1200000.000,37700000.000,-61700000.000,6000000.000,311300000.000,
1238289,2015-12-31,2613100.000,76500.000,0.000,-1512300.000,,,,1019700.000,,,,,,,
1553404,2016-03-31,12468526.000,95851.000,40108.000,-7371333.000,,,12086149.000,11266656.000,1035004.000,50064.000,-1101335.000,-4480495.000,,,
