SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,75578000.000,69126000.000,66433000.000,69707000.000,60158000.000,52906000.000,48968000.000,50060000.000,48523000.000,43995000.000,42915000.000,43960000.000,,,,,,,,,,,,,
1133116,,35.000,220.000,75013.000,21749.000,47437.000,38114.000,38144.000,31711.000,29017.000,30659.000,30847.000,32016.000,24183.000,21694.000,19857.000,18409.000,,,,,,,,,
912513,3826500000.000,3857000000.000,3630700000.000,3536700000.000,3715900000.000,3858400000.000,3955900000.000,3922100000.000,3961200000.000,2748100000.000,2644300000.000,2680500000.000,2740300000.000,2816200000.000,2817400000.000,2767200000.000,2722700000.000,2776400000.000,2808100000.000,,,,,,,
1101026,,,366051.000,463494.000,417429.000,,,234004.000,221235.000,496201.000,2011094.000,2174403.000,1783659.000,1541061.000,1592926.000,101857.000,183030.000,119244.000,101796.000,72680.000,349598.000,90846.000,749910.000,737292.000,1238745.000,
23197,998563000.000,937509000.000,853373000.000,,765400000.000,719778000.000,705594000.000,,684747000.000,676362000.000,682575000.000,,655214000.000,633605000.000,469239000.000,,471487000.000,473795000.000,459042000.000,,462170000.000,921196000.000,903452000.000,,883508000.000,863758000.000
1431880,,,325893.000,545062.000,874665.000,,892891.000,170506.000,4584.000,2552.000,3504.000,177.000,,,,,,,,,,,,,,
1540615,,,,,,10016.000,,,1601.000,11310.000,13572.000,,,131961.000,7879.000,,317196.000,375070.000,,,,,,,,
1456137,,42245888.000,51250774.000,48983598.000,51810728.000,,57381570.000,55091652.000,58647112.000,59015034.000,69233343.000,,,,,,,,,,,,,,,
1069258,,912400000.000,1241400000.000,1216400000.000,1237400000.000,1299300000.000,1372900000.000,1284000000.000,1270600000.000,1222300000.000,1224700000.000,1216600000.000,1196400000.000,1172100000.000,1145900000.000,1138800000.000,1122600000.000,1102600000.000,921500000.000,903300000.000,884400000.000,874200000.000,875900000.000,948600000.000,961600000.000,950000000.000
887936,2247264000.000,2299695000.000,2326519000.000,2411084000.000,2371097000.000,2374081000.000,2349948000.000,2275452000.000,2239452000.000,2270881000.000,2277542000.000,2364947000.000,2312567000.000,2373240000.000,2414891000.000,2430527000.000,2371369000.000,2437064000.000,2294012000.000,2229018000.000,2225044000.000,2287464000.000,2341618000.000,2225368000.000,2172562000.000,2224793000.000
70487,,100298000.000,100952000.000,100676000.000,103378000.000,105594000.000,109429000.000,100046000.000,103502000.000,104899000.000,109914000.000,110996000.000,116277000.000,121868000.000,127063000.000,129510000.000,128452000.000,131048000.000,129476000.000,129099000.000,118370000.000,116499000.000,119301000.000,120624000.000,126059000.000,
13055,,,406565.000,,,,,,,,,,,,,,,,,,,,,,,
946486,,25248000.000,18723000.000,13324000.000,57738000.000,49181000.000,39752000.000,29943000.000,29162000.000,33907000.000,23631000.000,89317000.000,79498000.000,69474000.000,58309000.000,47499000.000,38122000.000,28200000.000,52732000.000,44377000.000,34710000.000,24998000.000,16434000.000,9699000.000,11707000.000,
36146,9514462000.000,9698451000.000,9705921000.000,9727007000.000,9931593000.000,9890846000.000,9872159000.000,9828667000.000,11850515000.000,11863312000.000,11805197000.000,11790383000.000,12057054000.000,12119996000.000,12096316000.000,12250633000.000,12179164000.000,12182448000.000,12390276000.000,12678896000.000,12775196000.000,13030349000.000,13161538000.000,13352333000.000,13490361000.000,
