SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,66433000.000,48968000.000,42915000.000,,,
1133116,,75013.000,38144.000,30847.000,19857.000,,
912513,,3536700000.000,3922100000.000,2680500000.000,2767200000.000,,
1101026,,463494.000,234004.000,2174403.000,101857.000,72680.000,737292.000
23197,,937509000.000,719778000.000,681815000.000,473852000.000,473877000.000,921196000.000
1431880,,874665.000,4584.000,,,,
1540615,,,,13572.000,7879.000,,
1456137,,48983598.000,55091652.000,,,,
1069258,,1216400000.000,1284000000.000,1216600000.000,1138800000.000,903300000.000,948600000.000
887936,,2411084000.000,2275452000.000,2364947000.000,2430527000.000,2229018000.000,2225368000.000
70487,,100676000.000,100046000.000,110996000.000,129510000.000,129099000.000,120624000.000
13055,,,,,,,
946486,,13324000.000,29943000.000,89317000.000,47499000.000,44377000.000,9699000.000
36146,,9727007000.000,9828667000.000,11790383000.000,12250633000.000,12678896000.000,13352333000.000
1393631,,,5357048.000,87412976.000,,,
1377013,,48276000000.000,49809000000.000,48273000000.000,48501000000.000,49277000000.000,
814549,,411182000.000,516946000.000,553864000.000,634311000.000,675989000.000,803755000.000
1276477,,121889000.000,,,,,
764038,,3896557000.000,5136446000.000,7931498000.000,7826227000.000,8557348000.000,8900592000.000
1610853,,,,,,4040722.000,
1582554,,,,,3361450.000,8406078.000,9816341.000
1459188,,1574013.000,,,,,
1005409,,4021180000.000,3905399000.000,4028190000.000,4497107000.000,5032872000.000,6005430000.000
1622057,,,,,937601.000,1401314.000,899760.000
1175108,,277044000.000,,,,,
927761,,,,,,,
937834,,,,432783000000.000,458218000000.000,449520000000.000,432561000000.000
1320729,,,7997832.000,,,,
860131,,,,,200.000,1728943.000,1954442.000
1329799,,,,,3094866000.000,,
77877,,1698005000.000,1826848000.000,2025203000.000,2340588000.000,2370543000.000,4485842000.000
1267391,,,,,,,
1040130,,91064000.000,73179000.000,78375000.000,82852000.000,90279000.000,112809000.000
1484565,,,,,8395925.000,8201195.000,5564852.000
1287668,,,,,,,
1262449,,,,,,,
1270400,,,,,,,
1077688,150411000.000,149171000.000,155823000.000,155481000.000,170755000.000,181653000.000,318696000.000
1140184,,,,,,,
1361937,,2003224000.000,2065414000.000,2204983000.000,2249203000.000,1923602000.000,1606770000.000
1426800,,37045781.000,20555644.000,27132042.000,71225193.000,133744497.000,98118606.000
1269879,,,145325.000,98169.000,,,
889331,,678424000.000,777728000.000,1024373000.000,1070826000.000,1064981000.000,1491194000.000
1034669,,345117000.000,181024000.000,,,,
1416729,,11936176.000,178236.000,,,,
1020214,,45367000.000,48919000.000,83381000.000,81776000.000,139470000.000,103476000.000
95552,,593231000.000,599601000.000,653388000.000,579910000.000,539929000.000,542756000.000
1501268,,,534.000,529.000,19462.000,34416.000,
1040570,,1334585000.000,,,,,
1269022,,522.000,,200.000,922918.000,,
1594420,,,,,,,
1324482,,,,,,,
1502777,,,116937.000,,,,
911109,,1708051000.000,1727560000.000,1677374000.000,2103174000.000,1979222000.000,2004894000.000
1402186,,,,,,,
1549848,,,,,436120000.000,419629000.000,529310000.000
931058,,1077695000.000,1241414000.000,1216850000.000,,,
1563004,,,,,,,
1546381,,,,,192054000.000,151460000.000,135980000.000
1487952,,256605000.000,263173000.000,292104000.000,289887000.000,264301000.000,270510000.000
1287701,,2258330000.000,2168836000.000,491663000.000,1500000000.000,,
883107,,9091011.000,9649658.000,7028000.000,5730000.000,4574000.000,4842000.000
1084869,,,264848000.000,267569000.000,501946000.000,,506514000.000
1443157,,,,276572.000,,,
1145765,,782343935.000,499260401.000,306334381.000,246891692.000,214222832.000,230758101.000
