SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,59039000.000,53951000.000,52473000.000,56988000.000,48320000.000,42241000.000,41028000.000,42571000.000,39552000.000,35313000.000,34469000.000,35814000.000,,,,,,,,,,,,,
1133116,,35.000,220.000,,15251.000,42297.000,33574.000,34343.000,29011.000,26971.000,29259.000,29659.000,31075.000,23434.000,21127.000,19436.000,18127.000,,,,,,,,,
912513,1503400000.000,1520600000.000,1374000000.000,1287800000.000,1424700000.000,1606600000.000,1291300000.000,1216700000.000,1264200000.000,996500000.000,822400000.000,787800000.000,830100000.000,866200000.000,876300000.000,834800000.000,821800000.000,853500000.000,896400000.000,,,,,,,
1101026,,,92380.000,249830.000,180737.000,,,90805.000,97473.000,495356.000,518968.000,688527.000,304878.000,68530.000,126645.000,33107.000,120530.000,62994.000,51796.000,28930.000,312098.000,59596.000,614538.000,520423.000,1056243.000,
23197,775348000.000,761143000.000,641724000.000,,556964000.000,516876000.000,505995000.000,,487737000.000,481719000.000,493060000.000,,466843000.000,290844000.000,288681000.000,,292716000.000,297560000.000,278590000.000,,281579000.000,303639000.000,292908000.000,,278495000.000,266201000.000
1431880,,,30893.000,30197.000,251381.000,,132006.000,120506.000,4584.000,2552.000,3504.000,177.000,,,,,,,,,,,,,,
1540615,,,,,,10016.000,,,1601.000,51.000,13572.000,,,131961.000,7879.000,,17396.000,51936.000,,,,,,,,
1456137,,1760993.000,5248753.000,3054228.000,5950972.000,,7519190.000,5561022.000,9128636.000,1247546.000,40819334.000,,,,,,,,,,,,,,,
1069258,,347900000.000,454400000.000,421000000.000,448600000.000,521100000.000,456600000.000,455400000.000,455100000.000,417800000.000,429300000.000,430300000.000,413300000.000,398500000.000,376700000.000,374900000.000,366200000.000,353200000.000,310400000.000,320400000.000,305300000.000,302100000.000,310400000.000,373100000.000,387300000.000,373800000.000
887936,593192000.000,632096000.000,677503000.000,770954000.000,719180000.000,724436000.000,692801000.000,674375000.000,651729000.000,664777000.000,746910000.000,803861000.000,731226000.000,785268000.000,856968000.000,884173000.000,847934000.000,904423000.000,788479000.000,741625000.000,744351000.000,811742000.000,864066000.000,783171000.000,737136000.000,777789000.000
70487,,20845000.000,21627000.000,22137000.000,25259000.000,28224000.000,32451000.000,23815000.000,27869000.000,29665000.000,34908000.000,36474000.000,42275000.000,47475000.000,53202000.000,53188000.000,53171000.000,55771000.000,56067000.000,56111000.000,44814000.000,42741000.000,45917000.000,47065000.000,52383000.000,
13055,,,351577.000,,,,,,,,,,,,,,,,,,,,,,,
946486,,21841000.000,15738000.000,10631000.000,55195000.000,46546000.000,37357000.000,27806000.000,26991000.000,31907000.000,21712000.000,87239000.000,76817000.000,66484000.000,55723000.000,45559000.000,36159000.000,26662000.000,48727000.000,40794000.000,31335000.000,21948000.000,13686000.000,7194000.000,9508000.000,
36146,,,,,,,,,,,,,,,,,,,,,,,,,,
1393631,,28.000,,,0.000,986827.000,1077984.000,1141570.000,1437756.000,23130302.000,20210420.000,52386145.000,35902401.000,43106004.000,6249184.000,,,,,,,,,,,
1377013,4042000000.000,4531000000.000,6687000000.000,6398000000.000,3888000000.000,4586000000.000,5362000000.000,4877000000.000,4604000000.000,4610000000.000,2656000000.000,2144000000.000,3114000000.000,1988000000.000,2074000000.000,2316000000.000,2006000000.000,2074000000.000,1889000000.000,2459000000.000,2619000000.000,,,,,
814549,,,54383000.000,63817000.000,74785000.000,68601000.000,76426000.000,81669000.000,89895000.000,81849000.000,84475000.000,102349000.000,105815000.000,81097000.000,94285000.000,103861000.000,82995000.000,87662000.000,93240000.000,116830000.000,139254000.000,145396000.000,185383000.000,209869000.000,217024000.000,
1276477,,34648000.000,,46912000.000,43646000.000,,,,,,,,,,,,,,,,,,,,,
764038,,,,,,,,,,,,,,,,,,,,,,,,,,
1610853,,,,,,,,,,,,,,,,,,1430339.000,719108.000,5255498.000,4040722.000,9096151.000,6801989.000,,8580798.000,
1582554,,,,,,,,,,,,,,6685544.000,5114828.000,2805138.000,4840264.000,6880351.000,4884763.000,3559120.000,1911580.000,773510.000,6529229.000,4565488.000,16793473.000,
1459188,,,1520790.000,1536772.000,1492890.000,1445795.000,1344274.000,,,,,,,,,,,,,,,,,,,
1005409,,,,,,,,,,,,,,,,,,,,,,,,,,
1622057,,,,,,,,,,,,,,,,301288.000,109637.000,112252.000,43976.000,6451.000,573350.000,65222.000,522314.000,91178.000,129806.000,
1175108,,140203000.000,131443000.000,125751000.000,113246000.000,104780000.000,108334000.000,,,,,,,,,,,,,,,,,,,
927761,,,,,,,,,,,,,,,,,,,,,,,,,,
937834,,,,,,,,,,,,,,,,,,,,,,,,,,
1320729,,,2439359.000,,2069230.000,5491848.000,4209417.000,4803841.000,3822281.000,9176192.000,3829979.000,6039104.000,12352758.000,,,,,,,,,,,,,
860131,,,11671473.000,,,,,,,,,,,,,200.000,336778.000,281906.000,2035225.000,1697378.000,1620028.000,3095758.000,2416983.000,1922067.000,1790868.000,
1329799,,,,,,,,,,,,,,,,,,,,,,,,,,
