SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,52473000.000,41028000.000,34469000.000,,,
1133116,,,34343.000,29659.000,19436.000,,
912513,,1287800000.000,1216700000.000,787800000.000,834800000.000,,
1101026,,249830.000,90805.000,688527.000,33107.000,28930.000,520423.000
23197,,723065000.000,516876000.000,489651000.000,290844000.000,300756000.000,303639000.000
1431880,,251381.000,4584.000,,,,
1540615,,,,13572.000,7879.000,,
1456137,,3054228.000,5561022.000,,,,
1069258,,421000000.000,455400000.000,430300000.000,374900000.000,320400000.000,373100000.000
887936,,770954000.000,674375000.000,803861000.000,884173000.000,741625000.000,783171000.000
70487,,22137000.000,23815000.000,36474000.000,53188000.000,56111000.000,47065000.000
13055,,,,,,,
946486,,10631000.000,27806000.000,87239000.000,45559000.000,40794000.000,7194000.000
36146,,,,,,,
1393631,,,1141570.000,52386145.000,,,
1377013,,6398000000.000,4877000000.000,2144000000.000,2316000000.000,2459000000.000,
814549,,63817000.000,81669000.000,102349000.000,103861000.000,116830000.000,209869000.000
1276477,,46912000.000,,,,,
764038,,,,,,,
1610853,,,,,,4040722.000,
1582554,,,,,2805138.000,3559120.000,4565488.000
1459188,,1536772.000,,,,,
1005409,,,,,,,
1622057,,,,,109637.000,573350.000,129806.000
1175108,,125751000.000,,,,,
927761,,,,,,,
937834,,,,,,,
1320729,,,4803841.000,,,,
860131,,,,,200.000,1697378.000,1922067.000
1329799,,,,,,,
77877,,173050000.000,171949000.000,325813000.000,340719000.000,332049000.000,399825000.000
1267391,,,,,,,
1040130,,87607000.000,70187000.000,74209000.000,80400000.000,67627000.000,81785000.000
1484565,,,,,8338318.000,6404300.000,3801294.000
1287668,,,,,,,
1262449,,,,,,,
1270400,,,,,,,
1077688,106696000.000,104492000.000,109667000.000,107050000.000,119938000.000,128067000.000,211917000.000
1140184,,,,,,,
1361937,,159150000.000,97601000.000,81814000.000,161670000.000,115556000.000,52301000.000
1426800,,37037563.000,20548803.000,27124940.000,29216397.000,68368465.000,53574664.000
1269879,,,132740.000,71324.000,,,
889331,,378382000.000,445465000.000,565599000.000,571505000.000,583435000.000,612081000.000
1034669,,220693000.000,60861000.000,,,,
1416729,,3810631.000,69107.000,,,,
1020214,,39739000.000,43996000.000,78154000.000,74885000.000,130439000.000,94105000.000
95552,,404283000.000,404908000.000,384218000.000,276011000.000,245820000.000,254081000.000
1501268,,,534.000,529.000,596.000,15550.000,
1040570,,278680000.000,,,,,
1269022,,,,,21807.000,,
1594420,,,,,,,
1324482,,,,,,,
1502777,,,102594.000,,,,
911109,,,,,,,
1402186,,,,,,,
1549848,,,,,115219000.000,84366000.000,84200000.000
931058,,373652000.000,180156000.000,179933000.000,,,
1563004,,,,,,,
1546381,,,,,,,
1487952,,177742000.000,185866000.000,183542000.000,187038000.000,162208000.000,155874000.000
1287701,,,,,,,
883107,,5345611.000,6592158.000,4537000.000,3567000.000,2691000.000,3427000.000
1084869,,,115741000.000,91818000.000,159968000.000,,166659000.000
1443157,,,,99560.000,,,
1145765,,,,,,,
1069157,,,,,,,
1321732,,,,,,244361000.000,263827000.000
1579717,,,,,,,
1374310,,189682000.000,202909000.000,308861000.000,244107000.000,204118000.000,235045000.000
1126956,,369134000.000,343016000.000,475880000.000,604900000.000,530100000.000,569600000.000
72316,,4387318.000,2742150.000,,,,
1230634,,,,,,,
1451929,,419381.000,295798.000,0.000,0.000,43677.000,
1223112,,51225000.000,25291000.000,,,,
1511863,,,,,,,
1560443,,,,21014000.000,60238000.000,,
1022652,,160187000.000,140731000.000,95629000.000,87781000.000,110976000.000,68447000.000
73605,,8604220.000,6112941.000,4519187.000,3063560.000,1620382.000,
1598924,,,,,219.000,3985108.000,
1094058,,1163000.000,,,,,
1555492,,,,98635000.000,75416000.000,,
1474627,,31629258.000,32692977.000,,,,
1392902,,,8500.000,2540.000,1050.000,350825.000,2523.000
1421636,,,,,,,
6494,,3589354.000,2697784.000,2265857.000,4485901.000,8169324.000,3330846.000
1439242,,,,,,,
33213,,1690134000.000,852845000.000,1255425000.000,1904323000.000,2251019000.000,1828219000.000
1388180,,,1459173.000,1516749.000,1227039.000,1053443.000,2375353.000
1517248,,,151645.000,,,,
1065696,,1149735000.000,1384351000.000,1799817000.000,2317417000.000,2340712000.000,3567594000.000
1161582,,244922.000,472004.000,3381915.000,1244963.000,475555.000,532686.000
1130888,,9975568.000,8042127.000,,,,
1389217,,1159088.000,638187.000,1837989.000,897981.000,,
719274,,8663000.000,8609000.000,6575000.000,7262000.000,9481000.000,7638000.000
1364954,,,,,110814000.000,132835000.000,111373000.000
1395317,,388099000.000,405636000.000,439127000.000,436314000.000,419933000.000,389123000.000
48732,,1670000000.000,1575000000.000,733000000.000,1047000000.000,865000000.000,979000000.000
875159,,,,,,,
1582718,,,,,19457.000,,
1455819,,499942.000,14968.000,,583262.000,,
93389,,400987000.000,418553000.000,446077000.000,466033000.000,479740000.000,514848000.000
1070494,,31949000.000,108548000.000,188360000.000,324618000.000,218989000.000,547897000.000
1107332,,670222000.000,487290000.000,283748000.000,,,
1210294,,7574632.000,5960939.000,2652382.000,5088016.000,,
1269021,,,,272707000.000,315077000.000,465577000.000,328928000.000
1593204,,,,,7927.000,2491.000,315.000
1434316,,,,54651000.000,49872000.000,65652000.000,93323000.000
740670,,1334000000.000,1047000000.000,1273000000.000,,,
788611,,945281.000,449516.000,1322134.000,3165956.000,1895644.000,909924.000
1058290,,4085506000.000,4814294000.000,6147882000.000,6750297000.000,7908600000.000,8600000000.000
75439,,30000.000,183000.000,16000.000,,5646000.000,5344000.000
1582086,,,,,,,
1347613,,14308285.000,34049000.000,71875000.000,200203000.000,115055000.000,88916000.000
1412665,,,,,,,
759718,,,,,,,
1220606,,6632505.000,12202186.000,22146899.000,,,
1049502,,884901000.000,868182000.000,879231000.000,738091000.000,939511000.000,998769000.000
1398235,,,,,,,
924642,,12360000.000,3210000.000,1183000.000,186000.000,12000.000,
1355304,,538655.000,337263.000,,2844235.000,,
1036500,,,,,,,
1451433,,4305.000,61989.000,,531825.000,,
107687,,,187068000.000,223850000.000,271693000.000,266217000.000,280589000.000
1001250,3686500000.000,3855100000.000,4297200000.000,4825200000.000,4468500000.000,4225100000.000,
910638,,261380000.000,287438000.000,526855000.000,580690000.000,432467000.000,432950000.000
1017907,,,,,,,
77597,,277606000.000,284226000.000,,,,
318673,,,,,,,
1003410,,,,,,,
1108236,,,,,,,
1478726,,,,,,,
1109357,,5489000000.000,10133000000.000,10137000000.000,12097000000.000,15334000000.000,12412000000.000
920760,,,,,,,
1001385,,226923000.000,236138000.000,243580000.000,195239000.000,115279000.000,112180000.000
1620928,,,,,,24153000.000,42494000.000
1476278,,814.000,3268325.000,5464780.000,,,
