SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,19867000.000,19545000.000,18568000.000,22914000.000,36715000.000,31186000.000,31653000.000,32976000.000,30866000.000,27129000.000,26689000.000,27822000.000,,,,,,,,,,,,,
1133116,,,,42477.000,13175.000,17719.000,740.000,,,,,,,,720.000,563.000,525.000,,,,,,,,,
912513,522000000.000,485100000.000,406300000.000,415800000.000,419700000.000,590600000.000,189500000.000,179300000.000,120500000.000,327700000.000,176600000.000,151800000.000,156800000.000,140200000.000,152600000.000,133900000.000,107300000.000,123200000.000,170900000.000,,,,,,,
1101026,,,60132.000,225696.000,132447.000,,,47147.000,25856.000,,,493103.000,96823.000,31011.000,101564.000,1383.000,11007.000,15987.000,19914.000,,,,,506986.000,1007501.000,
23197,593338000.000,558804000.000,474322000.000,,400216000.000,367649000.000,374506000.000,,352927000.000,356642000.000,346553000.000,,317993000.000,154500000.000,144536000.000,,135139000.000,150953000.000,150725000.000,,163466000.000,69112000.000,62711000.000,,63144000.000,58817000.000
1431880,,,30694.000,29998.000,69323.000,,13461.000,8270.000,265.000,142.000,3004.000,177.000,,,,,,,,,,,,,,
1540615,,,,,,3020.000,,,1601.000,8810.000,13572.000,,,85761.000,,,,,,,,,,,,
1456137,,,,,,,,,,,,,,,,,,,,,,,,,,
1069258,,100400000.000,109400000.000,69800000.000,74800000.000,145700000.000,37600000.000,49000000.000,51600000.000,49700000.000,49800000.000,55700000.000,53600000.000,26900000.000,16200000.000,34700000.000,34400000.000,22200000.000,35800000.000,28500000.000,20100000.000,17600000.000,20500000.000,69100000.000,73400000.000,63300000.000
887936,112367000.000,98745000.000,128230000.000,264423000.000,182438000.000,165981000.000,126928000.000,156785000.000,100703000.000,92554000.000,147926000.000,205833000.000,77005000.000,94412000.000,178778000.000,283680000.000,225295000.000,239988000.000,104974000.000,149760000.000,114451000.000,182665000.000,225184000.000,216158000.000,120959000.000,138511000.000
70487,,4464000.000,6223000.000,8082000.000,7872000.000,11168000.000,15026000.000,8286000.000,9234000.000,10802000.000,18934000.000,22092000.000,26453000.000,31539000.000,39063000.000,40042000.000,37010000.000,40555000.000,37580000.000,42145000.000,25366000.000,27192000.000,28878000.000,33021000.000,34664000.000,
13055,,,5605.000,,,,,,,,,,,,,,,,,,,,,,,
946486,,21542000.000,15411000.000,10189000.000,54802000.000,46008000.000,36064000.000,26892000.000,26370000.000,31253000.000,21177000.000,86283000.000,75942000.000,65557000.000,54915000.000,44711000.000,35583000.000,26091000.000,46308000.000,38722000.000,29400000.000,20330000.000,12383000.000,,8022000.000,
36146,193087000.000,221853000.000,245132000.000,202625000.000,213500000.000,284735000.000,209188000.000,231489000.000,242896000.000,301532000.000,335695000.000,345761000.000,423819000.000,322960000.000,237497000.000,315973000.000,335244000.000,255050000.000,220052000.000,277751000.000,228498000.000,322049000.000,383945000.000,327706000.000,379590000.000,
1393631,,28.000,,,,60714.000,158733.000,,80244.000,1726667.000,5632040.000,17404201.000,6391930.000,897664.000,2634378.000,,,,,,,,,,,
1377013,3033000000.000,3510000000.000,5573000000.000,5177000000.000,2629000000.000,3226000000.000,3853000000.000,3304000000.000,2793000000.000,2623000000.000,876000000.000,525000000.000,1557000000.000,403000000.000,526000000.000,707000000.000,547000000.000,480000000.000,485000000.000,1170000000.000,1297000000.000,,,,,
814549,,,13941000.000,23696000.000,37140000.000,25313000.000,29491000.000,36449000.000,43005000.000,35394000.000,36889000.000,56674000.000,57728000.000,32903000.000,47350000.000,52300000.000,27197000.000,27423000.000,33200000.000,57179000.000,69020000.000,78014000.000,99806000.000,114118000.000,120195000.000,
1276477,,5231000.000,,5330000.000,5281000.000,,,,,,,,,,,,,,,,,,,,,
764038,,249067000.000,158769000.000,171425000.000,403222000.000,309919000.000,278064000.000,380730000.000,495869000.000,436481000.000,645171000.000,479461000.000,612615000.000,589523000.000,503028000.000,417869000.000,630734000.000,593382000.000,889380000.000,695794000.000,697277000.000,481912000.000,507517000.000,374448000.000,663126000.000,
1610853,,,,,,,,,,,,,,,,,,971863.000,192256.000,4350350.000,2643937.000,7973437.000,6172564.000,,7666164.000,
1582554,,,,,,,,,,,,,,6647479.000,5006773.000,2590713.000,4616529.000,6605498.000,4362758.000,3226997.000,1673185.000,578313.000,6219641.000,4105451.000,15834798.000,
1459188,,,4797.000,495.000,1038.000,,6964.000,,,,,,,,,,,,,,,,,,,
1005409,,,120703000.000,44260000.000,124749000.000,89584000.000,254701000.000,79076000.000,141656000.000,61291000.000,65713000.000,45777000.000,66120000.000,57463000.000,59227000.000,78437000.000,79399000.000,67946000.000,74073000.000,64154000.000,192917000.000,89927000.000,80870000.000,113503000.000,87834000.000,
1622057,,,,,,,,,,,,,,,,289396.000,107571.000,107126.000,42410.000,6451.000,573350.000,65222.000,376814.000,91178.000,129806.000,
1175108,,40496000.000,33034000.000,30473000.000,20279000.000,11951000.000,19213000.000,,,,,,,,,,,,,,,,,,,
927761,,,,,,,,,,,,,,,,,,,,,,,,,,
937834,,,,,,,,,,,1954000000.000,1098000000.000,1319000000.000,986000000.000,1854000000.000,1993000000.000,1355000000.000,1369000000.000,3077000000.000,4651000000.000,4001000000.000,3973000000.000,4176000000.000,5714000000.000,3215000000.000,
1320729,,,,,22151.000,1173.000,6158.000,2274.000,2675.000,2130.000,0.000,3385.000,865.000,,,,,,,,,,,,,
860131,,,4481513.000,,,,,,,,,,,,,200.000,336778.000,264851.000,119236.000,141437.000,40521.000,1564232.000,857719.000,480609.000,328739.000,
1329799,,,,,,,,,,,,,,,,,,,,,,,,,,
77877,,6771000.000,32310000.000,8238000.000,1655000.000,5956000.000,2907000.000,2457000.000,2494000.000,43212000.000,298488000.000,193243000.000,147194000.000,40357000.000,18738000.000,16066000.000,67494000.000,1376000.000,3690000.000,850000.000,238545000.000,109099000.000,1197692000.000,244100000.000,207624000.000,
1267391,,,,,,,,,,,,,,,,,,,,,,,,,,
1040130,,49413000.000,47138000.000,41965000.000,46801000.000,57351000.000,47041000.000,30018000.000,18155000.000,34998000.000,35913000.000,25937000.000,18305000.000,29141000.000,34579000.000,37068000.000,35613000.000,42685000.000,42180000.000,47129000.000,37639000.000,44307000.000,51896000.000,47904000.000,58730000.000,
1484565,,,,,,,,,,,,,,,64000.000,7956710.000,9529000.000,7530000.000,4720000.000,5494523.000,6492000.000,2502000.000,5415000.000,2725996.000,10539000.000,
1287668,,,101350.000,,,,,,,,,,,,,,,,,,,,,,,
1262449,,275752000.000,73272000.000,,,,,,,,,,,,,,,,,,,,,,,
1270400,,,,,,,,,,,,,,,,,,,,,,,,,,
1077688,16623000.000,19993000.000,32698000.000,,40355000.000,47978000.000,33052000.000,,26342000.000,28728000.000,29946000.000,,23882000.000,31686000.000,36943000.000,,38663000.000,40534000.000,43631000.000,,53922000.000,39111000.000,43106000.000,,39792000.000,53782000.000
1140184,,,,,,,,,4859000.000,2121000.000,1665000.000,,513000.000,680000.000,1041000.000,,,,,,,,,,,
1361937,,26392000.000,17334000.000,30312000.000,34425000.000,29632000.000,10964000.000,7486000.000,18907000.000,8277000.000,10638000.000,11698000.000,9515000.000,18665000.000,11204000.000,8255000.000,10268000.000,58813000.000,39861000.000,20415000.000,3868000.000,2846000.000,5981000.000,5557000.000,8785000.000,
1426800,,11368535.000,53294262.000,36975434.000,31066611.000,28843880.000,23560079.000,20489219.000,36873518.000,33489917.000,32222910.000,27061268.000,23636722.000,21316328.000,17932627.000,29091113.000,96054082.000,53518145.000,36401487.000,27107526.000,20395045.000,20341338.000,23794088.000,28575085.000,70818011.000,
1269879,,,2810.000,,67312.000,,,38388.000,21628.000,,11949.000,7231.000,166069.000,39903.000,22570.000,,,,,,,,,,,
889331,,163924000.000,163424000.000,164016000.000,178692000.000,168818000.000,207398000.000,235404000.000,246895000.000,257672000.000,292936000.000,305192000.000,319806000.000,346406000.000,378276000.000,297571000.000,293631000.000,311915000.000,336640000.000,,328786000.000,272864000.000,194494000.000,275124000.000,,277979000.000
1034669,,33298000.000,27286000.000,143017000.000,6829000.000,8415000.000,31316000.000,20403000.000,18943000.000,13144000.000,,,,,,,,,,,,,,,,
1416729,,,,875150.000,145038.000,,0.000,15512.000,,,,,,,,,,,,,,,,,,
1020214,,,14761000.000,25497000.000,31449000.000,26667000.000,26661000.000,26696000.000,69163000.000,58201000.000,24355000.000,29485000.000,23992000.000,28562000.000,22343000.000,22781000.000,17934000.000,35059000.000,50795000.000,71018000.000,20791000.000,7704000.000,12880000.000,22560000.000,10930000.000,
95552,,144474000.000,147067000.000,187795000.000,193157000.000,207494000.000,214894000.000,203364000.000,186170000.000,202536000.000,182724000.000,199301000.000,157799000.000,126697000.000,83133000.000,62451000.000,44675000.000,57341000.000,49948000.000,52036000.000,45524000.000,37475000.000,35801000.000,57786000.000,28828000.000,
1501268,,,,,,12477.000,283978.000,534.000,534.000,534.000,506.000,529.000,664.000,-23822.000,580.000,596.000,1218.000,2538.000,1412.000,15550.000,440.000,1028.000,1105.000,,76.000,
1040570,,236631000.000,209328000.000,188738000.000,171968000.000,230889000.000,220860000.000,,,,,,,,,,,,,,,,,,,
1269022,,,522.000,,,,,,0.000,,,,,,30.000,140.000,1893.000,274.000,,,,,,,,
1594420,,,,,,,,,,,,,0.000,,,,,,,,,,,,,
1324482,,,1911000.000,938000.000,386000.000,1531000.000,2667000.000,,,,,,,,,,,,,,,,,,,
1502777,,,,,34186.000,29629.000,15381.000,,29500.000,4080.000,,,,,,,,,,,,,,,,
911109,2389000.000,2097000.000,1006000.000,2860000.000,2037000.000,2947000.000,916000.000,1937000.000,1500000.000,634000.000,2068000.000,1256000.000,567000.000,568000.000,1612000.000,3739000.000,3048000.000,3704000.000,1713000.000,1613000.000,634000.000,5339000.000,9522000.000,4137000.000,7609000.000,9274000.000
1402186,,125330.000,,,,,,,,,,,,,,,,,,,,,,,,
1549848,,,,,,,,,,,,,7358000.000,31128000.000,20625000.000,4646000.000,4913000.000,6923000.000,5035000.000,10414000.000,5640000.000,39657000.000,24786000.000,4314000.000,55498000.000,
931058,,13633000.000,37574000.000,18057000.000,12652000.000,,32806000.000,46307000.000,23500000.000,,27717000.000,12525000.000,20887000.000,,23382000.000,,,,,,,,,,,
1563004,,,,,,,,,,,,,,,,,,404449.000,,,,,,,,
1546381,,,,,,,,,,,,,,,,6662000.000,3100000.000,7200000.000,1800000.000,4530000.000,5000000.000,4500000.000,1500000.000,7800000.000,4000000.000,
1487952,,79943000.000,83318000.000,80828000.000,83042000.000,82134000.000,89250000.000,93881000.000,64690000.000,68156000.000,68273000.000,72785000.000,72041000.000,72455000.000,75424000.000,79642000.000,70212000.000,65456000.000,63174000.000,62641000.000,,61380000.000,56133000.000,58452000.000,,59251000.000
1287701,,166948000.000,191296000.000,163725000.000,186338000.000,,175217000.000,105402000.000,100543000.000,48993000.000,28747000.000,43333000.000,61888000.000,98736000.000,24135000.000,200069000.000,23715000.000,43595000.000,38108000.000,,,,,,,
883107,,3465507.000,3316440.000,2693623.000,2315306.000,2665648.000,4565558.000,4124234.000,3608182.000,3161155.000,3307104.000,3276000.000,2148000.000,2408000.000,2018000.000,1862000.000,1207000.000,1156000.000,1249000.000,1275000.000,1478000.000,1424000.000,1718000.000,1779000.000,1527000.000,
1084869,,,5707000.000,,30078000.000,24876000.000,5829000.000,26964000.000,17004000.000,154000.000,3642000.000,3260000.000,1314000.000,5203000.000,2158000.000,101220000.000,52721000.000,27940000.000,1987000.000,108444000.000,61696000.000,27826000.000,6755000.000,,113992000.000,56765000.000
1443157,,,,,,,,,,,35515.000,0.000,,526.000,,,,,,,,,,,,
1145765,,,19203401.000,42348737.000,17283270.000,13896914.000,14379056.000,8138415.000,15046538.000,24461192.000,24273554.000,8447500.000,12265868.000,8153233.000,19374844.000,16954930.000,13492075.000,13293927.000,10199346.000,11740322.000,20309592.000,23563217.000,19618096.000,18864248.000,17322444.000,
1069157,1492922000.000,1598498000.000,1105888000.000,1431185000.000,1635854000.000,2429614000.000,1816372000.000,1323106000.000,1736865000.000,1050214000.000,1322383000.000,895820000.000,1884855000.000,1246044000.000,1115753000.000,1039885000.000,1886199000.000,1877914000.000,1875703000.000,1360887000.000,2265297000.000,1592796000.000,1666832000.000,1878503000.000,2434643000.000,
1321732,,,,,,,,,,,,,,,,,,,159098000.000,19547000.000,17606000.000,13914000.000,15856000.000,13236000.000,109383000.000,
1579717,,,,,,,,,,,6.000,,4884.000,23.000,,,,,,,,,,,,
1374310,,,147220000.000,134936000.000,148629000.000,127137000.000,160281000.000,135597000.000,210486000.000,207766000.000,,221341000.000,199065000.000,145111000.000,126519000.000,147927000.000,137558000.000,89634000.000,121678000.000,102253000.000,107482000.000,52193000.000,72759000.000,97298000.000,153300000.000,
1126956,22982000.000,60922000.000,43277000.000,44579000.000,9302000.000,21523000.000,27457000.000,46563000.000,146880000.000,556489000.000,52981000.000,34518000.000,10931000.000,571800000.000,16100000.000,13400000.000,46900000.000,5700000.000,13800000.000,4600000.000,8700000.000,4900000.000,5200000.000,10600000.000,19600000.000,
72316,,456138.000,338386.000,118058.000,0.000,4052.000,4457.000,11863.000,0.000,162582.000,0.000,,,,,,,,,,,,,,,
1230634,,232000.000,,101000.000,45000.000,,365000.000,,231000.000,,288000.000,,,160000.000,,,,,,,,,,,,
1451929,,,,,,,,,185969.000,2482.000,,,0.000,0.000,0.000,270000.000,168590.000,133291.000,43635.000,112767.000,215158.000,,,,,
1223112,,41023000.000,9581000.000,40879000.000,28328000.000,23137000.000,17531000.000,9737000.000,21945000.000,,,,,,,,,,,,,,,,,
1511863,,,,,,,,,,,,,,,,,,,,,,,,,,
1560443,,,,,,,,,3831000.000,865000.000,258000.000,7291000.000,929000.000,8368000.000,5696000.000,5504000.000,1531000.000,5734000.000,1418000.000,,,,,,,
1022652,,32013000.000,21927000.000,47069000.000,21780000.000,15197000.000,16341000.000,16044000.000,18272000.000,24863000.000,18138000.000,2911000.000,11827000.000,8925000.000,20163000.000,17853000.000,9370000.000,17913000.000,10219000.000,12570000.000,8261000.000,18541000.000,17165000.000,9894000.000,6385000.000,
73605,,,,355405.000,,374861.000,510284.000,264826.000,495201.000,309252.000,80507.000,1019436.000,519756.000,324291.000,349389.000,518415.000,98633.000,55042.000,170866.000,22395.000,64956.000,69621.000,214447.000,,,
1598924,,,,,,,,,,,,,,,45931.000,219.000,267.000,327475.000,136150.000,78753.000,62673.000,65908.000,54865.000,,,
1094058,,3084000.000,1737000.000,603000.000,327000.000,,183000.000,,,,,,,,,,,,,,,,,,,
1555492,,,,,,,,,,70434000.000,58802000.000,54302000.000,58800000.000,49285000.000,37407000.000,39747000.000,36362000.000,32197000.000,29885000.000,35340000.000,,,,,,
1474627,,3008023.000,2600907.000,3694486.000,2299270.000,1107942.000,3165481.000,3505330.000,,,,,,,,,,,,,,,,,,
1392902,,,,,,,,,,600.000,600.000,2540.000,6700.000,5576.000,,1050.000,965.000,83559.000,58234.000,825.000,3972.000,5920.000,3919.000,2523.000,4073.000,
1421636,,183649.000,192736.000,201745.000,209055.000,196056.000,222690.000,207386.000,218793.000,218483.000,219039.000,225056.000,222275.000,209216.000,,185464.000,175612.000,153739.000,193740.000,186462.000,168486.000,154658.000,149318.000,138812.000,122555.000,
6494,,2049989.000,2005273.000,2193377.000,2004463.000,,2006374.000,1746363.000,1460491.000,1271040.000,966468.000,1000422.000,3348737.000,3196484.000,3085145.000,3574530.000,3761072.000,4302796.000,3829685.000,5592554.000,7975541.000,4233883.000,3023408.000,2955129.000,2343326.000,
1439242,,0.000,,,,,,,,,,,,,,,,,,,,,,,,
33213,138628000.000,79225000.000,334912000.000,831251000.000,745208000.000,515038000.000,638994000.000,182055000.000,160325000.000,16700000.000,423897000.000,845641000.000,909804000.000,1274265000.000,1171518000.000,1077429000.000,1783518000.000,1958157000.000,1662675000.000,1601232000.000,1556487000.000,2257017000.000,1757414000.000,1103540000.000,899375000.000,572344000.000
1388180,,,,,1524557.000,1408428.000,1108117.000,921332.000,607525.000,1170852.000,1063761.000,885407.000,742565.000,768705.000,788265.000,777618.000,804644.000,845900.000,696553.000,493843.000,884129.000,802137.000,841262.000,479380.000,886645.000,
1517248,,,,,94535.000,,56234.000,24786.000,,,,,,,,,,,,,,,,,,
1065696,64517000.000,42256000.000,45112000.000,48247000.000,55169000.000,59353000.000,69214000.000,59770000.000,62997000.000,161590000.000,107337000.000,150488000.000,113246000.000,109564000.000,244646000.000,114605000.000,175492000.000,143423000.000,137086000.000,87397000.000,229220000.000,273203000.000,271851000.000,227400000.000,264614000.000,
1161582,,127426.000,15331.000,323.000,9825.000,,164181.000,36602.000,246640.000,160919.000,190686.000,0.000,,,,,93373.000,56871.000,62569.000,,36560.000,20576.000,,,84992.000,
