SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,18568000.000,31653000.000,26689000.000,,,
1133116,,42477.000,,,563.000,,
912513,,415800000.000,179300000.000,151800000.000,133900000.000,,
1101026,,225696.000,47147.000,493103.000,1383.000,,506986.000
23197,,558804000.000,367894000.000,356642000.000,154500000.000,150953000.000,66805000.000
1431880,,69323.000,265.000,,,,
1540615,,,,13572.000,,,
1456137,,,,,,,
1069258,,69800000.000,49000000.000,55700000.000,34700000.000,28500000.000,69100000.000
887936,,264423000.000,156785000.000,205833000.000,283680000.000,149760000.000,216158000.000
70487,,8082000.000,8286000.000,22092000.000,40042000.000,42145000.000,33021000.000
13055,,,,,,,
946486,,10189000.000,26892000.000,86283000.000,44711000.000,38722000.000,
36146,,202625000.000,231489000.000,345761000.000,315973000.000,277751000.000,327706000.000
1393631,,,,17404201.000,,,
1377013,,5177000000.000,3304000000.000,525000000.000,707000000.000,1170000000.000,
814549,,23696000.000,36449000.000,56674000.000,52300000.000,57179000.000,114118000.000
1276477,,5330000.000,,,,,
764038,,171425000.000,380730000.000,479461000.000,417869000.000,695794000.000,374448000.000
1610853,,,,,,2643937.000,
1582554,,,,,2590713.000,3226997.000,4105451.000
1459188,,495.000,,,,,
1005409,,44260000.000,79076000.000,45777000.000,78437000.000,64154000.000,113503000.000
1622057,,,,,107571.000,573350.000,129806.000
1175108,,30473000.000,,,,,
927761,,,,,,,
937834,,,,1098000000.000,1993000000.000,4651000000.000,5714000000.000
1320729,,,2274.000,,,,
860131,,,,,200.000,141437.000,480609.000
1329799,,,,,,,
77877,,8238000.000,2457000.000,193243000.000,16066000.000,850000.000,244100000.000
1267391,,,,,,,
1040130,,46801000.000,18155000.000,18305000.000,35613000.000,37639000.000,58730000.000
1484565,,,,,7956710.000,5494523.000,2725996.000
1287668,,,,,,,
1262449,,,,,,,
1270400,,,,,,,
1077688,16623000.000,40355000.000,26342000.000,23882000.000,38663000.000,53922000.000,39792000.000
1140184,,,,,,,
1361937,,30312000.000,7486000.000,11698000.000,8255000.000,20415000.000,5557000.000
1426800,,36975434.000,20489219.000,27061268.000,29091113.000,27107526.000,28575085.000
1269879,,,38388.000,7231.000,,,
889331,,164016000.000,235404000.000,305192000.000,297571000.000,328786000.000,275124000.000
1034669,,143017000.000,20403000.000,,,,
1416729,,875150.000,15512.000,,,,
1020214,,25497000.000,26696000.000,29485000.000,22781000.000,71018000.000,22560000.000
95552,,187795000.000,203364000.000,199301000.000,62451000.000,52036000.000,57786000.000
1501268,,,534.000,529.000,596.000,15550.000,
1040570,,188738000.000,,,,,
1269022,,,,,140.000,,
1594420,,,,,,,
1324482,,,,,,,
1502777,,,15381.000,,,,
911109,,2860000.000,1937000.000,1256000.000,3739000.000,1613000.000,4137000.000
1402186,,,,,,,
1549848,,,,,4646000.000,10414000.000,4314000.000
931058,,18057000.000,46307000.000,12525000.000,,,
1563004,,,,,,,
1546381,,,,,6662000.000,4530000.000,7800000.000
1487952,,80828000.000,93881000.000,72785000.000,79642000.000,62641000.000,58452000.000
1287701,,163725000.000,105402000.000,43333000.000,200069000.000,,
883107,,2693623.000,4124234.000,3276000.000,1862000.000,1275000.000,1779000.000
1084869,,,28854000.000,5203000.000,27940000.000,,27826000.000
1443157,,,,0.000,,,
1145765,,42348737.000,8138415.000,8447500.000,16954930.000,11740322.000,18864248.000
1069157,,1431185000.000,1323106000.000,895820000.000,1039885000.000,1360887000.000,1878503000.000
1321732,,,,,,19547000.000,13236000.000
1579717,,,,23.000,,,
1374310,,134936000.000,135597000.000,221341000.000,147927000.000,102253000.000,97298000.000
1126956,,43277000.000,27457000.000,52981000.000,16100000.000,13800000.000,5200000.000
72316,,118058.000,11863.000,,,,
1230634,,101000.000,,,,,
1451929,,,,,0.000,43635.000,
1223112,,40879000.000,9737000.000,,,,
1511863,,,,,,,
1560443,,,,7291000.000,5504000.000,,
1022652,,47069000.000,16044000.000,2911000.000,17853000.000,12570000.000,9894000.000
73605,,374861.000,309252.000,324291.000,55042.000,69621.000,
1598924,,,,,219.000,78753.000,
1094058,,603000.000,,,,,
1555492,,,,58800000.000,36362000.000,,
1474627,,3694486.000,3505330.000,,,,
1392902,,,,2540.000,1050.000,825.000,2523.000
1421636,,201745.000,207386.000,225056.000,185464.000,186462.000,138812.000
6494,,2193377.000,1746363.000,1000422.000,3574530.000,5592554.000,2955129.000
1439242,,,,,,,
33213,,831251000.000,182055000.000,845641000.000,1077429000.000,1601232000.000,1103540000.000
1388180,,,921332.000,885407.000,777618.000,493843.000,479380.000
1517248,,,24786.000,,,,
1065696,,48247000.000,59770000.000,150488000.000,114605000.000,87397000.000,227400000.000
1161582,,323.000,36602.000,0.000,,,
1130888,,,,,,,
1389217,,998853.000,462761.000,1300932.000,485761.000,,
719274,,2365000.000,1882000.000,1059000.000,1170000.000,1331000.000,1421000.000
1364954,,,,,56117000.000,67029000.000,77329000.000
1395317,,38169000.000,31223000.000,43578000.000,31144000.000,48943000.000,35212000.000
48732,,220000000.000,646000000.000,207000000.000,290000000.000,264000000.000,341000000.000
875159,,3825125000.000,2618378000.000,1800832000.000,2521814000.000,3256236000.000,3426988000.000
1582718,,,,,,,
1455819,,400724.000,14349.000,,48370.000,,
93389,,10871000.000,13074000.000,5559000.000,13728000.000,18800000.000,19796000.000
1070494,,6889000.000,57899000.000,11707000.000,61854000.000,102138000.000,163620000.000
1107332,,427100000.000,188408000.000,92530000.000,,,
1210294,,6340505.000,2877210.000,1193365.000,1196362.000,,
1269021,,,,117773000.000,57514000.000,186488000.000,188480000.000
1593204,,,,,7927.000,2491.000,315.000
1434316,,,,54036000.000,49101000.000,64809000.000,88609000.000
740670,,371000000.000,56000000.000,234000000.000,,,
788611,,653113.000,150071.000,992448.000,2962069.000,1539809.000,398391.000
1058290,,1310906000.000,1570077000.000,2213006000.000,2010149000.000,2125200000.000,2034000000.000
75439,,15000.000,39000.000,1000.000,,587000.000,108000.000
1582086,,,,,11500000.000,6100000.000,4700000.000
1347613,,13244883.000,12416000.000,18130000.000,146470000.000,61653000.000,82387000.000
1412665,,,,,,,
759718,,101036000.000,149154000.000,,,,
1220606,,6171596.000,1805049.000,6966884.000,,,
1049502,,312916000.000,287588000.000,288902000.000,305437000.000,227574000.000,228623000.000
1398235,,,,,,,
924642,,6302000.000,709000.000,13000.000,77000.000,,
1355304,,300637.000,187298.000,,2348121.000,,
1036500,,22005.000,27618.000,17011.000,,,
1451433,,4305.000,53939.000,,79235.000,,
107687,,,62683000.000,64277000.000,57804000.000,70239000.000,85583000.000
1001250,1253000000.000,1347700000.000,1495700000.000,1629100000.000,1021400000.000,914100000.000,
910638,,179120000.000,155859000.000,306316000.000,284862000.000,155643000.000,184947000.000
1017907,,,59104000.000,72033000.000,102429000.000,115587000.000,
