SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,,,,3936000.000,-3272000.000,-3360000.000,-5727000.000,1108000.000,317000.000,-1468000.000,-1639000.000,-296000.000,,,,,,,,,,,,,
1133116,,,,,,,,,,,,,,-73060.000,-22404.000,,,,,,,,,,,
912513,,60700000.000,-41700000.000,,88300000.000,-6500000.000,89200000.000,18400000.000,13100000.000,-23200000.000,66500000.000,57100000.000,49600000.000,82400000.000,2100000.000,-62900000.000,-14000000.000,72800000.000,30700000.000,,,,,,,
1101026,,,,,,,,,,,,,,,,,,,,,,,,,,
23197,,,,,,,,,,,,,,,,,,,,,,,,,,
1431880,,,,,,,,,,,,,,,,,,,,,,,,,,
1540615,,,,,,,,,,,,,,,,,,,,,,,,,,
1456137,,840051.000,424033.000,,2168899.000,,1069730.000,,2348034.000,,1810532.000,,,,,,,,,,,,,,,
1069258,,,-6800000.000,,-3000000.000,-17400000.000,,,-10200000.000,-9600000.000,-10000000.000,-7400000.000,-15100000.000,-49900000.000,-11000000.000,-2900000.000,-16500000.000,-14700000.000,55200000.000,-3900000.000,-22200000.000,-10500000.000,-23700000.000,-4400000.000,-9900000.000,-6200000.000
887936,36617000.000,,,,31280000.000,-3213000.000,35444000.000,-85474000.000,8171000.000,11772000.000,-33506000.000,-6751000.000,22845000.000,24941000.000,-20000.000,-18138000.000,3204000.000,35007000.000,-6920000.000,6035000.000,29823000.000,7738000.000,17213000.000,-11138000.000,21386000.000,5018000.000
70487,,,,,4059000.000,3671000.000,3996000.000,,4235000.000,3050000.000,4054000.000,,5048000.000,4513000.000,3962000.000,,,,,,6047000.000,4563000.000,4531000.000,5746000.000,6639000.000,
13055,,,,,,,,,,,,,,,,,,,,,,,,,,
946486,,,,,,,,,,,,,,,,,,,,,,,,,,
36146,23816000.000,,,,28736000.000,31466000.000,33498000.000,23857000.000,27180000.000,-10676000.000,16896000.000,36534000.000,34237000.000,40837000.000,29781000.000,19954000.000,41980000.000,19061000.000,41043000.000,11044000.000,50824000.000,30912000.000,26071000.000,200000.000,34041000.000,
1393631,,,,,,,,,,,,,,,,,,,,,,,,,,
1377013,,,,,391000000.000,409000000.000,861000000.000,390000000.000,424000000.000,518000000.000,619000000.000,1100000000.000,433000000.000,429000000.000,556000000.000,245000000.000,446000000.000,499000000.000,392000000.000,417000000.000,475000000.000,,,,,
814549,,,,,20012000.000,10362000.000,19268000.000,18533000.000,16826000.000,9964000.000,14813000.000,12295000.000,16545000.000,15050000.000,13469000.000,12639000.000,12936000.000,20402000.000,10103000.000,23963000.000,23816000.000,20870000.000,23519000.000,22243000.000,28944000.000,
