SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,,-8423000.000,-1682000.000,,,
1133116,,,,,,,
912513,,158900000.000,189400000.000,113500000.000,71200000.000,,
1101026,,,,,,,
23197,,,,,,,
1431880,,,,,,,
1540615,,,,,,,
1456137,,7148689.000,6636447.000,,,,
1069258,,-24400000.000,-115000000.000,-37200000.000,-78900000.000,20100000.000,-60800000.000
887936,,101001000.000,-21963000.000,-20314000.000,29628000.000,37326000.000,43636000.000
70487,,11363000.000,,,,15388000.000,20887000.000
13055,,,,,,,
946486,,,,,,,
36146,,121388000.000,117557000.000,69934000.000,124809000.000,113128000.000,108007000.000
1393631,,,,,,,
1377013,,1397000000.000,2051000000.000,2661000000.000,1663000000.000,1754000000.000,
814549,,,68175000.000,53898000.000,57703000.000,67404000.000,90448000.000
1276477,,,,,,,
764038,,23638000.000,33157000.000,39120000.000,84783000.000,95979000.000,96942000.000
1610853,,,,,,-6909570.000,
1582554,,,,,,,
1459188,,,,,,,
1005409,,43952000.000,40377000.000,48429000.000,40458000.000,44518000.000,75376000.000
1622057,,,,,,,
1175108,,,,,,,
927761,,,,,,,
937834,,,,299000000.000,6737000000.000,408000000.000,2198000000.000
1320729,,,,,,,
860131,,,,,,,
1329799,,,,,45683000.000,,
77877,,,,,,,
1267391,,,,,,,
1040130,,,17119000.000,17937000.000,17436000.000,20621000.000,23819000.000
1484565,,,,,,,
1287668,,,,,,,
1262449,,,,,,,
1270400,,,,,,,
1077688,,4557000.000,8720000.000,7825000.000,12145000.000,16659000.000,25634000.000
1140184,,,,,,,
1361937,,,,,,,
1426800,,,,,,-29275418.000,-44040746.000
1269879,,,,,,,
889331,,,83249000.000,92653000.000,57875000.000,57921000.000,75580000.000
1034669,,35361000.000,11826000.000,,,,
1416729,,,,,,,
1020214,,,-15917000.000,-43330000.000,-38793000.000,-48548000.000,-70092000.000
95552,,-9878000.000,33877000.000,25075000.000,-12259000.000,3656000.000,18169000.000
1501268,,,,,,,
1040570,,,,,,,
1269022,,,,,,,
1594420,,,,,,,
1324482,,,,,,,
1502777,,,,,,,
911109,,32442000.000,42165000.000,26299000.000,29956000.000,-8718000.000,10363000.000
1402186,,,,,,,
1549848,,,,,,,
931058,,,-3652000.000,167971000.000,,,
1563004,,,,,,,
1546381,,,,,,,-25509000.000
1487952,,,10681000.000,247000.000,-3572000.000,-19569000.000,-812000.000
1287701,,,166964000.000,471524000.000,52648000.000,,
883107,,,,,,,
1084869,,,12338000.000,15297000.000,19962000.000,,37040000.000
1443157,,,,,,,
1145765,,,,,,,
1069157,,,320259000.000,259917000.000,377179000.000,365499000.000,398472000.000
1321732,,,,,,1114000.000,12241000.000
1579717,,,,,,,
1374310,,136648000.000,155260000.000,173706000.000,188753000.000,203990000.000,186882000.000
1126956,,68862000.000,60624000.000,56087000.000,83700000.000,136600000.000,142000000.000
72316,,,,,,,
1230634,,,,,,,
1451929,,,,,,-2943078.000,
1223112,,,,,,,
1511863,,,,,,,
1560443,,,,,,,
1022652,,,-89244000.000,-43422000.000,-39679000.000,-60801000.000,-53470000.000
73605,,,,,,,
1598924,,,,,,-6131099.000,-50613034.000
1094058,,,,,,,
1555492,,,,,,,
1474627,,4299595.000,3615038.000,,,,
1392902,,,,,,,
1421636,,,,,,,
6494,,,,,,,
1439242,,,,,,,
33213,,629806000.000,94801000.000,335728000.000,541756000.000,-67945000.000,-497319000.000
1388180,,,315540.000,-11152.000,103566.000,-397969.000,-409964.000
1517248,,,,,,,
1065696,,196925000.000,270945000.000,330875000.000,321283000.000,357978000.000,302270000.000
1161582,,,,,,,
1130888,,,,,,,
1389217,,,,,,,
719274,,,,,,,
1364954,,,,,-64765000.000,-59369000.000,-42249000.000
1395317,,-212203000.000,-118084000.000,-203553000.000,-103320000.000,-345665000.000,-300541000.000
48732,,,,,,,277000000.000
875159,,7509000.000,1588081000.000,276553000.000,936141000.000,409310000.000,469898000.000
1582718,,,,,,,
1455819,,,,,,,
93389,,64984000.000,41933000.000,49357000.000,38591000.000,42196000.000,55876000.000
1070494,,,-20854000.000,-37904000.000,-92532000.000,-164423000.000,-271298000.000
1107332,,-337882000.000,-393428000.000,-296872000.000,,,
1210294,,,-9351045.000,,-13274216.000,,
1269021,,,,-83330000.000,-137419000.000,-226416000.000,-268905000.000
1593204,,,,,,,
1434316,,,,,,,
740670,,175000000.000,214000000.000,258000000.000,,,
788611,,,,,,,
1058290,,522626000.000,1136974000.000,1192002000.000,1592458000.000,1640500000.000,1545000000.000
75439,,-2877000.000,,,,-1319000.000,-2196000.000
1582086,,,,,15100000.000,20700000.000,14300000.000
1347613,,,,,,,
1412665,,18627000.000,21447000.000,8606000.000,22795000.000,23204000.000,15850000.000
759718,,,19927000.000,,,,
1220606,,,-2322538.000,8085514.000,,,
