SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,-0.150,-0.200,,0.200,-0.170,-0.190,-0.290,0.060,0.020,-0.080,-0.070,-0.010,,,,,,,,,,,,,
1133116,,,,,,,,,,,,,,,,,,,,,,,,,,
912513,1.660,0.700,0.980,0.900,1.140,0.760,1.130,0.990,0.730,0.830,1.190,1.560,1.520,2.000,0.730,-2.160,0.580,0.750,0.810,,,,,,,
1101026,,,,,,,,,,,,,,,,,-0.010,-0.020,,,,,,,,
23197,0.520,0.470,0.470,,0.270,0.390,0.360,,0.140,0.170,0.280,,0.320,0.450,0.320,,0.460,0.340,0.090,,0.150,-0.890,-0.110,,0.280,0.190
1431880,,,,,,,,,,,,,,,,,,,,,,,,,,
1540615,,,,,,,,,,,,,,,,,,,,,,,,,,
1456137,,,,,,,,,,,,,,,,,,,,,,,,,,
1069258,,-0.220,-0.220,,-0.090,-0.410,,,-0.180,-0.170,-0.170,,,,,,,,0.920,,-0.370,,-0.390,,,
887936,0.480,0.400,0.700,0.810,0.430,0.180,0.550,-2.080,0.580,0.580,-1.290,-0.140,0.450,0.420,0.550,0.020,0.570,0.520,0.250,0.240,0.730,0.640,0.520,0.160,0.340,-0.130
70487,,0.340,0.390,,0.560,0.570,0.510,0.530,0.640,,,,,,,,,,,,,,,,,
13055,,,,,,,,,,,,,,,,,,,,,,,,,,
946486,,,,,,,,,,-0.220,-0.220,,,-0.140,-0.130,,,-0.130,-0.200,,,,,,,
36146,0.370,0.490,0.420,0.380,0.470,0.450,0.460,0.430,0.380,0.460,0.490,0.420,0.430,0.490,0.500,0.410,0.430,0.450,0.420,0.410,0.400,0.320,0.460,0.420,0.460,
1393631,,,,,,,,,,,,,,,,,,,,,,,,,,
1377013,0.930,1.240,1.080,1.720,1.200,1.430,2.600,1.670,1.340,1.640,1.840,1.880,1.700,1.760,1.760,1.950,1.590,1.620,1.530,1.700,1.720,,,,,
814549,,,0.410,,0.400,0.470,0.460,0.470,0.450,0.350,0.340,0.390,0.400,0.350,0.470,0.450,0.510,0.540,0.590,0.640,0.670,0.700,0.740,0.750,0.830,
1276477,,,,,,,,,,,,,,,,,,,,,,,,,,
764038,,0.350,0.740,,0.500,0.550,0.600,0.380,0.630,0.740,0.520,0.490,0.660,0.740,0.800,0.880,0.990,1.030,1.040,1.050,1.010,1.010,1.160,1.000,0.630,
1610853,,,,,,,,,,,,,,,,,,,,-0.040,,,-0.040,,-0.060,
1582554,,,,,,,,,,,,,,,,,,,,,,,,,,
1459188,,,,,,,,,,,,,,,,,,,,,,,,,,
1005409,,,0.330,,0.300,0.340,0.340,0.190,0.300,0.340,0.300,0.290,0.280,0.290,0.330,0.330,0.330,0.320,0.280,0.300,1.360,0.300,0.290,0.020,0.300,
1622057,,,,,,,,,,,,,,,,,,,,,,,,-0.030,,
1175108,,-0.080,-0.060,,,-0.530,,,,,,,,,,,,,,,,,,,,
927761,,,,,,,,,,,,,,,,,,,,,,,,,,
937834,,,,,,,,,,,,,,,,,,,,,,,,,,
1320729,,,,,,,,,,,,,,,,,,,,,,,,,,
860131,,,0.060,,,,,,,,,,,,,,0.000,0.000,,,-0.010,-0.010,-0.020,-0.020,-0.010,
1329799,,,,,,,,,,,,,0.310,,0.290,,0.270,0.330,,,,,,,,
77877,,0.390,1.370,,0.660,0.460,-1.080,-4.760,-1.300,0.640,-0.480,0.450,-0.060,-0.790,1.470,3.620,0.460,-1.170,-1.040,0.010,-1.720,-2.040,-0.480,-0.770,0.700,
1267391,,,,,,,,,,,,,,,,,,,,,,,,,,
1040130,,0.220,0.190,0.190,0.200,0.200,0.200,0.230,0.230,0.240,0.210,0.230,0.220,0.250,0.140,0.240,0.240,0.290,0.220,0.240,0.270,0.320,0.240,0.240,0.370,
1484565,,,,,,,,,,,,,,,,,,0.250,,,,-0.230,,,,
1287668,,,-0.130,,,,,,,,,,,,,,,,,,,,,,,
1262449,,,,,,,,,,,,,,,,,,,,,,,,,,
1270400,,,,,,,,,,,,,,,,,,,,,,,,,,
1077688,,0.050,0.210,,0.060,0.140,0.230,,,0.200,0.200,,0.180,0.260,0.210,,0.390,0.320,0.430,,0.380,0.460,0.560,,0.940,0.410
1140184,,,,,,,,,,,,,,,,,,,,,,,,,,
1361937,,,,,,,,,,,,,,,,,,,,,,,,,,
1426800,,,,,,,,,,,,,,,,,,,,,,,,,,
1269879,,,,,,,,,,,,,,,,,,,,,,,,,,
889331,,1.110,1.120,,0.810,1.070,1.080,0.440,0.660,1.180,1.190,0.910,1.120,1.080,1.320,0.850,0.880,1.260,0.500,,,0.850,1.350,1.200,,1.690
