SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,-0.330,-0.450,-0.070,,,
1133116,,,,,,,
912513,,4.240,4.020,4.310,2.090,,
1101026,,,,,,,
23197,,2.220,1.420,0.970,1.370,1.420,-0.460
1431880,,,,,,,
1540615,,,,,,,
1456137,,,,,,,
1069258,,-0.880,-2.440,,,0.340,-0.990
887936,,2.390,-0.920,-0.270,1.440,1.580,2.050
70487,,1.690,2.170,,,,
13055,,,,,,,
946486,,,,-0.820,-0.560,-7.980,-4.740
36146,,1.660,1.810,1.750,1.830,1.710,1.600
1393631,,,,,,,
1377013,,4.970,6.900,6.700,7.170,6.440,
814549,,1.750,1.800,1.530,1.670,2.280,2.860
1276477,,,,,,,
764038,,1.630,2.030,2.380,3.080,4.110,4.180
1610853,,,,,,-0.120,
1582554,,,,,,,
1459188,,,,,,,
1005409,,1.400,1.170,1.230,1.230,1.230,1.970
1622057,,,,,,,0.050
1175108,,,,,,,
927761,,,,,,,
937834,,,,,,,
1320729,,,,,,,
860131,,,,,-0.020,-0.080,-0.060
1329799,,,,,1.180,,
77877,,0.560,-4.720,-0.690,4.240,-1.740,-5.010
1267391,,,,,,,
1040130,,0.800,0.860,0.900,0.870,1.020,1.170
1484565,,,,,,,
1287668,,,,,,,
1262449,,,,,,,
1270400,,,,,,,
1077688,,0.470,0.800,0.740,1.160,1.490,2.180
1140184,,,,,,,
1361937,,,,,,,
1426800,,,,,,,
1269879,,,,,,,
889331,,3.900,3.400,3.940,4.370,3.630,4.600
1034669,,4.090,1.470,,,,
1416729,,,,,,,
1020214,,-0.350,-0.330,-0.640,-0.610,-0.610,-0.620
95552,,2.460,1.130,0.830,0.330,0.900,1.620
1501268,,,,,,,
1040570,,2.060,,,,,
1269022,,,,,,,
1594420,,,,,,,
1324482,,,,,,,
1502777,,,,,,,
911109,,0.710,0.760,0.520,0.950,0.120,1.060
1402186,,,,,,,
1549848,,,,,,0.730,-1.640
931058,,0.850,-0.130,2.840,,,
1563004,,,,,,,
1546381,,,,,,,
1487952,,0.780,0.840,0.310,0.280,-0.960,0.480
1287701,,6.480,-3.440,0.000,0.410,,
883107,,,,,,,
1084869,,,0.270,0.230,0.300,,0.550
1443157,,,,,,,
1145765,,,,,,,
1069157,,1.600,1.890,2.100,2.380,2.660,2.970
1321732,,,,,,0.080,0.440
1579717,,,,,,,
1374310,,1.520,1.780,1.990,2.210,2.460,2.270
1126956,,2.860,2.790,2.020,2.350,3.160,3.240
72316,,-0.090,-0.090,,,,
1230634,,,,,,,
1451929,,,,,,,
1223112,,,,,,,
1511863,,,,,,,
1560443,,,,,,,
1022652,,-0.780,,,,,
73605,,-0.360,,1.160,,,
1598924,,,,,,-0.030,-0.130
1094058,,,,,,,
1555492,,,,,,,
1474627,,0.690,0.700,,,,
1392902,,,,,,,
1421636,,,,,,,
6494,,,,,,0.040,-0.020
1439242,,,,,,,
33213,,3.190,1.220,2.570,2.540,0.560,-2.710
1388180,,,0.000,0.000,,-0.010,
1517248,,,0.000,,,,
1065696,,1.420,0.870,,,,1.500
1161582,,,,,,,
1130888,,-0.570,,,,,
1389217,,,,,,,
719274,,-1.170,-0.840,-0.740,-0.320,-0.590,-0.160
1364954,,,,,,,
1395317,,,,,,,
48732,,,,,,,
875159,,-1.520,2.100,3.630,0.690,4.150,1.560
1582718,,,,,,,
1455819,,,,,,,
93389,,2.700,1.790,2.210,1.850,1.990,2.620
1070494,,-0.440,-0.380,,,,
1107332,,,,,,,
1210294,,,,,,,
1269021,,,,-3.650,-3.190,,
1593204,,,,,,,
1434316,,,,,,,
740670,,,,,,,
788611,,,,,,,
1058290,,2.850,3.440,4.030,2.350,2.650,2.550
75439,,,,,,,
1582086,,,,,,,
1347613,,,,,,,
1412665,,1.470,1.960,2.180,2.190,2.420,1.780
759718,,5.520,0.860,,,,
1220606,,,,,,,
1049502,,2.450,0.900,0.670,2.160,2.280,1.940
1398235,,,,,,,
924642,,,,,,,
1355304,,-0.140,,,,,
1036500,,,,,,,
1451433,,,,,,,
107687,,,1.540,1.130,1.640,1.520,1.680
1001250,3.480,2.160,2.580,3.060,2.820,2.960,
910638,,0.700,0.710,,,,
1017907,,,-0.220,0.220,0.680,-0.050,-0.710
77597,,-0.690,0.080,,,,
318673,,0.140,1.570,0.610,0.600,0.890,0.940
1003410,,,-0.480,0.470,0.600,1.770,0.880
1108236,,0.250,0.340,0.340,0.540,0.700,0.940
1478726,,,,0.300,0.280,0.340,0.790
1109357,,3.750,1.420,2.000,1.880,2.540,1.220
920760,,0.480,3.110,2.150,2.800,3.460,
1001385,,1.350,1.720,-0.100,-1.880,-3.070,-0.970
1620928,,,,,,,
1476278,,,,,,,
4447,,5.010,5.950,14.820,7.530,-10.780,-19.920
313927,,2.120,2.450,2.790,3.010,3.070,1.750
1639947,,,,,,1.710,1.460
1587246,,,,,,,
852437,,0.150,0.030,0.150,0.050,,
1548953,,,,,,,
1103025,,,,,,,
897448,,,,-1.280,-0.360,-0.830,-0.410
1364397,,,,,,,
1382134,,-0.800,,,,,
768890,,,,,,,
1449278,,,,,,,
1364250,,0.010,0.160,0.310,0.300,0.386,0.554
99780,,1.770,3.190,4.750,4.190,5.080,2.250
1095146,,,,,,,
1564822,,,,0.820,2.130,1.810,1.790
886982,,4.510,14.130,15.460,17.070,12.140,16.290
859368,,1.880,,,,,
1497645,,,,,,1.240,1.000
1436229,,,,,,,
1507615,,,1.890,1.470,0.960,,
1510295,,6.670,9.890,6.640,8.780,5.260,2.210
1504937,,,,,,,
