SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,,,,,,,,,,,,,,,,,,,,,,,,,
1133116,,,,,,,,,,,,,,,,,,,,,,,,,,
912513,700300000.000,707700000.000,684200000.000,675700000.000,710800000.000,339400000.000,528300000.000,525300000.000,517300000.000,516700000.000,519000000.000,521300000.000,521900000.000,524300000.000,514400000.000,508800000.000,500900000.000,507300000.000,502000000.000,,,,,,,
1101026,,,,,,,,,,,,,,,,,,,,,,,,,,
23197,137354000.000,137354000.000,137354000.000,,137354000.000,137354000.000,137354000.000,,137354000.000,137354000.000,137354000.000,,137354000.000,137354000.000,137354000.000,,137354000.000,137354000.000,137354000.000,,137354000.000,264503000.000,288409000.000,,290633000.000,290633000.000
1431880,,,,,,,,,,,,,,,,,,,,,,,,,,
1540615,,,,,,,,,,,,,,,,,,,,,,,,,,
1456137,,,,,,,,,,,,,,,,,,,,,,,,,,
1069258,,370300000.000,547500000.000,573500000.000,577000000.000,575600000.000,678500000.000,596500000.000,596400000.000,596400000.000,596400000.000,596400000.000,596400000.000,596400000.000,596400000.000,596400000.000,596400000.000,483400000.000,483400000.000,483400000.000,483400000.000,483400000.000,483400000.000,485400000.000,485400000.000,485400000.000
887936,1295559000.000,1305170000.000,1295679000.000,1309358000.000,1320002000.000,1313382000.000,1327041000.000,1260035000.000,1252440000.000,1263166000.000,1194414000.000,1218733000.000,1221318000.000,1225403000.000,1213809000.000,1211689000.000,1201652000.000,1208508000.000,1199490000.000,1198298000.000,1198070000.000,1189602000.000,1188230000.000,1180001000.000,1183627000.000,1187664000.000
70487,,57589000.000,57693000.000,57730000.000,57798000.000,57715000.000,57839000.000,57799000.000,57736000.000,57638000.000,57698000.000,57593000.000,57499000.000,57599000.000,57475000.000,58489000.000,58280000.000,58336000.000,57867000.000,57792000.000,57944000.000,57946000.000,57913000.000,57861000.000,57881000.000,
13055,,,,,,,,,,,,,,,,,,,,,,,,,,
946486,,,,,,,,,,,,,,,,,,,,,,,,,,
36146,291104000.000,291104000.000,291104000.000,291104000.000,291104000.000,291104000.000,291104000.000,291104000.000,366366000.000,368315000.000,372463000.000,372851000.000,365500000.000,365500000.000,365500000.000,365500000.000,365500000.000,365500000.000,365500000.000,366156000.000,366156000.000,366156000.000,366156000.000,366156000.000,366156000.000,
1393631,,,,,,,,,,15622726.000,15622726.000,141568726.000,11980100.000,11980100.000,,,,,,,,,,,,
1377013,2091000000.000,2233000000.000,2233000000.000,2247000000.000,2817000000.000,2879000000.000,2893000000.000,2889000000.000,2885000000.000,2885000000.000,2886000000.000,3196000000.000,3138000000.000,3137000000.000,3138000000.000,3137000000.000,3137000000.000,3138000000.000,3139000000.000,3139000000.000,3140000000.000,,,,,
814549,,,237863000.000,259218000.000,264504000.000,320238000.000,337249000.000,326748000.000,326223000.000,333872000.000,337403000.000,337068000.000,341744000.000,352833000.000,350255000.000,402220000.000,399408000.000,412842000.000,408093000.000,402259000.000,403210000.000,406946000.000,428063000.000,441404000.000,443304000.000,
1276477,,,,,,,,,,,,,,,,,,,,,,,,,,
764038,,,,,,,,100602000.000,,,319180000.000,319429000.000,319100000.000,317400000.000,317700000.000,317688000.000,317700000.000,317700000.000,338300000.000,338340000.000,338340000.000,338340000.000,338340000.000,338340000.000,595711000.000,
1610853,,,,,,,,,,,,,,,,,,,,,,,,,,
1582554,,,,,,,,,,,,,,,,,1384674.000,1384674.000,1384674.000,1336488.000,1336488.000,1336488.000,1336488.000,1336488.000,1336488.000,
1459188,,,,,,,,,,,,,,,,,,,,,,,,,,
1005409,,,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,
1622057,,,,,,,,,,,,,,,,,,,,,,,,,,
1175108,,,,,,,,,,,,,,,,,,,,,,,,,,
927761,,,,,,,,,,,,,,,,,,,,,,,,,,
937834,,,,,,,,,,,,101000000.000,,,,101000000.000,,,,101000000.000,,,,,,
1320729,,,,,,,,,,,,,,,,,,,,,,,,,,
860131,,,,,,,,,,,,,,,,,,,,,,,,,,
1329799,,,,,,,,,,,,,,,,,,,,,,,,,,
77877,,,,,,,,,,,,,,,,,,,,,,,,62041000.000,56058000.000,
1267391,,,,,,,,,,,,,,,,,,,,,,,,,,
1040130,,,,,,,,,,,,,,,,,,,,,,,,,,
