SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,,,,,,
1133116,,,,,,,
912513,,675700000.000,525300000.000,521300000.000,508800000.000,,
1101026,,,,,,,
23197,,137354000.000,137354000.000,137354000.000,137354000.000,137354000.000,287618000.000
1431880,,,,,,,
1540615,,,,,,,
1456137,,,,,,,
1069258,,573500000.000,596500000.000,596400000.000,596400000.000,483400000.000,485400000.000
887936,,1309358000.000,1260035000.000,1218733000.000,1211689000.000,1198298000.000,1180001000.000
70487,,57730000.000,57799000.000,57593000.000,58489000.000,57792000.000,57861000.000
13055,,,,,,,
946486,,,,,,,
36146,,291104000.000,291104000.000,372851000.000,365500000.000,366156000.000,366156000.000
1393631,,,,141568726.000,,,
1377013,,2247000000.000,2889000000.000,3196000000.000,3137000000.000,3139000000.000,
814549,,259218000.000,326748000.000,337068000.000,402220000.000,402259000.000,441404000.000
1276477,,,,,,,
764038,,,100602000.000,319429000.000,317688000.000,338340000.000,338340000.000
1610853,,,,,,,
1582554,,,,,,1336488.000,1336488.000
1459188,,,,,,,
1005409,,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000,55638000.000
1622057,,,,,,,
1175108,,,,,,,
927761,,,,,,,
937834,,,,101000000.000,101000000.000,101000000.000,
1320729,,,,,,,
860131,,,,,,,
1329799,,,,,,,
77877,,,,,,,62041000.000
1267391,,,,,,,
1040130,,,,,,,
1484565,,,,,,916807.000,817465.000
1287668,,,,,,,
1262449,,,,,,,
1270400,,,,,,,
1077688,,,,,,,23187000.000
1140184,,,,,,,
1361937,,,,,,,
1426800,,,,,12737350.000,12638136.000,12638136.000
1269879,,,,,,,
889331,,115697000.000,133592000.000,186464000.000,196256000.000,189767000.000,403544000.000
1034669,,13293000.000,13293000.000,,,,
1416729,,,,,,,
1020214,,1316000.000,1316000.000,1316000.000,1316000.000,1316000.000,1316000.000
95552,,,,,,,
1501268,,,,,,,
1040570,,68130000.000,,,,,
1269022,,,,,,,
1594420,,,,,,,
1324482,,,,,,,
1502777,,,,,,,
911109,,514469000.000,518308000.000,519222000.000,705608000.000,706387000.000,703558000.000
1402186,,,,,,,
1549848,,,,,33745000.000,33745000.000,0.000
931058,,122069000.000,189138000.000,203528000.000,,,
1563004,,,,,,,
1546381,,,,,44891000.000,14631000.000,13691000.000
1487952,,,,18880000.000,12788000.000,12603000.000,18717000.000
1287701,,,,,3840000.000,,
883107,,,,,,,
1084869,,,47901000.000,60166000.000,77097000.000,,77667000.000
1443157,,,,,,,
1145765,,,,,,,
1069157,,337438000.000,337438000.000,337438000.000,469433000.000,469433000.000,469433000.000
1321732,,,,,,,
1579717,,,,,,,
1374310,,,,,,7655000.000,26468000.000
1126956,,,,247078000.000,937800000.000,946000000.000,1164900000.000
72316,,,,,,,
1230634,,,,,,,
1451929,,,,,,,
1223112,,435000.000,,,,,
1511863,,,,,,,
1560443,,,,23974000.000,9315000.000,,
1022652,,19772000.000,0.000,0.000,,29520000.000,34428000.000
73605,,,,,,,
1598924,,,,,,,
1094058,,,,,,,
1555492,,,,95412000.000,95412000.000,,
1474627,,,,,,,
1392902,,,,,,,
1421636,,,,,,,
6494,,,,,,,
1439242,,,,,,,
33213,,,,,,,
1388180,,,,,,,
1517248,,,,,,,
1065696,,1476063000.000,1690284000.000,1937444000.000,2288895000.000,2319246000.000,3054769000.000
1161582,,,279515.000,739000.000,739000.000,739000.000,0.000
1130888,,,,,,,
1389217,,,,,,,
719274,,,,,,,
1364954,,,,,91301000.000,91301000.000,116239000.000
1395317,,1228778000.000,1249305000.000,1149331000.000,1141188000.000,1018104000.000,855626000.000
48732,,,,,,,
875159,,,392882000.000,396245000.000,415936000.000,1213630000.000,1213524000.000
1582718,,,,,,,
1455819,,,,,,,
93389,,26124000.000,35827000.000,38005000.000,54975000.000,54881000.000,67231000.000
1070494,,,,,,,
1107332,,,,,,,
1210294,,,,,,,
1269021,,,,,,,
1593204,,,,,,,
1434316,,,,,,,
740670,,95000000.000,94000000.000,94000000.000,,,
788611,,,,,,,
1058290,,288772000.000,309185000.000,444236000.000,2413564000.000,2404700000.000,2554000000.000
75439,,,,,,4658000.000,4658000.000
1582086,,,,,,,
1347613,,,,,,,
1412665,,,,,,64548000.000,64654000.000
759718,,,,,,,
1220606,,,,,,,
1049502,,140084000.000,150733000.000,150909000.000,192381000.000,199703000.000,588585000.000
1398235,,,,,,,
924642,,,,,,,
1355304,,,,,1907529.000,,
1036500,,,,,,,
1451433,,,,,,,
107687,,,1228000.000,1228000.000,1228000.000,1228000.000,1228000.000
1001250,877300000.000,882600000.000,881500000.000,893200000.000,1144800000.000,1227800000.000,
910638,,107651000.000,240314000.000,370066000.000,589537000.000,187875000.000,181230000.000
1017907,,,,,,29429000.000,29384000.000
77597,,47466000.000,47466000.000,,,,
