SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,,,,,,,,,,,,,,,,,,,,,,,,,
1133116,,,,,,,,,,,,,,,,,,,,,,,,,,
912513,1977400000.000,1970100000.000,1871100000.000,1843400000.000,1923800000.000,2071300000.000,2078300000.000,2117800000.000,2227300000.000,1591900000.000,1523900000.000,1498600000.000,,,,1556200000.000,,,,,,,,,,
1101026,,,1663263.000,2494993.000,2871646.000,,,4190195.000,5098492.000,9106694.000,12548356.000,11768263.000,6666569.000,6548373.000,9636177.000,6471025.000,7540190.000,8073563.000,8774636.000,9569669.000,10465156.000,11205658.000,13519040.000,14358527.000,16573500.000,
23197,312315000.000,308329000.000,296611000.000,,281286000.000,290377000.000,275118000.000,,266070000.000,272128000.000,281908000.000,,275269000.000,270956000.000,70605000.000,,69151000.000,73797000.000,59932000.000,,64298000.000,450795000.000,442164000.000,,417049000.000,394103000.000
1431880,,,569792.000,920769.000,1165088.000,,2035763.000,2348599.000,1719631.000,1741735.000,1762937.000,1781399.000,,,,,,,,,,,,,,
1540615,,,,,,4726.000,,,5058.000,56018.000,183244.000,,,745174.000,951229.000,,,,,,,,,,,
1456137,,,,,,,,,,,,,,,,,,,,,,,,,,
1069258,,685400000.000,910000000.000,903800000.000,926700000.000,907800000.000,960300000.000,959900000.000,955000000.000,914200000.000,923000000.000,920800000.000,912300000.000,935000000.000,914900000.000,914500000.000,911100000.000,903900000.000,663900000.000,649100000.000,649700000.000,648600000.000,671800000.000,672200000.000,610200000.000,603000000.000
887936,1242218000.000,1271196000.000,1274750000.000,1304882000.000,1221514000.000,1223758000.000,1176228000.000,1207220000.000,1181124000.000,1191314000.000,1241441000.000,1322688000.000,1235539000.000,1265320000.000,1301592000.000,1327781000.000,1254115000.000,1273482000.000,1131609000.000,1081415000.000,1043798000.000,1084221000.000,1110033000.000,1018010000.000,976033000.000,1085615000.000
70487,,47754000.000,47442000.000,45122000.000,44971000.000,44531000.000,45360000.000,43304000.000,43555000.000,41664000.000,42376000.000,39241000.000,38958000.000,39790000.000,40755000.000,41762000.000,40609000.000,41353000.000,42886000.000,54877000.000,42200000.000,36841000.000,38076000.000,37818000.000,40487000.000,
13055,,,,,,,,,,,,,,,,,,,,,,,,,,
946486,,16041000.000,13995000.000,12060000.000,15505000.000,13480000.000,16701000.000,12290000.000,19705000.000,17091000.000,18156000.000,30816000.000,30691000.000,30268000.000,29344000.000,28300000.000,30310000.000,31278000.000,34842000.000,36111000.000,39687000.000,40217000.000,39284000.000,38529000.000,37467000.000,
36146,8354233000.000,8505681000.000,8484315000.000,8511970000.000,8690073000.000,8632351000.000,8594144000.000,8541298000.000,10497569000.000,10536493000.000,10475683000.000,10435430000.000,10683159000.000,10720105000.000,10681218000.000,10830693000.000,10733080000.000,10732039000.000,10913520000.000,11205839000.000,11266940000.000,11506882000.000,11626777000.000,11832125000.000,11952400000.000,
1393631,,,,,,2402093.000,2256817.000,2332592.000,3053852.000,49447867.000,49256562.000,77197846.000,62789359.000,73339257.000,14355505.000,,,,,,,,,,,
1377013,36500000000.000,37855000000.000,40459000000.000,40739000000.000,41770000000.000,42572000000.000,42468000000.000,42526000000.000,42357000000.000,42516000000.000,40765000000.000,41326000000.000,42055000000.000,41042000000.000,40727000000.000,40484000000.000,40186000000.000,40374000000.000,39972000000.000,40278000000.000,40390000000.000,,,,,
814549,,,75687000.000,95067000.000,94212000.000,148857000.000,163008000.000,149791000.000,148066000.000,148455000.000,127898000.000,135639000.000,121564000.000,108021000.000,128102000.000,202090000.000,194534000.000,217687000.000,248316000.000,267018000.000,280201000.000,295855000.000,320909000.000,365119000.000,381875000.000,
1276477,,125913000.000,,118592000.000,113133000.000,,,,,,,,,,,,,,,,,,,,,
764038,,3468830000.000,3553796000.000,3514777000.000,3659836000.000,3948363000.000,3891308000.000,4628897000.000,4627718000.000,4526486000.000,7058415000.000,6950029000.000,7056812000.000,7040668000.000,6913093000.000,6841307000.000,7014018000.000,7061205000.000,7451564000.000,7497964000.000,7588703000.000,7619650000.000,7673033000.000,7766004000.000,9570170000.000,
1610853,,,,,,,,,,,,,,,,,,3429582.000,1823660.000,7243957.000,4056914.000,4340043.000,4461317.000,,9508038.000,
1582554,,,,,,,,,,,,,,905811.000,1043120.000,1133554.000,3404854.000,3233206.000,2907825.000,2333675.000,2525161.000,2567329.000,2584784.000,2666380.000,3171718.000,
1459188,,,1835127.000,1384541.000,1407513.000,1621587.000,1615898.000,,,,,,,,,,,,,,,,,,,
