SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,,,,,,
1133116,,,,,,,
912513,,1843400000.000,2117800000.000,1498600000.000,1556200000.000,,
1101026,,2494993.000,4190195.000,11768263.000,6471025.000,9569669.000,14358527.000
23197,,308329000.000,290377000.000,277753000.000,76927000.000,72468000.000,450795000.000
1431880,,1165088.000,1719631.000,,,,
1540615,,,,183244.000,951229.000,,
1456137,,,,,,,
1069258,,903800000.000,959900000.000,920800000.000,914500000.000,649100000.000,672200000.000
887936,,1304882000.000,1207220000.000,1322688000.000,1327781000.000,1081415000.000,1018010000.000
70487,,45122000.000,43304000.000,39241000.000,41762000.000,54877000.000,37818000.000
13055,,,,,,,
946486,,12060000.000,12290000.000,30816000.000,28300000.000,36111000.000,38529000.000
36146,,8511970000.000,8541298000.000,10435430000.000,10830693000.000,11205839000.000,11832125000.000
1393631,,,2332592.000,77197846.000,,,
1377013,,40739000000.000,42526000000.000,41326000000.000,40484000000.000,40278000000.000,
814549,,95067000.000,149791000.000,135639000.000,202090000.000,267018000.000,365119000.000
1276477,,118592000.000,,,,,
764038,,3514777000.000,4628897000.000,6950029000.000,6841307000.000,7497964000.000,7766004000.000
1610853,,,,,,4056914.000,
1582554,,,,,1133554.000,2333675.000,2666380.000
1459188,,1384541.000,,,,,
1005409,,3660146000.000,3513825000.000,3592684000.000,4037382000.000,4538925000.000,5439562000.000
1622057,,,,,3144590.000,2970093.000,165999.000
1175108,,,,,,,
927761,,,,,,,
937834,,,,405729000000.000,425869000000.000,418276000000.000,405584000000.000
1320729,,,9444270.000,,,,
860131,,,,,1294000.000,2673532.000,2782165.000
1329799,,,,,2792162000.000,,
77877,,1033893000.000,1123667000.000,1057609000.000,1203229000.000,1083346000.000,1863088000.000
1267391,,,,,,,
1040130,,9883000.000,9165000.000,8158000.000,7417000.000,7084000.000,19443000.000
1484565,,,,,,,2129655.000
1287668,,,,,,,
1262449,,,,,,,
1270400,,,,,,,
1077688,23641000.000,22058000.000,24778000.000,20678000.000,27846000.000,25592000.000,120769000.000
1140184,,,,,,,
1361937,,,,,,,
1426800,,2513074.000,2745458.000,2638054.000,12654021.000,15002902.000,18240605.000
1269879,,,900821.000,1172335.000,,,
889331,,177321000.000,190170000.000,337457000.000,343161000.000,320783000.000,676263000.000
1034669,,143072000.000,57889000.000,,,,
1416729,,10604059.000,4683774.000,,,,
1020214,,27054000.000,29812000.000,40586000.000,40255000.000,44705000.000,45689000.000
95552,,,,,,,
1501268,,,,87799.000,121818.000,130124.000,199091.000
1040570,,827298000.000,,,,,
1269022,,467071.000,,552384.000,876856.000,,
1594420,,,,,,,
1324482,,,,,,,
1502777,,,15968730.000,,,,
911109,,947240000.000,918041000.000,821830000.000,1248643000.000,1213693000.000,1269280000.000
1402186,,,,,,,
1549848,,,,,257679000.000,280185000.000,236428000.000
931058,,1158593000.000,1329736000.000,1114878000.000,,,
1563004,,,,,,,
1546381,,,,,155597000.000,151284000.000,123292000.000
1487952,,71667000.000,66365000.000,88553000.000,88729000.000,91860000.000,98953000.000
1287701,,2698760000.000,2420664000.000,225190000.000,577090000.000,,
883107,,,,,,,
1084869,,,103100000.000,81451000.000,291690000.000,,263928000.000
1443157,,,,5951049.000,,,
1145765,,29156541.000,25600367.000,18096652.000,6302486.000,5376876.000,7593373.000
1069157,,19656924000.000,20153988000.000,22365843000.000,25887481000.000,29227972000.000,31361099000.000
1321732,,,,,,31326000.000,41707000.000
1579717,,,,26107.000,,,
1374310,,91598000.000,99736000.000,157072000.000,133834000.000,125143000.000,146069000.000
1126956,,,,,,,
72316,,64027498.000,68969297.000,,,,
1230634,,1001000.000,,,,,
1451929,,31383.000,16789.000,31972.000,66291.000,,
1223112,,56920000.000,55886000.000,,,,
1511863,,,,,,,
1560443,,,,107457000.000,166151000.000,,
1022652,,83154000.000,76084000.000,66549000.000,64474000.000,168290000.000,176443000.000
73605,,13005504.000,11901036.000,4849712.000,4284246.000,3191897.000,
1598924,,,,,,2886137.000,35675.000
1094058,,,,,,,
1555492,,,,368801000.000,381739000.000,,
1474627,,4744170.000,4214643.000,,,,
1392902,,316093.000,333961.000,143306.000,529421.000,322412.000,149013.000
1421636,,12805.000,15000.000,19200.000,16100.000,18800.000,17300.000
6494,,508868.000,,,5640478.000,6168803.000,2337635.000
1439242,,,,,,,
33213,,5178889000.000,4961060000.000,4927925000.000,5691837000.000,5948130000.000,6353675000.000
1388180,,,739618.000,848690.000,356139.000,605903.000,2308056.000
1517248,,,1119982.000,,,,
1065696,,,,,,,
1161582,,646305.000,1616846.000,11601334.000,4600674.000,,
1130888,,21985878.000,19570647.000,,,,
1389217,,,,,,,
719274,,2543000.000,6052000.000,6716000.000,5099000.000,8222000.000,7354000.000
1364954,,,,,71084000.000,60281000.000,68713000.000
