SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,27774000.000,26664000.000,25772000.000,26742000.000,21114000.000,17955000.000,19976000.000,20577000.000,17337000.000,14311000.000,14863000.000,16784000.000,,,,,,,,,,,,,
1133116,,125301.000,140317.000,818475.000,868827.000,886099.000,924020.000,966907.000,992342.000,1025375.000,1058808.000,1096747.000,1121645.000,1138872.000,1158787.000,1191908.000,1209698.000,,,,,,,,,
912513,637100000.000,631600000.000,556400000.000,521900000.000,599000000.000,588600000.000,832600000.000,807400000.000,644600000.000,451800000.000,395800000.000,368500000.000,380700000.000,374700000.000,376500000.000,366900000.000,345600000.000,333100000.000,350500000.000,,,,,,,
1101026,,,1009422.000,1788336.000,2053565.000,,,3361287.000,4620418.000,8707310.000,12005705.000,10877452.000,5656162.000,5912283.000,9154784.000,6233983.000,6894408.000,7192589.000,8332779.000,4970910.000,5578537.000,6336289.000,6701169.000,11182480.000,2520470.000,
23197,97815000.000,96057000.000,84696000.000,,70048000.000,82655000.000,67054000.000,,56945000.000,63795000.000,272162000.000,,266123000.000,66188000.000,60336000.000,,58921000.000,64756000.000,55409000.000,,59965000.000,184146000.000,177864000.000,,156854000.000,151909000.000
1431880,,,,,,,,,,,1762937.000,1781399.000,,,,,,,,,,,,,,
1540615,,,,,,4726.000,,,5058.000,56018.000,8244.000,,,93037.000,951229.000,,1159073.000,1116902.000,,,,,,,,
1456137,,21548451.000,30129503.000,15402318.000,16060549.000,,18365446.000,14873925.000,16071351.000,13119069.000,21526846.000,,,,,,,,,,,,,,,
1069258,,123800000.000,216500000.000,213800000.000,238800000.000,222900000.000,274100000.000,279000000.000,275600000.000,238600000.000,256200000.000,251000000.000,244100000.000,246900000.000,227200000.000,226100000.000,223000000.000,215900000.000,187300000.000,172400000.000,170300000.000,167600000.000,187400000.000,196500000.000,196000000.000,187100000.000
887936,278316000.000,293903000.000,446086000.000,497837000.000,408553000.000,415437000.000,367064000.000,304197000.000,269245000.000,261778000.000,304134000.000,384330000.000,299210000.000,308874000.000,345862000.000,367092000.000,291155000.000,314621000.000,334510000.000,347077000.000,287519000.000,325042000.000,365529000.000,378455000.000,293328000.000,314738000.000
70487,,27147000.000,26656000.000,24399000.000,24417000.000,25272000.000,37687000.000,35298000.000,35748000.000,24742000.000,26127000.000,23690000.000,23938000.000,25287000.000,26987000.000,27926000.000,27594000.000,29282000.000,31584000.000,44171000.000,32518000.000,29270000.000,31131000.000,31514000.000,34351000.000,
13055,,,2706018.000,,,,,,,,,,,,,,,,,,,,,,,
946486,,15073000.000,13062000.000,11147000.000,14597000.000,12608000.000,15864000.000,11699000.000,13012000.000,10348000.000,11310000.000,11855000.000,11135000.000,10862000.000,9427000.000,7829000.000,9257000.000,9768000.000,9786000.000,11068000.000,14647000.000,15055000.000,14129000.000,13391000.000,24836000.000,
36146,,,,,,,,,,,,,,,,,,,,,,,,,,
1393631,,109525.000,,,5000.000,1520563.000,1384674.000,1480103.000,2221018.000,48634688.000,49256562.000,68491765.000,52131964.000,73339257.000,14355505.000,,,,,,,,,,,
1377013,2765000000.000,3141000000.000,4645000000.000,5370000000.000,5584000000.000,5153000000.000,5534000000.000,5325000000.000,5874000000.000,7006000000.000,4964000000.000,5226000000.000,6399000000.000,5274000000.000,5019000000.000,4497000000.000,4159000000.000,4155000000.000,3763000000.000,3949000000.000,3853000000.000,,,,,
814549,,,50492000.000,49779000.000,48387000.000,57428000.000,60661000.000,56690000.000,57771000.000,69463000.000,59825000.000,66675000.000,58799000.000,68515000.000,35566000.000,69786000.000,47785000.000,52835000.000,49680000.000,51266000.000,44236000.000,58622000.000,71321000.000,89712000.000,69063000.000,
1276477,,37884000.000,,43857000.000,46364000.000,,,,,,,,,,,,,,,,,,,,,
764038,,,,,,,,,,,,,,,,,,,,,,,,,,
1610853,,,,,,,,,,,,,,,,,,1583499.000,1461751.000,6413579.000,2331154.000,4340043.000,4461317.000,,9508038.000,
1582554,,,,,,,,,,,,,,872231.000,1020665.000,1118263.000,1307853.000,1136205.000,872769.000,1128534.000,1320020.000,1341507.000,1360639.000,1444793.000,1952740.000,
1459188,,,1400895.000,1384541.000,1407513.000,1621587.000,1615898.000,,,,,,,,,,,,,,,,,,,
