SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,25772000.000,19976000.000,14863000.000,,,
1133116,,818475.000,966907.000,1096747.000,1191908.000,,
912513,,521900000.000,807400000.000,368500000.000,366900000.000,,
1101026,,1788336.000,3361287.000,10877452.000,6233983.000,4970910.000,11182480.000
23197,,96057000.000,82655000.000,269091000.000,66188000.000,64337000.000,184146000.000
1431880,,,,,,,
1540615,,,,8244.000,951229.000,,
1456137,,15402318.000,14873925.000,,,,
1069258,,213800000.000,279000000.000,251000000.000,226100000.000,172400000.000,196500000.000
887936,,497837000.000,304197000.000,384330000.000,367092000.000,347077000.000,378455000.000
70487,,24399000.000,35298000.000,23690000.000,27926000.000,44171000.000,31514000.000
13055,,,,,,,
946486,,11147000.000,11699000.000,11855000.000,7829000.000,11068000.000,13391000.000
36146,,,,,,,
1393631,,,1480103.000,68491765.000,,,
1377013,,5370000000.000,5325000000.000,5226000000.000,4497000000.000,3949000000.000,
814549,,49779000.000,56690000.000,66675000.000,69786000.000,51266000.000,89712000.000
1276477,,43857000.000,,,,,
764038,,,,,,,
1610853,,,,,,2331154.000,
1582554,,,,,1118263.000,1128534.000,1444793.000
1459188,,1384541.000,,,,,
1005409,,,,,,,
1622057,,,,,3084590.000,2970093.000,165999.000
1175108,,59117000.000,,,,,
927761,,,,,,,
937834,,,,,,,
1320729,,,6248136.000,,,,
860131,,,,,1294000.000,2663527.000,2782165.000
1329799,,,,,,,
77877,,195046000.000,203349000.000,213420000.000,310391000.000,301332000.000,270578000.000
1267391,,,,,,,
1040130,,9391000.000,8997000.000,8093000.000,7417000.000,,18355000.000
1484565,,,,,1289785.000,3192735.000,1707378.000
1287668,,,,,,,
1262449,,,,,,,
1270400,,,,,,,
1077688,17399000.000,14958000.000,17467000.000,12907000.000,19067000.000,16605000.000,64060000.000
1140184,,,,,,,
1361937,,36795000.000,40171000.000,52379000.000,47878000.000,60744000.000,59176000.000
1426800,,2513074.000,,,1054021.000,3402902.000,7120954.000
1269879,,,900821.000,1172335.000,,,
889331,,149277000.000,155420000.000,208738000.000,204466000.000,209833000.000,187541000.000
1034669,,109823000.000,23872000.000,,,,
1416729,,10604059.000,4310905.000,,,,
1020214,,21114000.000,25613000.000,39424000.000,29187000.000,21895000.000,26888000.000
95552,,68550000.000,66578000.000,99430000.000,71962000.000,73862000.000,85964000.000
1501268,,,32010.000,87799.000,121818.000,130124.000,199091.000
1040570,,111943000.000,,,,,
1269022,,226993.000,,286296.000,,,
1594420,,,,,,,
1324482,,,,,,,
1502777,,,341181.000,,,,
911109,,,,,,,
1402186,,,,,,,
1549848,,,,,52585000.000,21982000.000,30162000.000
931058,,317017000.000,362712000.000,91509000.000,,,
1563004,,,,,,,
1546381,,,,,,,
1487952,,36764000.000,32112000.000,45840000.000,48530000.000,41143000.000,36922000.000
1287701,,,,,,,
883107,,819234.000,1199438.000,857000.000,976000.000,878000.000,1297000.000
1084869,,,86020000.000,74307000.000,123607000.000,,120861000.000
1443157,,,,2985414.000,,,
1145765,,,,,,,
1069157,,,,,,,
1321732,,,,,,28148000.000,35800000.000
1579717,,,,,,,
1374310,,52287000.000,52150000.000,107458000.000,73665000.000,73997000.000,89843000.000
1126956,,231934000.000,252124000.000,353178000.000,782800000.000,853800000.000,1161300000.000
72316,,56170498.000,60741827.000,,,,
1230634,,,,,,,
1451929,,31383.000,16789.000,31972.000,66291.000,621315.000,
1223112,,47464000.000,49397000.000,,,,
1511863,,93109.000,,,,,
1560443,,,,17281000.000,56225000.000,,
