SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,,,,-1036000.000,,,,-231000.000,,,,-464000.000,,,,,,,,,,,,,
1133116,,,,,29251.000,,,,0.000,,,,0.000,,,,0.000,,,,,,,,,
912513,-30600000.000,,,,13200000.000,,,,31600000.000,,,,7300000.000,,,,-400000.000,,,,,,,,,
1101026,,,,,440961.000,,,,535000.000,,,,284250.000,,,,411392.000,,,,1000815.000,,,,1030000.000,
23197,,,-82267000.000,,,,-4203000.000,,,,-7822000.000,,,,-4507000.000,,,,-4665000.000,,,,-9642000.000,,,
1431880,,,,,,,,,,16121.000,,,,,,,,,,,,,,,,
1540615,,,,,,,,,,8076.000,,,,,,,149000.000,,,,,,,,,
1456137,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
1069258,,,,,-400000.000,,,,-500000.000,,,,1400000.000,,,,1500000.000,,,,900000.000,,,,18400000.000,
887936,-186067000.000,,,,-1118000.000,,,,-30193000.000,,,,13042000.000,,,,5326000.000,,,,5181000.000,,,,2339000.000,
70487,,,,,-1755000.000,,,,-1600000.000,,,,40000.000,,,,-3135000.000,,,,-20326000.000,,,,-5161000.000,
13055,,,,,,,,,,,,,,,,,,,,,,,,,,
946486,,,,,50297000.000,,,,9833000.000,,,,435000.000,,,,-20000.000,,,,0.000,,,,9786000.000,
36146,-56006000.000,,,,-49341000.000,,,,167462000.000,,,,253441000.000,,,,-78492000.000,,,,54925000.000,,,,115601000.000,
1393631,,,,,,,,,90000.000,,,,2168525.000,,,,,,,,,,,,,
1377013,-929000000.000,,,,-1838000000.000,,,,-812000000.000,,,,454000000.000,,,,-514000000.000,,,,-156000000.000,,,,,
