SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,-3544000.000,-4304000.000,-722000.000,,,
1133116,,609907.000,138899.000,,,,
912513,,-211500000.000,-44000000.000,-764500000.000,-48600000.000,,
1101026,,1508938.000,1598215.000,3763547.000,2244325.000,2312093.000,3033870.000
23197,,-136112000.000,-237990000.000,-43600000.000,-231793000.000,-21911000.000,187084000.000
1431880,,990000.000,334000.000,,,,
1540615,,,,180818.000,599340.000,,
1456137,,-1549330.000,-1582319.000,,,,
1069258,,452400000.000,90900000.000,-2000000.000,-9700000.000,-214700000.000,63100000.000
887936,,-198729000.000,-138246000.000,-43129000.000,6330000.000,-235962000.000,-125310000.000
70487,,-6886000.000,-16687000.000,-2824000.000,-1730000.000,-16869000.000,-32502000.000
13055,,,,,,,
946486,,22782000.000,50223000.000,100453000.000,377000.000,27703000.000,
36146,,-227792000.000,-257152000.000,72056000.000,315200000.000,317168000.000,552192000.000
1393631,,10525.000,366484.000,4585217.000,,,
1377013,,-28000000.000,-4053000000.000,-5056000000.000,-2076000000.000,-1731000000.000,
814549,,-55537000.000,6906000.000,-26449000.000,15863000.000,-6307000.000,-4078000.000
1276477,,-14425000.000,,,,,
764038,,-335964000.000,-138944000.000,-562231000.000,-170742000.000,194072000.000,231562000.000
1610853,,,,,,9691336.000,
1582554,,,,,0.000,8456112.000,6997177.000
1459188,,2367577.000,,,,,
1005409,,-69158000.000,-187457000.000,73953000.000,419332000.000,489238000.000,882942000.000
1622057,,,,,1295000.000,636200.000,325300.000
1175108,,-14648000.000,,,,,
927761,,,,,,,
937834,,,,-3497000000.000,5127000000.000,-4751000000.000,-1079000000.000
1320729,,,2171337.000,,,,
860131,,,,,,500000.000,
1329799,,,,,715638000.000,,
77877,,243433000.000,271437000.000,248729000.000,60269000.000,177974000.000,1266113000.000
1267391,,,,,,,
1040130,,-34889000.000,-36121000.000,-13227000.000,-13749000.000,-14542000.000,-15509000.000
1484565,,,,,11202985.000,9157920.000,10768133.000
1287668,,,,,,,
1262449,,,,,,,
1270400,,,,,,,
1077688,-4312000.000,-4315000.000,-6057000.000,-4301000.000,-4306000.000,-4322000.000,42691000.000
1140184,,,,,,,
1361937,,358935000.000,41167000.000,189683000.000,-104829000.000,-420916000.000,-38967000.000
1426800,,47485175.000,4896816.000,24374614.000,16725946.000,81569257.000,152640.000
1269879,,-22274.000,140000.000,224540.000,,,
889331,,-14060000.000,750000.000,142232000.000,-43253000.000,-67655000.000,284196000.000
1034669,,-39908000.000,-155225000.000,,,,
1416729,,8017318.000,-4741292.000,,,,
1020214,,11618000.000,14911000.000,58643000.000,36454000.000,97954000.000,24567000.000
95552,,-12509000.000,-33344000.000,-5566000.000,-33612000.000,-31348000.000,-37327000.000
1501268,,,,,9136.000,38600.000,
1040570,,-2978000.000,,,,,
1269022,,50901.000,,26010.000,178451.000,,
1594420,,,,,,,
1324482,,,,,,,
1502777,,,391726.000,,,,
911109,,-71063000.000,-60719000.000,-110345000.000,329780000.000,-140576000.000,-44853000.000
1402186,,,,,,,
1549848,,,,,144383000.000,-20003000.000,146324000.000
931058,,232929000.000,-14190000.000,56621000.000,,,
1563004,,,,,,,
1546381,,,,,-1361000.000,8818000.000,6462000.000
1487952,,-234000.000,-248000.000,21386000.000,-4241000.000,1632000.000,2852000.000
1287701,,-195358000.000,-306894000.000,124620000.000,595171000.000,,
883107,,3332.000,2197354.000,-50000.000,6000.000,-59000.000,910000.000
1084869,,,-19882000.000,-6002000.000,60607000.000,,-23849000.000
1443157,,,,1899590.000,,,
1145765,,,,,,,
1069157,,914211000.000,364200000.000,1881715000.000,2111060000.000,3490306000.000,1680360000.000
1321732,,,,,,124424000.000,7126000.000
1579717,,,,43752.000,,,
1374310,,-91701000.000,-166897000.000,-107439000.000,-283933000.000,-211531000.000,-150132000.000
1126956,,-143822000.000,-38517000.000,969909000.000,1278100000.000,-26000000.000,275800000.000
72316,,-321019.000,79230.000,,,,
1230634,,-346000.000,,,,,
1451929,,1165000.000,600000.000,0.000,0.000,341300.000,
1223112,,41367000.000,-12240000.000,,,,
1511863,,47150.000,,,,,
1560443,,,,39950000.000,52957000.000,,
1022652,,-305000.000,1120000.000,2014000.000,10908000.000,119167000.000,-1291000.000
73605,,-774869.000,-208636.000,-1135561.000,-1136805.000,-296613.000,
1598924,,,,,37600.000,2577764.000,89466.000
1094058,,3651000.000,,,,,
1555492,,,,75336000.000,-3010000.000,,
1474627,,9076.000,792709.000,,,,
1392902,,,,,419500.000,718832.000,237500.000
1421636,,,,,,,
6494,,-39673.000,,,900000.000,929682.000,-512549.000
1439242,,,,,,,
33213,,540321000.000,-75520000.000,500500000.000,1261258000.000,1832470000.000,1399469000.000
1388180,,,,,-176599.000,-10132.000,-6312.000
1517248,,,142807.000,,,,
1065696,,311411000.000,157072000.000,165941000.000,519003000.000,-224092000.000,1225737000.000
1161582,,1950616.000,1325641.000,4143806.000,393513.000,1150015.000,1255000.000
1130888,,-123714.000,-1144206.000,,,,
1389217,,681650.000,12500.000,1486000.000,1147336.000,,
719274,,1977000.000,1264000.000,1940000.000,669000.000,3023000.000,-663000.000
1364954,,,,,-1872000.000,2723000.000,-8675000.000
1395317,,334290000.000,11953000.000,23309000.000,-23000.000,36101000.000,38815000.000
48732,,-286000000.000,-489000000.000,-1812000000.000,142000000.000,-424000000.000,-69000000.000
875159,,-358716000.000,-1344753000.000,-394843000.000,-1863708000.000,46811000.000,-1424610000.000
1582718,,,,,,,
1455819,,1116000.000,,,1284825.000,,
93389,,566000.000,-42787000.000,-39295000.000,15316000.000,-41155000.000,-7756000.000
1070494,,13944000.000,98172000.000,111682000.000,203851000.000,14502000.000,533812000.000
1107332,,608221000.000,1075000.000,-4622000.000,,,
1210294,,15183460.000,12916232.000,,11209216.000,,
1269021,,,,248511000.000,179599000.000,283282000.000,57741000.000
1593204,,,,,1275.000,40111.000,
1434316,,,,60560000.000,18366000.000,35603000.000,57737000.000
740670,,-252000000.000,-493000000.000,-178000000.000,,,
788611,,1024378.000,342.000,1180833.000,3697791.000,0.000,900000.000
1058290,,-255455000.000,-342988000.000,-30867000.000,1503410000.000,-648100000.000,-719000000.000
