SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,,,,786000.000,,,,2680000.000,,,,-76000.000,,,,,,,,,,,,,
1133116,,,,,-901.000,,,,0.000,,,,0.000,,,,0.000,,,,,,,,,
912513,133500000.000,,,,-49500000.000,,,,-57600000.000,,,,-63900000.000,,,,-33900000.000,,,,,,,,,
1101026,,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,,,0.000,
23197,,,-1443000.000,,,,-1063000.000,,,,-1027000.000,,,,-747000.000,,,,-636000.000,,,,-2075000.000,,,
1431880,,,,,,,,,,,,,,,,,,,,,,,,,,
1540615,,,,,,,,,,,,,,,,,-25000.000,,,,,,,,,
1456137,,,,,-4320.000,,,,-83.000,,,,,,,,,,,,,,,,,
1069258,,,,,-23800000.000,,,,-1900000.000,,,,-4700000.000,,,,1600000.000,,,,-2100000.000,,,,-5200000.000,
887936,-47278000.000,,,,-23335000.000,,,,-21987000.000,,,,-30800000.000,,,,-8805000.000,,,,-6328000.000,,,,-5704000.000,
70487,,,,,-633000.000,,,,-416000.000,,,,-605000.000,,,,-757000.000,,,,-1084000.000,,,,-1425000.000,
13055,,,,,,,,,,,,,,,,,,,,,,,,,,
946486,,,,,-138000.000,,,,-120000.000,,,,-497000.000,,,,-448000.000,,,,-137000.000,,,,-20000.000,
36146,-12468000.000,,,,23900000.000,,,,-145421000.000,,,,-232778000.000,,,,100611000.000,,,,-106054000.000,,,,-103602000.000,
1393631,,,,,,,,,-96808.000,,,,650349.000,,,,,,,,,,,,,
1377013,-655000000.000,,,,-2093000000.000,,,,-1093000000.000,,,,-819000000.000,,,,-1154000000.000,,,,-1325000000.000,,,,,
814549,,,,,306000.000,,,,-707000.000,,,,-420000.000,,,,-6778000.000,,,,-1768000.000,,,,-4224000.000,
1276477,,,,,-959000.000,,,,,,,,,,,,,,,,,,,,,
764038,,,,,37276000.000,,,,84852000.000,,,,73596000.000,,,,20085000.000,,,,-120140000.000,,,,101289000.000,
1610853,,,,,,,,,,,,,,,,,,378000.000,,,,0.000,,,,
1582554,,,,,,,,,,,,,,,,,65909.000,,,,0.000,,,,,
1459188,,,,,,,,,,,,,,,,,,,,,,,,,,
1005409,,,,,77738000.000,,,,-16536000.000,,,,-232031000.000,,,,-84445000.000,,,,-288391000.000,,,,-116788000.000,
1622057,,,,,,,,,,,,,,,,,,,,,,,,,,
1175108,,,,,-15946000.000,,,,,,,,,,,,,,,,,,,,,
927761,,,,,,,,,,,,,,,,,,,,,,,,,,
937834,,,,,,,,,,,,,2368000000.000,,,,-2556000000.000,,,,-2123000000.000,,,,-3877000000.000,
1320729,,,,,,,,,,,,,,,,,,,,,,,,,,
860131,,,-127938.000,,,,,,,,,,,,,,,,,,-212.000,,,,-33607.000,
1329799,,,,,,,,,,,,,-51167000.000,,,,-197846000.000,,,,,,,,,
77877,,,,,67617000.000,,,,-54256000.000,,,,-134989000.000,,,,-176087000.000,,,,-122669000.000,,,,-173619000.000,
1267391,,,,,,,,,,,,,,,,,,,,,,,,,,
1040130,,7537000.000,,,,-233000.000,,,,-25000.000,,,,-26000.000,,,,-126000.000,,,,-2604000.000,,,,
1484565,,,,,,,,,,,,,,,,,-1000.000,,,,-19000.000,,,,-4000.000,
1287668,,,48607.000,,,,,,,,,,,,,,,,,,,,,,,
1262449,,,,,,,,,,,,,,,,,,,,,,,,,,
1270400,,,,,,,,,,,,,,,,,,,,,,,,,,
1077688,,-1147000.000,,,,-2359000.000,,,,-532000.000,,,,-1122000.000,,,,-589000.000,,,,-86913000.000,,,,-1000000.000
1140184,,,,,,,,,-1154000.000,,,,-559000.000,,,,,,,,,,,,,
1361937,,,,,-70032000.000,,,,-81460000.000,,,,-62268000.000,,,,-24785000.000,,,,-3915000.000,,,,-7302000.000,
1426800,,,,,,,,,,,,,-2589.000,,,,-30711.000,,,,2497912.000,,,,6658000.000,
1269879,,,,,,,,,,,,,,,,,,,,,,,,,,
889331,,,,,-7839000.000,,,,-13922000.000,,,,-58408000.000,,,,-12273000.000,,,,,-273219000.000,,,,-22098000.000
1034669,,,,,-53989000.000,,,,2306000.000,,,,,,,,,,,,,,,,,
1416729,,,,,-120000.000,,,,,,,,,,,,,,,,,,,,,
1020214,,,,,196000.000,,,,-26000.000,,,,,,,,-65594000.000,,,,-45049000.000,,,,5675000.000,
95552,,,,,-2179000.000,,,,-7452000.000,,,,-24999000.000,,,,-13188000.000,,,,-5909000.000,,,,-16821000.000,
1501268,,,,,,,,,,,,,,,,,,,,,,,,,,
1040570,,,,,-55780000.000,,,,,,,,,,,,,,,,,,,,,
1269022,,,,,,,,,0.000,,,,,,,,,,,,,,,,,
1594420,,,,,,,,,,,,,,,,,,,,,,,,,,
1324482,,,,,-17977000.000,,,,,,,,,,,,,,,,,,,,,
1502777,,,,,,,,,,,,,,,,,,,,,,,,,,
911109,1521000.000,,,,-8525000.000,,,,-506000.000,,,,-4388000.000,,,,-10472000.000,,,,-23590000.000,,,,-9064000.000,
1402186,,,,,,,,,,,,,,,,,,,,,,,,,,
1549848,,,,,,,,,,,,,-1561000.000,,,,-21772000.000,,,,-1856000.000,,,,-364615000.000,
931058,,,,,255428000.000,,,,-106785000.000,,,,-35242000.000,,,,,,,,,,,,,
1563004,,,,,,,,,,,,,,,,,,,,,,,,,,
1546381,,,,,,,,,,,,,242000.000,,,,-69000.000,,,,-332000.000,,,,-287000.000,
1487952,,,,,-2438000.000,,,,-50693000.000,,,,-1875000.000,,,,-1782000.000,,,,,-2163000.000,,,,-1814000.000
1287701,,,,,103825000.000,,,,4950000.000,,,,-9943000.000,,,,-430576000.000,,,,,,,,,
883107,,,,,-19375.000,,,,-56114.000,,,,-53000.000,,,,-46000.000,,,,-64000.000,,,,-25000.000,
1084869,,,3019000.000,,,,-5722000.000,,,,-4123000.000,,,,-4321000.000,,,,-6224000.000,,,,-4703000.000,,,
1443157,,,,,,,,,,,,,,,,,,,,,,,,,,
1145765,,,,,,,,,,,,,,,,,,,,,,,,,,
1069157,-354071000.000,,,,424329000.000,,,,-157886000.000,,,,-74191000.000,,,,-397275000.000,,,,330526000.000,,,,-212403000.000,
1321732,,,,,,,,,,,,,,,,,,,,,1604000.000,,,,-11662000.000,
1579717,,,,,,,,,,,0.000,,,,,,,,,,,,,,,
1374310,,,,,-8263000.000,,,,-7108000.000,,,,-12672000.000,,,,-37759000.000,,,,-27913000.000,,,,-1386800000.000,
1126956,,,,-18614000.000,,,,-28703000.000,,,,-24320000.000,,,,-60600000.000,,,,-62800000.000,,,,-85900000.000,,
72316,,,,,-14723.000,,,,-250.000,,,,,,,,,,,,,,,,,
1230634,,,,,,,,,2000.000,,,,,,,,,,,,,,,,,
1451929,,,,,-183675.000,,,,0.000,,,,0.000,,,,,,,-24680.000,,,,,,
1223112,,,,,-5928000.000,,,,-1785000.000,,,,,,,,,,,,,,,,,
1511863,,,,,,,,,,,,,,,,,,,,,,,,,,
1560443,,,,,,,,,-112000.000,,,,-18086000.000,,,,-6170000.000,,,,,,,,,
1022652,,,,,-6841000.000,,,,-3447000.000,,,,6051000.000,,,,-9398000.000,,,,-989000.000,,,,-1714000.000,
73605,,,,,,,-9888.000,,,,-222330.000,,,,-4239.000,,,,-4541.000,,,,-4743.000,,,
1598924,,,,,,,,,,,,,,,,,,,,,-522.000,,,,,
1094058,,,,,-2000.000,,,,,,,,,,,,,,,,,,,,,
1555492,,,,,,,,,,-8969000.000,,,,-14332000.000,,,,-2718000.000,,,,,,,,
1474627,,,,,-5758.000,,,,,,,,,,,,,,,,,,,,,
1392902,,,,,,6338.000,,,,,,,-8534.000,,,,,,,,,,,,,
1421636,,,,,-59.000,,,,-50.000,,,,-37.000,,,,-28.000,,,,,,,,,
