SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,6353000.000,22372000.000,360000.000,,,
1133116,,-4164.000,-1129.000,,,,
912513,,42300000.000,-509900000.000,717000000.000,-220800000.000,,
1101026,,-4720.000,-3500.000,-331377.000,0.000,0.000,0.000
23197,,-10038000.000,-6413000.000,-5347000.000,-4937000.000,-3362000.000,-286202000.000
1431880,,-515645.000,-49240.000,,,,
1540615,,,,,,,
1456137,,-7639300.000,-7821629.000,,,,
1069258,,-395600000.000,-165100000.000,-12700000.000,-17200000.000,-5700000.000,-13900000.000
887936,,-93648000.000,-90406000.000,-103091000.000,-57595000.000,-31737000.000,-30132000.000
70487,,-6927000.000,-2348000.000,-2188000.000,-5723000.000,-1326000.000,-3750000.000
13055,,,,,,,
946486,,-106000.000,-636000.000,-608000.000,-780000.000,-188000.000,
36146,,95284000.000,193891000.000,-113201000.000,-556255000.000,-527277000.000,-649664000.000
1393631,,,-721610.000,3245704.000,,,
1377013,,-3530000000.000,-3345000000.000,-3476000000.000,-4092000000.000,-4345000000.000,
814549,,-13320000.000,-63375000.000,-8840000.000,-77786000.000,-37393000.000,-20739000.000
1276477,,-2415000.000,,,,,
764038,,119671000.000,229869000.000,511307000.000,-9497000.000,-103015000.000,-690919000.000
1610853,,,,,,378000.000,
1582554,,,,,-288519.000,-5425.000,0.000
1459188,,-36788.000,,,,,
1005409,,-39908000.000,149568000.000,-168403000.000,-433935000.000,-553674000.000,-853652000.000
1622057,,,,,-827964.000,,
1175108,,-53295000.000,,,,,
927761,,,,,,,
937834,,,,-2866000000.000,-10433000000.000,2143000000.000,-3662000000.000
1320729,,,,,,,
860131,,,,,,-12392.000,-2906.000
1329799,,,,,-808514000.000,,
77877,,-456401000.000,-451939000.000,-217108000.000,-474135000.000,-604263000.000,-1509126000.000
1267391,,,,,,,
1040130,,11639000.000,-5815000.000,-129000.000,-986000.000,-4485000.000,-10604000.000
1484565,,,,,-30683.000,-1320777.000,-38680.000
1287668,,,,,,,
1262449,,,,,,,
1270400,,,,,,,
1077688,-1022000.000,-4229000.000,-4623000.000,-3855000.000,-3681000.000,-3455000.000,-88061000.000
1140184,,,,,,,
1361937,,-518962000.000,-273508000.000,-337970000.000,-46814000.000,291793000.000,-9766000.000
1426800,,,-3241.000,-6477.000,277401.000,-64855510.000,36196574.000
1269879,,-17182.000,,-19900.000,,,
889331,,-48643000.000,-51692000.000,-185593000.000,-103993000.000,-44164000.000,-511243000.000
1034669,,116540000.000,22976000.000,,,,
1416729,,-4907360.000,-120000.000,,,,
1020214,,563000.000,205000.000,-29057000.000,-3347000.000,1412000.000,-19924000.000
95552,,3681000.000,-18532000.000,-67424000.000,-110435000.000,-34946000.000,-35038000.000
1501268,,,,,,,
1040570,,-274425000.000,,,,,
1269022,,0.000,,,,,
1594420,,,,,,,
1324482,,,,,,,
1502777,,,0.000,,,,
911109,,-12787000.000,-29383000.000,-6020000.000,-446752000.000,-14415000.000,-88153000.000
1402186,,,,,,,
1549848,,,,,-264715000.000,-61545000.000,-126420000.000
931058,,-289180000.000,-104259000.000,-139370000.000,,,
1563004,,,,,,,
1546381,,,,,2385000.000,-1811000.000,-1428000.000
1487952,,-16144000.000,-7962000.000,-55586000.000,-9676000.000,-29883000.000,-16848000.000
1287701,,51133000.000,248288000.000,-216092000.000,-471174000.000,,
883107,,-138431.000,-167239.000,-276000.000,-239000.000,-288000.000,-165000.000
1084869,,,-12881000.000,-31488000.000,-163603000.000,,-33938000.000
1443157,,,,-40114.000,,,
1145765,,,,,,,
1069157,,-1071226000.000,-758905000.000,-2734846000.000,-2359893000.000,-3627881000.000,-1792660000.000
1321732,,,,,,-85816000.000,687000.000
1579717,,,,,,,
1374310,,-30281000.000,-32977000.000,-31197000.000,-52138000.000,-79421000.000,-84386000.000
1126956,,-67007000.000,-105404000.000,-1108299000.000,-1437600000.000,-298700000.000,-612700000.000
72316,,-753910.000,-43697.000,,,,
1230634,,-6000.000,,,,,
1451929,,-604740.000,-301779.000,0.000,0.000,-102053.000,
1223112,,-2211000.000,-13944000.000,,,,
1511863,,,,,,,
1560443,,,,-51023000.000,-99653000.000,,
1022652,,31659000.000,-2203000.000,11624000.000,20432000.000,-97087000.000,5035000.000
73605,,-352113.000,-146786.000,1308299.000,28437.000,-9565.000,
1598924,,,,,-5115.000,-213813.000,
1094058,,-34000.000,,,,,
1555492,,,,-39503000.000,-33467000.000,,
1474627,,-155419.000,-2726507.000,,,,
1392902,,27609.000,40162.000,,-13210.000,-54944.000,
1421636,,-427.000,-213.000,-14131.000,-126.000,49878.000,-140.000
6494,,-151619.000,-89273.000,-52806.000,-97045.000,356960.000,392820.000
1439242,,,,,,,
33213,,-624334000.000,-1394543000.000,-1037312000.000,-2444212000.000,-2525607000.000,-2961481000.000
1388180,,,-59183.000,-86277.000,-11611.000,-43118.000,-5859.000
1517248,,,-6000.000,,,,
1065696,,-571607000.000,-352534000.000,-505606000.000,-920994000.000,-329993000.000,-1709928000.000
1161582,,-470970.000,-240175.000,-558058.000,184026.000,0.000,0.000
1130888,,-824717.000,-318305.000,,,,
1389217,,-99844.000,-41156.000,-63957.000,-442497.000,,
719274,,-214000.000,-179000.000,-228000.000,-16000.000,183000.000,809000.000
1364954,,,,,-87350000.000,8271000.000,-5963000.000
1395317,,-358662000.000,-63965000.000,-41063000.000,-58418000.000,-68637000.000,-50482000.000
48732,,-617000000.000,-65000000.000,445000000.000,-917000000.000,-809000000.000,-964000000.000
875159,,832103000.000,-942593000.000,-1197862000.000,1711621000.000,136432000.000,737767000.000
1582718,,,,,-11392.000,,
1455819,,,,,-257020.000,,
93389,,-75890000.000,-49912000.000,-24762000.000,-51200000.000,-18011000.000,-88018000.000
1070494,,5980000.000,-25528000.000,-126104000.000,-87273000.000,147570000.000,-261924000.000
1107332,,-71821000.000,-31047000.000,126131000.000,,,
1210294,,-3242076.000,-10659289.000,,-1469660.000,,
1269021,,,,-120736000.000,-139152000.000,52945000.000,140706000.000
1593204,,,,,-24940.000,,852.000
1434316,,,,-238000.000,-882000.000,-1498000.000,-4114000.000
740670,,-109000000.000,-124000000.000,-112000000.000,,,
788611,,-22064.000,-21460.000,-27157.000,-839610.000,-162575.000,-79104.000
1058290,,-850281000.000,-570046000.000,-730763000.000,-3160694000.000,-1370600000.000,-963000000.000
75439,,,70000.000,0.000,,-354000.000,-115000.000
1582086,,,,,,0.000,0.000
1347613,,132631.000,-21792000.000,-30885000.000,282000.000,-250000.000,49800000.000
1412665,,-98143000.000,-88403000.000,-5406000.000,-47436000.000,5013000.000,-123585000.000
759718,,-26736000.000,92750000.000,,,,
1220606,,8519278.000,390967.000,3744053.000,,,
1049502,,-6078000.000,-117867000.000,-36534000.000,-24808000.000,-167371000.000,-726986000.000
1398235,,,,,,,
924642,,22153000.000,152000.000,947000.000,-35000.000,,
1355304,,-6499.000,-587.000,,784267.000,,
1036500,,0.000,24314.000,14246.000,,,
1451433,,,,,-1461.000,,
107687,,,-118000.000,4067000.000,-5368000.000,-16517000.000,-23392000.000
1001250,-606900000.000,-428300000.000,-465500000.000,-511600000.000,-1616200000.000,-1269300000.000,
910638,,-95709000.000,-187654000.000,-173757000.000,-375441000.000,-120855000.000,-21882000.000
1017907,,,31534000.000,-4877000.000,3313000.000,-46240000.000,16654000.000
77597,,-28619000.000,-19813000.000,,,,
318673,,-41453196.000,17449292.000,-33129059.000,-44727656.000,15372609.000,-55590914.000
1003410,,750935000.000,-967616000.000,-319382000.000,-207031000.000,1121299000.000,24904000.000
1108236,,-16075000.000,10645000.000,-45436000.000,-22337000.000,-19653000.000,-17218000.000
1478726,,,,-1520218.000,25436893.000,-88124013.000,-3784927.000
1109357,,-4603000000.000,-4576000000.000,-5394000000.000,-4599000000.000,-7822000000.000,-15503000000.000
920760,,-136154000.000,245291000.000,689249000.000,438359000.000,-98393000.000,
1001385,,930000.000,-19297000.000,-48251000.000,15541000.000,3059000.000,11655000.000
1620928,,,,,,-379991000.000,-721087000.000
1476278,,,-93872.000,-296313.000,,,
4447,,-6566000000.000,-7051000000.000,578000000.000,1000000.000,-4206000000.000,-2090000000.000
313927,,-147800000.000,-741300000.000,-77100000.000,-288400000.000,-141200000.000,-354600000.000
1639947,,,,,,-507111000.000,14660000.000
1587246,,,,,-2286000.000,-64879000.000,-1330000.000
852437,,-2192000.000,-1632000.000,-1059000.000,130000.000,,
1548953,,,,,,,
1103025,,-160000.000,,,,,
897448,,-2048000.000,-14342000.000,-14000.000,,-28000.000,-21000.000
1364397,,4514000.000,1844000.000,-2054000.000,-4305000.000,-4448000.000,-1825000.000
1382134,,4083523.000,,,,,
768890,,,,,,,
1449278,,,,,-3707000.000,-6697000.000,
1364250,,-59956000.000,-91517000.000,-247016000.000,-319965000.000,-231589000.000,-1366169000.000
99780,,-85000000.000,-311400000.000,-818000000.000,-814700000.000,-511300000.000,-1022700000.000
1095146,,0.000,0.000,0.000,,,
1564822,,,,-652366000.000,-270012000.000,-105757000.000,-1086415000.000
886982,,1485000000.000,-3734000000.000,,-14909000000.000,-18574000000.000,9270000000.000
859368,,-234010000.000,,,,,
1497645,,-83485544.000,-233005000.000,-467434000.000,-200548000.000,-131112000.000,-154443000.000
1436229,,91141.000,-5495.000,-23721.000,-765642.000,-3226846.000,387225.000
1507615,,-8136000.000,-124947000.000,-386560000.000,-2668000000.000,-316000000.000,-318000000.000
1510295,,1295000000.000,-1452000000.000,-2756000000.000,-4543000000.000,-3441000000.000,-2941000000.000
1504937,,0.000,-2000000.000,-52418.000,,,
1172052,,-12879000.000,-74445000.000,-51295000.000,-48522000.000,23845000.000,-84252000.000
31986,,-118000000.000,,,,,
1127993,,0.000,-795758.000,-58280.000,-132836.000,0.000,-88038.000
831967,,,,,,,
733076,,-2374000000.000,-1147000000.000,3229000000.000,696000000.000,-5687000000.000,2532000000.000
71508,,-3446853000.000,-3639797000.000,-2601593000.000,-2954488000.000,-2608782000.000,-3850048000.000
1610418,,,,,-269601000.000,-291211000.000,-45328000.000
1089143,,-1716000.000,-885000.000,-1355000.000,-1340000.000,-2011000.000,
1404644,,,,,-23573322.000,-47533000.000,-48058000.000
1109553,,,,,,,
890926,,1072655000.000,661073000.000,60299000.000,-337632000.000,1789000.000,-176058000.000
890923,,-8010000.000,-21600000.000,-13951000.000,,,
1446806,,-99139587.000,-21074590.000,536229.000,36181914.000,21884561.000,51842325.000
1507986,,,,,-19534000.000,-8364000.000,-1623000.000
1423586,,,,,,,
1489588,,0.000,,,,-97710.000,-2800.000
1488613,,,,-8494000.000,-8827000.000,-140717000.000,12688000.000
