SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,,,,4493000.000,,,,-1029000.000,,,,1818000.000,,,,,,,,,,,,,
1133116,,,,,-54706.000,,,,-5141.000,,,,-2634.000,,,,-4158.000,,,,,,,,,
912513,26500000.000,,,,32300000.000,,,,-30700000.000,,,,61300000.000,,,,14000000.000,,,,,,,,,
1101026,,,,,-534209.000,,,,-556291.000,,,,-680531.000,,,,-401768.000,,,,-758175.000,,,,-529485.000,
23197,,,-772000.000,,,,11878000.000,,,,-1240000.000,,,,-4710000.000,,,,5073000.000,,,,7623000.000,,,
1431880,,,,,,,,,,-16244.000,,,,,,,,,,,,,,,,
1540615,,,,,,,,,1565.000,-9626.000,-131096.000,,,,,,-114483.000,,,,,,,,,
1456137,,,,,-653586.000,,,,-363568.000,,,,,,,,,,,,,,,,,
1069258,,,,,29500000.000,,,,5100000.000,,,,1700000.000,,,,-2900000.000,,,,-11500000.000,,,,-8700000.000,
887936,-39197000.000,,,,-57821000.000,,,,-2304000.000,,,,-110795000.000,,,,-51333000.000,,,,-33099000.000,,,,-93087000.000,
70487,,,,,2081000.000,,,,3101000.000,,,,5163000.000,,,,1578000.000,,,,4034000.000,,,,8143000.000,
13055,,,,,,,,,,,,,,,,,,,,,,,,,,
946486,,,,,-5546000.000,,,,-10235000.000,,,,-10279000.000,,,,-8660000.000,,,,-9185000.000,,,,-7332000.000,
36146,100017000.000,,,,36316000.000,,,,-10634000.000,,,,57395000.000,,,,-2848000.000,,,,1876000.000,,,,39885000.000,
1393631,,,,,,,,,-276120.000,,,,-12530447.000,,,,,,,,,,,,,
1377013,1570000000.000,,,,1383000000.000,,,,1394000000.000,,,,1397000000.000,,,,1508000000.000,,,,1608000000.000,,,,,
