SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,-3501000.000,-5088000.000,-4288000.000,,,
1133116,,-600918.000,-226654.000,3395.000,5252.000,,
912513,,211800000.000,313700000.000,25700000.000,263400000.000,,
1101026,,-1294128.000,-1773264.000,-2986214.000,-2736046.000,-2296887.000,-2543473.000
23197,,97360000.000,53493000.000,37695000.000,34588000.000,21726000.000,14970000.000
1431880,,-412846.000,-353818.000,,,,
1540615,,,,-167282.000,-605033.000,,
1456137,,9434029.000,9243115.000,,,,
1069258,,2900000.000,52300000.000,22600000.000,7700000.000,-29700000.000,-12400000.000
887936,,173828000.000,120188000.000,193271000.000,135401000.000,139920000.000,233488000.000
70487,,18481000.000,19132000.000,19315000.000,26197000.000,21886000.000,26843000.000
13055,,,,,,,
946486,,-22698000.000,-32884000.000,-40454000.000,-41169000.000,-33504000.000,
36146,,173589000.000,92125000.000,155417000.000,211267000.000,171887000.000,147427000.000
1393631,,-11053.000,477221.000,9210108.000,,,
1377013,,5688000000.000,5525000000.000,5753000000.000,6350000000.000,6539000000.000,
814549,,71286000.000,72295000.000,57062000.000,58510000.000,48686000.000,83748000.000
1276477,,19534000.000,,,,,
764038,,150619000.000,118380000.000,149521000.000,118647000.000,186868000.000,138011000.000
1610853,,,,,,-7937412.000,
1582554,,,,,-7961196.000,-7814403.000,-6118723.000
1459188,,-2341934.000,,,,,
1005409,,62597000.000,72705000.000,61151000.000,47263000.000,50153000.000,20059000.000
1622057,,,,,-473297.000,-170421.000,-768844.000
1175108,,35370000.000,,,,,
927761,,,,,,,
937834,,,,6060000000.000,6201000000.000,5266000000.000,5804000000.000
1320729,,,2047769.000,,,,
860131,,,,,200.000,-364526.000,365022.000
1329799,,,,,74067000.000,,
77877,,166834000.000,174721000.000,159165000.000,236689000.000,411073000.000,486263000.000
1267391,,,,,,,
1040130,,20391000.000,13290000.000,13506000.000,32043000.000,21053000.000,47204000.000
1484565,,,,,-4484362.000,-10299330.000,
1287668,,,,,,,
1262449,,,,,,,
1270400,,,,,,,
1077688,-16038000.000,32276000.000,-3333000.000,5696000.000,22768000.000,23036000.000,31240000.000
1140184,,,,,,,
1361937,,167212000.000,209515000.000,152499000.000,148200000.000,141283000.000,33875000.000
1426800,,-25068832.000,-21379790.000,-17796088.000,-14973502.000,-18697334.000,-34881655.000
1269879,,-120102.000,-193118.000,-235797.000,,,
889331,,120750000.000,116170000.000,117367000.000,153141000.000,165826000.000,180133000.000
1034669,,13440000.000,9635000.000,,,,
1416729,,-2234808.000,4001917.000,,,,
1020214,,-15632000.000,-13917000.000,-26797000.000,-39811000.000,-51129000.000,-53529000.000
95552,,67660000.000,65761000.000,69252000.000,11627000.000,59349000.000,78491000.000
1501268,,,-18139.000,-5.000,-9069.000,-23646.000,-15550.000
1040570,,182908000.000,,,,,
1269022,,-50464.000,,-25944.000,-178511.000,,
