SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,-2767000.000,-4102000.000,,3754000.000,-3328000.000,-3747000.000,-5990000.000,1023000.000,300000.000,-2002000.000,-1704000.000,-344000.000,,,,,,,,,,,,,
1133116,,,,,,,,,,,,,,,,,,,,,,,,,,
912513,68000000.000,67000000.000,72000000.000,65500000.000,86300000.000,44500000.000,43400000.000,-10600000.000,52600000.000,101500000.000,64200000.000,91100000.000,77400000.000,93500000.000,82900000.000,-20100000.000,60700000.000,85500000.000,84200000.000,,,,,,,
1101026,,,-284777.000,,-507219.000,,,,,-882400.000,-888150.000,,-778757.000,-800710.000,-1096441.000,-2477229.000,-562442.000,-1041785.000,-788305.000,-663748.000,-640557.000,-1530112.000,-677117.000,-642658.000,-791272.000,
23197,25264000.000,21918000.000,15759000.000,,10654000.000,10566000.000,13362000.000,,5947000.000,5391000.000,10099000.000,,11172000.000,12060000.000,8219000.000,,10623000.000,8075000.000,2168000.000,,3189000.000,7464000.000,-728000.000,,12849000.000,10150000.000
1431880,,,-141249.000,-220969.000,,,-213200.000,-794653.000,,-7008.000,-2934.000,-3973.000,,,,,,,,,,,,,,
1540615,,,,,,,,,,-26602.000,,,,-264807.000,,,,,,,,,,,,
1456137,,1072101.000,268395.000,,2126437.000,,1258603.000,,2147460.000,,1691784.000,,,,,,,,,,,,,,,
1069258,,8700000.000,10000000.000,,8200000.000,7400000.000,,,11500000.000,8900000.000,6100000.000,5300000.000,3300000.000,4700000.000,1200000.000,10700000.000,-1500000.000,-3700000.000,1600000.000,-900000.000,-10200000.000,0.000,-13000000.000,4600000.000,1700000.000,2600000.000
887936,48493000.000,36312000.000,59422000.000,61220000.000,40947000.000,26832000.000,46588000.000,-55331000.000,45329000.000,60259000.000,-35599000.000,11450000.000,40117000.000,38932000.000,46471000.000,21906000.000,47848000.000,47154000.000,45744000.000,23765000.000,52239000.000,44162000.000,35074000.000,10681000.000,27089000.000,29000.000
70487,,3831000.000,4194000.000,,6082000.000,5216000.000,5647000.000,5774000.000,7217000.000,5534000.000,6029000.000,6026000.000,8400000.000,6318000.000,7159000.000,6419000.000,5829000.000,6364000.000,6548000.000,7706000.000,8006000.000,7018000.000,7339000.000,8834000.000,9984000.000,
13055,,,-1738402.000,,,,,,,,,,,,,,,,,,,,,,,
946486,,-6380000.000,-6170000.000,,-6580000.000,-8816000.000,-9998000.000,-12425000.000,-12620000.000,-10810000.000,-10813000.000,-10265000.000,-10763000.000,-10942000.000,-10327000.000,-11226000.000,-11173000.000,-10437000.000,-8443000.000,-9781000.000,-13942000.000,-9993000.000,-7733000.000,-6368000.000,-8116000.000,
36146,,,,,,,,,,,,,,,,,,,,,,,,,,
1393631,,,,,,,,,,,,,,,,,,,,,,,,,,
1377013,975000000.000,1063000000.000,1002000000.000,1029000000.000,1042000000.000,1140000000.000,1094000000.000,1169000000.000,1060000000.000,1187000000.000,1160000000.000,1173000000.000,1092000000.000,1163000000.000,1151000000.000,1226000000.000,1084000000.000,1029000000.000,1001000000.000,1125000000.000,1145000000.000,,,,,
814549,,,17954000.000,,18329000.000,17711000.000,20708000.000,20260000.000,19305000.000,19294000.000,18601000.000,17806000.000,19405000.000,17461000.000,21738000.000,21068000.000,20499000.000,20423000.000,21968000.000,25824000.000,24763000.000,23564000.000,24293000.000,27661000.000,25690000.000,
1276477,,782000.000,,,-439000.000,,,,,,,,,,,,,,,,,,,,,
764038,,,,,,,,,,,,,,,,,,,,,,,,,,
1610853,,,,,,,,,,,,,,,,,,-2834998.000,-1061592.000,-2840657.000,-2580147.000,-2103864.000,-3390650.000,,-5033567.000,
1582554,,,,,,,,,,,,,,,,,-2568618.000,-2401794.000,-2158768.000,-2782319.000,-2237488.000,-1620229.000,-1835111.000,-2564305.000,-4487224.000,
1459188,,,-767263.000,,-278444.000,-275237.000,-238789.000,,,,,,,,,,,,,,,,,,,
1005409,,,,,,,,,,,,,,,,,,,,,,,,,,
1622057,,,,,,,,,,,,,,,,-654547.000,,-760281.000,-2247579.000,-265676.000,-597190.000,729778.000,1731781.000,569754.000,-1603891.000,
1175108,,14142000.000,12966000.000,,-2387000.000,1541000.000,2042000.000,,,,,,,,,,,,,,,,,,,
927761,,,,,,,,,,,,,,,,,,,,,,,,,,
937834,,,,,,,,,,,,,,,,,,,,,,,,,,
1320729,,,-557527.000,,-423320.000,-556228.000,,,-273840.000,,-143724.000,,-163531.000,,,,,,,,,,,,,
860131,,,1887677.000,,,,,,,,,,,,,,,,,,-228693.000,-288398.000,-451358.000,-263625.000,-82332.000,
1329799,,,,,,,,,,,,,,,,,,,,,,,,,,
77877,,21646000.000,62276000.000,,12581000.000,28884000.000,-39417000.000,-164107000.000,-50090000.000,39379000.000,-12994000.000,33864000.000,9065000.000,-35825000.000,101255000.000,149285000.000,38397000.000,-66554000.000,-51947000.000,16280000.000,-103033000.000,-143282000.000,-15288000.000,-70511000.000,91703000.000,
1267391,,,,,,,,,,,,,,,,,,,,,,,,,,
1040130,,7565000.000,6080000.000,6102000.000,6275000.000,6204000.000,6326000.000,7209000.000,7266000.000,7497000.000,6532000.000,7047000.000,7142000.000,7838000.000,4290000.000,7666000.000,7819000.000,9091000.000,7090000.000,7622000.000,8585000.000,10400000.000,7731000.000,7655000.000,11697000.000,
1484565,,,,,,,,,,,,,,,-1323000.000,,-2426000.000,-3044000.000,-3183000.000,-3506746.000,-4263000.000,-3450000.000,-2941000.000,-2956115.000,-2210000.000,
1287668,,,-1138452.000,,,,,,,,,,,,,,,,,,,,,,,
1262449,,125719000.000,138834000.000,,,,,,,,,,,,,,,,,,,,,,,
1270400,,,,,,,,,,,,,,,,,,,,,,,,,,
1077688,,747000.000,2706000.000,,726000.000,2322000.000,3779000.000,,,3234000.000,2640000.000,,3474000.000,4243000.000,4883000.000,,6508000.000,5242000.000,6640000.000,,6521000.000,4001000.000,9939000.000,,17056000.000,7108000.000
1140184,,,,,,,,,10865000.000,7871000.000,11727000.000,11343000.000,7126000.000,15659000.000,10859000.000,,,,,,,,,,,
1361937,,15341000.000,13397000.000,,4480000.000,-22034000.000,-1803000.000,-14682000.000,-6446000.000,9783000.000,12184000.000,-25224000.000,26668000.000,17733000.000,12532000.000,-82056000.000,-76166000.000,-64507000.000,-36104000.000,-111156000.000,-28927000.000,-29659000.000,-19951000.000,-138513000.000,-55407000.000,
1426800,,-6901571.000,-5545897.000,,-8190057.000,-7478306.000,-5370303.000,-3816830.000,-3768968.000,-4808759.000,-4933008.000,-6094044.000,-4110151.000,-2506144.000,-11055440.000,-6284717.000,-7203218.000,-7153905.000,-7122226.000,-8176281.000,-11277152.000,-10454130.000,-11678925.000,-11868254.000,-13929829.000,
1269879,,,,,-89473.000,,,,,,,,,,,,,,,,,,,,,
889331,,35291000.000,29574000.000,,25824000.000,32096000.000,30931000.000,18019000.000,28117000.000,31382000.000,37559000.000,32823000.000,33590000.000,33719000.000,40130000.000,26391000.000,29548000.000,36171000.000,8584000.000,,,29702000.000,27526000.000,40988000.000,,48852000.000
1034669,,8333000.000,4248000.000,,-1119000.000,6768000.000,3355000.000,13762000.000,-1264000.000,781000.000,,,,,,,,,,,,,,,,
1416729,,335702.000,,,-398058.000,,-3936413.000,,,,,,,,,,,,,,,,,,,
1020214,,,-2646000.000,,-4572000.000,-4799000.000,-4331000.000,-3598000.000,-4960000.000,-7108000.000,-8425000.000,-7806000.000,-9219000.000,-11004000.000,-11351000.000,-12929000.000,-14371000.000,-15525000.000,-16186000.000,-14993000.000,-15345000.000,-16739000.000,-14259000.000,-15104000.000,-18093000.000,
95552,,12853000.000,5968000.000,,10223000.000,8226000.000,9060000.000,,6309000.000,9147000.000,7163000.000,11974000.000,7702000.000,8444000.000,-2637000.000,4404000.000,3669000.000,11039000.000,8059000.000,13527000.000,18722000.000,19540000.000,5250000.000,11090000.000,3944000.000,
1501268,,,,,,,,,,,,,,,,,,,,,,,,,,
1040570,,23592000.000,23759000.000,,25700000.000,22125000.000,15200000.000,,,,,,,,,,,,,,,,,,,
1269022,,,-52839.000,,,,,,-9762.000,-9160.000,-1331.000,-2754.000,,,-558477.000,,-434566.000,-428399.000,,,,,,,,
1594420,,,,,,,,,,,,,,,,,,,,,,,,,,
1324482,,,,,15480000.000,17831000.000,7123000.000,,,,,,,,,,,,,,,,,,,
1502777,,,,,-118192.000,-191288.000,-192331.000,,-206294.000,-396030.000,,,,,,,,,,,,,,,,
911109,20752000.000,24541000.000,24754000.000,27049000.000,18801000.000,22598000.000,28312000.000,24978000.000,26938000.000,-15076000.000,26979000.000,28126000.000,18482000.000,21695000.000,30171000.000,28801000.000,-36298000.000,23400000.000,30474000.000,20008000.000,26195000.000,25541000.000,26667000.000,34700000.000,23893000.000,22152000.000
1402186,,-383957.000,,,,,,,,,,,,,,,,,,,,,,,,
1549848,,,,,,,,,,,,,11886000.000,32120000.000,40432000.000,49533000.000,27171000.000,14427000.000,-14687000.000,15308000.000,-47970000.000,-6997000.000,-7922000.000,-4903000.000,-3338000.000,
931058,,23488000.000,20595000.000,,20460000.000,,44367000.000,,11776000.000,,23226000.000,,16382000.000,,-20438000.000,,,,,,,,,,,
1563004,,,,,,,,,,,,,,,,,,-2094178.000,,,,,,,,
1546381,,,,,,,,,,,,,-6391000.000,-2463000.000,-2448000.000,-3329000.000,-7340000.000,-5440000.000,-1774000.000,-32481000.000,-3579000.000,-2750000.000,-396000.000,3020000.000,-2913000.000,
1487952,,5007000.000,4710000.000,,2364000.000,4090000.000,3093000.000,1544000.000,2535000.000,2787000.000,602000.000,,3023000.000,4772000.000,3965000.000,,1968000.000,2335000.000,-1711000.000,,,990000.000,2639000.000,5394000.000,,3737000.000
1287701,,,,,,,,,,,,,,,,,,,,,,,,,,
883107,,-530109.000,-1008541.000,,-780242.000,-376476.000,-656283.000,-575458.000,-483143.000,-461350.000,-632553.000,-913954.000,-427000.000,-69000.000,-348000.000,-878000.000,-603000.000,-90000.000,-151000.000,-334000.000,-606000.000,466000.000,-422000.000,-706000.000,56000.000,
1084869,,,-7733000.000,,28380000.000,2407000.000,-6447000.000,25998000.000,4096000.000,2139000.000,-7081000.000,28699000.000,-2880000.000,4968000.000,-6628000.000,74833000.000,-16238000.000,-14350000.000,-22271000.000,94383000.000,-13236000.000,,-23109000.000,,96551000.000,-16285000.000
1443157,,,,,,,,,,,,,,,,,,,,,,,,,,
1145765,,,,,,,,,,,,,,,,,,,,,,-3236832.000,-3388751.000,,-3165945.000,
1069157,,,,,,,,,,,,,,,,,,,,,,,,,,
1321732,,,,,,,,,,,,,,,,,,,2182000.000,,1835000.000,-670000.000,-1363000.000,-1152000.000,-2046000.000,
1579717,,,,,,,,,,,,,,,,,-174365.000,,,,,,,,,
1374310,,,74966000.000,,57415000.000,66069000.000,60861000.000,59752000.000,69430000.000,75358000.000,,,82038000.000,69716000.000,75084000.000,86963000.000,69553000.000,73370000.000,101110000.000,75895000.000,79481000.000,77967000.000,65650000.000,75102000.000,26100000.000,
1126956,49943000.000,25754000.000,,43105000.000,50583000.000,15045000.000,1869000.000,42085000.000,51849000.000,12281000.000,-9721000.000,62905000.000,87179000.000,24700000.000,-8384000.000,87300000.000,157700000.000,36000000.000,-8500000.000,87000000.000,167700000.000,35300000.000,-7700000.000,89100000.000,180400000.000,
72316,,-1799516.000,-1423839.000,,-1601645.000,-1495955.000,-1132340.000,-1240117.000,-1161482.000,-1113038.000,-1501756.000,,,,,,,,,,,,,,,
1230634,,-18000.000,,,-100000.000,,-40000.000,,-21000.000,,404000.000,,,-23000.000,,,,,,,,,,,,
1451929,,,,,-124705.000,-186406.000,,,-92262.000,-86151.000,-37292.000,,-12157.000,-8330.000,-4965.000,,,,,,,,,,,
1223112,,-2254000.000,3500000.000,,-1235000.000,1595000.000,-3337000.000,-5451000.000,306000.000,,,,,,,,,,,,,,,,,
1511863,,,,,-12634.000,-5723.000,-9759.000,,,,,,,,,,,,,,,,,,,
