SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,-6538000.000,-9311000.000,-2383000.000,,,
1133116,,,,,,,
912513,,272500000.000,163600000.000,309400000.000,233700000.000,,
1101026,,-1938308.000,-2080593.000,-3110197.000,-5153137.000,-3056280.000,-3490444.000
23197,,107798000.000,51277000.000,34489000.000,43898000.000,34077000.000,-576000.000
1431880,,-1381162.000,-1492708.000,,,,
1540615,,,,-170133.000,,,
1456137,,4075364.000,6713142.000,,,,
1069258,,28200000.000,-49700000.000,31800000.000,19900000.000,-4500000.000,-18600000.000
887936,,205447000.000,59036000.000,81439000.000,147426000.000,164511000.000,142156000.000
70487,,18735000.000,22719000.000,24806000.000,28296000.000,26447000.000,31197000.000
13055,,,,,,,
946486,,-24512000.000,-37819000.000,-44508000.000,-43258000.000,-39834000.000,-38036000.000
36146,,,,,,,
1393631,,,,,,,
1377013,,4069000000.000,4445000000.000,4580000000.000,4632000000.000,4239000000.000,
814549,,68748000.000,77008000.000,75006000.000,79672000.000,88714000.000,100281000.000
1276477,,10879000.000,,,,,
764038,,,,,,,
1610853,,,,,,-9317394.000,
1582554,,,,,-10464999.000,-9911499.000,-8257133.000
1459188,,-2653972.000,,,,,
1005409,,,,,,,
1622057,,,,,-2123076.000,-3870726.000,1427422.000
1175108,,45741000.000,,,,,
927761,,,,,,,
937834,,,,,,,
1320729,,,1705231.000,,,,
860131,,,,,-972100.000,,-1232074.000
1329799,,,,,,,
77877,,39833000.000,-162059000.000,10159000.000,223780000.000,-63824000.000,-332114000.000
1267391,,,,,,,
1040130,,26022000.000,27005000.000,28218000.000,27613000.000,32388000.000,37483000.000
1484565,,,,,-5159729.000,-12159746.000,-13610115.000
1287668,,,,,,,
1262449,,,,,,,
1270400,,,,,,,
1077688,4061000.000,6673000.000,12940000.000,12503000.000,19048000.000,24262000.000,39220000.000
1140184,,,57502000.000,41806000.000,,,
1361937,,39331000.000,-34039000.000,-9703000.000,-25123000.000,-287933000.000,-217050000.000
1426800,,-34002073.000,-24855496.000,-19604779.000,-23956452.000,-29655630.000,-45278461.000
1269879,,-270480.000,,,,,
889331,,113904000.000,106870000.000,129881000.000,133830000.000,104157000.000,130644000.000
1034669,,62626000.000,22766000.000,,,,
1416729,,-1792603.000,-2241864.000,,,,
1020214,,-15924000.000,-17300000.000,-28299000.000,-44503000.000,-61075000.000,-61447000.000
95552,,39835000.000,32880000.000,34593000.000,17913000.000,36294000.000,54602000.000
1501268,,,,,,,
1040570,,98174000.000,,,,,
1269022,,-172682.000,,-23007.000,-1147115.000,,
1594420,,,,,,,
1324482,,,,,,,
1502777,,,-1489926.000,,,,
911109,,97096000.000,94689000.000,66967000.000,99149000.000,37584000.000,113103000.000
1402186,,,,,,,
1549848,,,47025000.000,,133971000.000,42219000.000,-67792000.000
931058,,89104000.000,171061000.000,89944000.000,,,
1563004,,,,,,,
1546381,,,,,-14631000.000,-47035000.000,-3705000.000
1487952,,16264000.000,11091000.000,8002000.000,8662000.000,3359000.000,10711000.000
1287701,,,,,,,
883107,,-3363411.000,-2388459.000,-2491000.000,-1722000.000,-1178000.000,-1268000.000
1084869,,,23209000.000,23706000.000,37617000.000,,43282000.000
1443157,,,,,,,
1145765,,,,,,,-13163377.000
1069157,,,,,,,
1321732,,,,,,4179000.000,-1350000.000
1579717,,,,,,,
1374310,,241632000.000,244097000.000,285814000.000,313801000.000,319928000.000,298200000.000
1126956,,118247000.000,110602000.000,96494000.000,166400000.000,272500000.000,282300000.000
72316,,-5619212.000,-5470057.000,,,,
1230634,,-404000.000,,,,,
1451929,,-405764.000,-2015556.000,-315512.000,-34319.000,,
1223112,,3027000.000,-8428000.000,,,,
1511863,,-44051.000,,,,,
1560443,,,,-190000.000,-50030000.000,,
1022652,,-33727000.000,-88743000.000,-43221000.000,-35573000.000,-37791000.000,-45004000.000
73605,,-507110.000,-269471.000,163464.000,-959168.000,-555438.000,
1598924,,,,,-52687.000,-6174734.000,-9466267.000
1094058,,-4345000.000,,,,,
1555492,,,,-34010000.000,-23722000.000,,
1474627,,3612187.000,4387360.000,,,,
1392902,,,,,,,
1421636,,47546.000,26440.000,5727.000,-52492.000,-63499.000,-52999.000
6494,,-504522.000,-1346252.000,-953310.000,-2678183.000,2687213.000,-1243242.000
1439242,,,,,,,
33213,,861319000.000,470528000.000,654604000.000,853395000.000,563139000.000,-278300000.000
1388180,,,,59275.000,84554.000,-343785.000,-289661.000
1517248,,,,,,,
1065696,,361483000.000,437953000.000,530180000.000,649868000.000,704627000.000,763398000.000
1161582,,-3877971.000,-1271075.000,-10942711.000,-6486070.000,-2164968.000,-2808892.000
1130888,,-871899.000,-1808580.000,,,,
1389217,,-282898.000,-1367455.000,-614687.000,-1876555.000,,
719274,,-5848000.000,-4199000.000,-4539000.000,14000.000,-3707000.000,-2344000.000
1364954,,,,,-65134000.000,-57700000.000,-40070000.000
1395317,,-92265000.000,92918000.000,-9558000.000,103751000.000,77815000.000,-121055000.000
48732,,623000000.000,639000000.000,614000000.000,596000000.000,608000000.000,627000000.000
875159,,,,,,,
1582718,,,,,,,
1455819,,-1287957.000,-635248.000,,-1198021.000,,
93389,,64899000.000,71431000.000,86863000.000,85338000.000,75860000.000,98067000.000
1070494,,-22852000.000,-20886000.000,-38297000.000,-93230000.000,-164612000.000,-272815000.000
1107332,,-291696000.000,-339803000.000,-243027000.000,,,
1210294,,-6430084.000,-8319518.000,,-14255694.000,,
1269021,,,,-84178000.000,-137566000.000,-227175000.000,-269585000.000
1593204,,,,,,-47784.000,-3028.000
1434316,,,,-17675000.000,-24904000.000,-27782000.000,-31963000.000
740670,,569000000.000,615000000.000,611000000.000,,,
788611,,,,,,,
1058290,,1136468000.000,1361496000.000,1677910000.000,1884878000.000,2142000000.000,2289000000.000
75439,,-2579000.000,-1269000.000,-818000.000,,-599000.000,-1661000.000
1582086,,,,,,,
1347613,,-20164396.000,-38235000.000,-62311000.000,-94278000.000,-99822000.000,-145286000.000
1412665,,,,,,,
759718,,,,,,,
1220606,,,,,,,
1049502,,184925000.000,74223000.000,58387000.000,135142000.000,156612000.000,157267000.000
1398235,,,,,,,
924642,,-6185000.000,-2399000.000,,-7666000.000,-6391000.000,
1355304,,-672137.000,-514806.000,,-293379.000,,
1036500,,-138511.000,-123357.000,-241023.000,,,
1451433,,,,,-1917439.000,,
107687,,,9526000.000,44398000.000,63909000.000,59419000.000,65741000.000
1001250,1089400000.000,1311700000.000,1526000000.000,1827600000.000,1606300000.000,1610300000.000,
910638,,34902000.000,60571000.000,80861000.000,26315000.000,-641924000.000,-38420000.000
1017907,,,,,,,
77597,,-21286000.000,15613000.000,,,,
318673,,,,,,,
1003410,,219352000.000,160959000.000,296000000.000,444874000.000,448396000.000,476981000.000
1108236,,,,,,,
1478726,,,,,,,
1109357,,4480000000.000,2380000000.000,3656000000.000,3096000000.000,4409000000.000,3112000000.000
920760,,193230000.000,349452000.000,828001000.000,1146945000.000,1425860000.000,
1001385,,32823000.000,27560000.000,749000.000,194000.000,-40210000.000,-13533000.000
1620928,,,,,,62036000.000,126942000.000
1476278,,,-75856.000,,,,
4447,,,,,,,
313927,,492600000.000,545100000.000,622200000.000,641200000.000,674200000.000,724200000.000
1639947,,,,,,,
1587246,,,,,-11149000.000,9063000.000,-1764000.000
852437,,4846000.000,4679000.000,7558000.000,7480000.000,,
1548953,,,,-30018.000,,,
1103025,,2277000.000,,,,,
897448,,-44161000.000,-116750000.000,-182106000.000,-95955000.000,-98222000.000,-65626000.000
1364397,,105000.000,1527000.000,4617000.000,4319000.000,-2327000.000,-1244000.000
1382134,,,,,,,
768890,,,,,,,
1449278,,,,,-1588000.000,-10835000.000,
1364250,,152474000.000,175810000.000,178691000.000,167854000.000,189527000.000,220817000.000
99780,,425300000.000,574800000.000,772900000.000,1251000000.000,1438900000.000,742200000.000
1095146,,-118549.000,-109928.000,-96784.000,,,
1564822,,,,293037000.000,512271000.000,424702000.000,479645000.000
886982,,,,,,,
859368,,183371000.000,,,,,
1497645,,,10815000.000,33248000.000,47157000.000,80010000.000,82487000.000
1436229,,-640847.000,13758.000,88671.000,-14961973.000,-8198299.000,-1456284.000
1507615,,29556000.000,64451000.000,80717000.000,206000000.000,419000000.000,487000000.000
1510295,,4061000000.000,5347000000.000,3425000000.000,4051000000.000,4692000000.000,2378000000.000
1504937,,-122259.000,-8302683.000,-3123984.000,,,
1172052,,,,,,,
31986,,180000000.000,,,,,
1127993,,-257398.000,-72566.000,-131752.000,-311156.000,-342151.000,-237232.000
831967,,,,,,,
733076,,,,,,,
71508,,2013234000.000,1301181000.000,1354999000.000,2006889000.000,-299165000.000,-886465000.000
1610418,,,,,,,
1089143,,9157000.000,9494000.000,12476000.000,12108000.000,12370000.000,
1404644,,,,,,,
1109553,,,,,,,
890926,,368512000.000,-444197000.000,-207055000.000,,,
890923,,-4729000.000,25641000.000,8097000.000,,,
1446806,,,,,,,
1507986,,,,,-1442000.000,185000.000,-8088000.000
1423586,,-515451.000,,-58616.000,-35890.000,-48435.000,-890430.000
1489588,,-319495.000,-1615234.000,,-366312.000,-498071.000,-1535394.000
1488613,,,,-41761000.000,-53283000.000,-89755000.000,-113816000.000
1085706,,,,,,,
215419,,,-120461000.000,23276000.000,38733000.000,-15401000.000,
858395,,,,,,,
752714,,88664000.000,82016000.000,80061000.000,85360000.000,76957000.000,79259000.000
1689084,,,,,,,
1556508,,,-43418.000,25841.000,-316944.000,-1592680.000,-336933.000
1444064,,,,,,,
1042074,,,,-9396000.000,-24008000.000,-25897000.000,-25586000.000
1517709,,,,,,,
1468174,,,,,,,
808326,,-32527000.000,-35625000.000,220000.000,-19108000.000,-4522000.000,2939000.000
1265888,,209024000.000,276659000.000,289294000.000,261316000.000,286556000.000,292022000.000
1434702,,,,,,,
1308711,,,,,,,
1359841,404188000.000,478281000.000,440115000.000,515186000.000,563954000.000,595118000.000,775649000.000
1422143,,-23440.000,-22341.000,-22734.000,-23907.000,,
1520874,,-115675.000,-136316.000,,,,
1230355,,-18279000.000,-29741000.000,-31462000.000,,,
918580,,4468000.000,7160000.000,619000.000,2188000.000,9909000.000,7560000.000
16058,251401000.000,299849000.000,270841000.000,257403000.000,236381000.000,264750000.000,
1071739,,190324000.000,-27121000.000,277417000.000,464000000.000,705000000.000,1260000000.000
1544597,,,-25605.000,-37926.000,-746738.000,,
1498068,,,,,,,126807000.000
1511967,,,,,,,
1091325,,18984638.000,4354460.000,-10891443.000,-13562528.000,-11421868.000,
858748,,-5518109.000,2336219.000,,,,
1652044,,,,,,19360000000.000,23716000000.000
829114,,,,,,,
1649338,,,,,,,-409000000.000
42542,,1335800000.000,,,,,
1072806,,,,,,,
1224006,,,,,,,
1304741,,,,,-68176.000,-642263.000,-62531164.000
60549,,3101000000.000,3109000000.000,2339000000.000,3272000000.000,2831000000.000,3048000000.000
1331757,,,,,,,
1161366,,189532000.000,194194000.000,194993000.000,216221000.000,235247000.000,252250000.000
1044577,,,-70166791.000,-45616598.000,,,
12040,,3127000.000,3571000.000,4637000.000,6514000.000,7401000.000,6801000.000
1289636,,4367617.000,2145427.000,8671893.000,8535699.000,-39921.000,
1528875,,,,-23185.000,-22515.000,,
1049210,,-6508000.000,21696000.000,,,,
1229146,,,,,,,
1082384,,,,,,,
949699,,11878000.000,,97924000.000,122381000.000,,
1097792,,-4137966.000,-27383877.000,1275747.000,-6906004.000,,-10582776.000
1692412,,,,,,,
1527974,,,,,,,
1653477,,,,,,,163600000.000
1337213,,-3282032.000,,,,,
1424657,,-15250.000,-299573.000,,,,
75677,,272749000.000,443459000.000,473607000.000,702700000.000,750000000.000,780300000.000
1522699,,,,,,,
58592,,-16405000.000,-3314000.000,-4203000.000,-3475000.000,,
1084267,,-2207964.000,,-5860645.000,-9932869.000,-10685351.000,-8285471.000
895051,,,,,,,
1163165,,,,,,,
1406243,,-819346.000,-2009401.000,-1096988.000,,,
1621227,,,,,,,-72799000.000
1314054,,,,,,,
1580552,,,,,,,
1645026,,,,,,361067000.000,
4281,,,,,,,
1581164,,,,312125000.000,348738000.000,500072000.000,360664000.000
216324,,-1076000.000,,,,,
1308208,,24391000.000,69157000.000,84493000.000,80835000.000,73395000.000,46580000.000
1371473,,-59000.000,-109000.000,,,,
1375576,,-2430664.000,-2369562.000,-2186419.000,-1853632.000,-548217.000,
312257,,671446.000,586710.000,965819.000,-2915612.000,196911.000,3299790.000
748270,,5569000.000,-69688000.000,,,,
1031296,,1698000000.000,2176000000.000,1607000000.000,1062000000.000,2292000000.000,-8262000000.000
1206942,,21350778.000,2882507.000,10156275.000,60247858.000,23524718.000,11706627.000
1339553,,,,,,,
748790,,-1265009.000,-3399268.000,-6647499.000,-1270402.000,,
724004,,12477000.000,13104000.000,11785000.000,15864000.000,16323000.000,16313000.000
1125280,,,-14871591.000,-5520735.000,,,
1021270,,9396000.000,6213000.000,7747000.000,4892000.000,2143000.000,-4090000.000
1035422,,-757935.000,-1194907.000,92201.000,-672162.000,,
1441573,,,,,,,
356130,,,,,,,
1471089,,,,,,,
1579241,,,,,326300000.000,358600000.000,425500000.000
1518041,,,,,,,
1486315,,,,,,,
1372664,,-10073000.000,,,,,
1378590,,-547000.000,-602000.000,-3154000.000,-5233000.000,-16102000.000,-3543000.000
1527727,,,-37323.000,-34486.000,154000.000,,-55601.000
1069530,,-3514000.000,-3897000.000,31365000.000,-12433000.000,-14202000.000,-14957000.000
1005201,,70698000.000,-30353000.000,9317000.000,236814000.000,-50400000.000,24509000.000
751364,,164427000.000,197603000.000,239248000.000,266246000.000,288655000.000,309069000.000
1412270,,,,,-77188000.000,-15419000.000,1631000.000
1382230,,,,,,,
1048268,,-35348000.000,-389000.000,426.000,7641000.000,18488000.000,24960000.000
1559865,,,,85761000.000,97348000.000,103360000.000,107145000.000
320017,,-54537140.000,-30385651.000,-36808951.000,-57740754.000,-113849166.000,
1518985,,,-168902.000,-57497.000,-438581.000,-293511.000,-222918.000
1471487,,-1164126.000,979849.000,,,,
1598683,,,,,,-35579.000,-55015.000
1341235,,,,,-7270590.000,-11989107.000,-18695978.000
707886,,,,,,,
864749,,156402000.000,212568000.000,251737000.000,260823000.000,154400000.000,181000000.000
1547546,,,,,,,
727510,,-16455000.000,-3966000.000,18159000.000,28790000.000,10800000.000,
1307345,,,,,,,
1073149,,,,,,,
830052,,-70885.000,-463593.000,-624624.000,-625266.000,,
1543395,,,-114294.000,,,,
1141719,,,,,,,
914138,,,76477000.000,68811000.000,58111000.000,52671000.000,54113000.000
1682745,,,,,,,
1564273,,,,,-18555.000,,
1366391,,-43584.000,-26797.000,,,,
831355,,-1312723.000,-226340.000,,-561379.000,-884795.000,
713002,4887000.000,14669000.000,12667000.000,,,,
30419,,,,,,,
1342287,,26245000.000,29491000.000,40041000.000,43043000.000,14383000.000,
728331,,2129159.000,1357017.000,1220997.000,313710.000,,
33992,,,,,,,
1606808,,,,,-103752.000,,
22606,,4480000000.000,2380000000.000,3656000000.000,3096000000.000,4409000000.000,3112000000.000
1561206,,,,,,,
1420033,,,,,,,
946647,,,,,,,
949373,,24518000.000,24228000.000,27864000.000,,,
1470701,,,,,,,
1174290,,,,,,,
708870,,,,,,,
1637880,,,,,,177969000.000,147006000.000
1532750,,19812000.000,-40727000.000,-55934000.000,-546945000.000,-705502000.000,
98338,,-2183.000,-715755.000,25168.000,432465.000,838876.000,
1592745,,,,,,,-721000.000
1387713,,-13891417.000,-9333040.000,-1639586.000,3547456.000,-1860000.000,-248000.000
1115836,,-4187000.000,41885000.000,13750000.000,54441000.000,61545000.000,58672000.000
1365916,,-179172000.000,-201822000.000,-119616000.000,-99828000.000,-148533000.000,-95924000.000
1427352,,-1163817.000,-319575.000,,,,
1331465,,,,,,,
1610466,,,,,101300000.000,197800000.000,160500000.000
1584831,,,,,,,
805022,,188874000.000,339208000.000,478041000.000,495347000.000,604116000.000,733342000.000
1646188,,,,,,,-34580.000
1116112,,-823290.000,,,,,
1437557,,-11704044.000,-30006338.000,-4049129.000,-12017098.000,-32819497.000,-18631000.000
1436164,,,-816847.000,-38116.000,,,
1478974,,-115866.000,-78997.000,,,,
1558009,,,,,,-6583175.000,
1359425,,32817000.000,21140000.000,,,,
1383534,,,,,,,
1275187,,-2962000.000,7094000.000,13448000.000,-994000.000,1018000.000,
1302834,,-225000.000,,,,,
1512499,,,,-748654.000,-1052701.000,15502000.000,13981000.000
1254419,,42117000.000,85198000.000,90743000.000,46461000.000,,
1343719,,483284000.000,361805000.000,280411000.000,-2710891000.000,-3017425000.000,
1502774,,,-2886616.000,-13315973.000,,,
1169652,,,,-14365000.000,-34008000.000,-21193000.000,-13837000.000
1055355,,,,,,,
1527622,,24861000.000,25935000.000,46091000.000,83013000.000,92823000.000,
861955,,,,,,,
1263762,,,,,,,
1100380,,,,,,,
110027,,,,,,,
27879,,637000000.000,670000000.000,668000000.000,604000000.000,673000000.000,3112000000.000
1179500,,,,,,,
1368775,,,,,,,
1662706,,,,,,,
1111284,,,,,,,
314197,,,,,,,
1124524,,-7434678.000,-6324458.000,-5078375.000,-5593032.000,-8740896.000,
1009759,,-31737000.000,-21958000.000,-15314000.000,-30909000.000,-24491000.000,-24250000.000
1418065,,,51526.000,-1602663.000,,,
1262823,,446796000.000,615351000.000,953464000.000,1123991000.000,959827000.000,581454000.000
1501756,,,,,-24402000.000,-47823000.000,-115284000.000
87050,,-2044000.000,-9162000.000,-12971000.000,-14191000.000,-7696000.000,-5144000.000
1667489,,,,,,,2784618.000
1526726,,,-38389.000,-32211.000,-72563.000,-139081.000,-108027.000
1517228,,,,,577449000.000,181593000.000,574750000.000
1267425,,,,,,,
1011835,,-42930000.000,-26214000.000,-22241000.000,281846000.000,414613000.000,
1405041,,142000000.000,-39000000.000,31000000.000,,11000000.000,-84000000.000
890447,,3974388.000,2391250.000,7051203.000,-10494621.000,-14093041.000,-10112514.000
1325814,,,,,,,
1362516,,-1204036.000,-1249212.000,,-224885.000,-305832.000,-460139.000
1653629,,,,,,,
1533427,,,,,,,
860546,,4122000.000,95965000.000,141910000.000,131612000.000,120094000.000,52410000.000
1362004,,58884000.000,65620000.000,64685000.000,69362000.000,75231000.000,82793000.000
1657250,,,,,,,
