SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,12832000.000,11481000.000,10637000.000,9389000.000,8677000.000,7788000.000,6380000.000,5954000.000,7447000.000,7289000.000,7037000.000,6629000.000,,,,,,,,,,,,,
1133116,,,,5064.000,4979.000,3879.000,3335.000,2685.000,1788.000,1195.000,639.000,515.000,403.000,323.000,272.000,233.000,193.000,,,,,,,,,
912513,1123900000.000,1132800000.000,1105200000.000,1114500000.000,1124700000.000,699400000.000,805600000.000,835300000.000,872100000.000,939400000.000,1013700000.000,1047000000.000,1070200000.000,1107600000.000,1114600000.000,1121400000.000,1101500000.000,1113300000.000,1110700000.000,,,,,,,
1101026,,,124788.000,83546.000,65613.000,,,13203.000,0.000,0.000,100000.000,93750.000,87500.000,81250.000,75000.000,68750.000,62500.000,56250.000,50000.000,43750.000,37500.000,31250.000,25000.000,18750.000,12500.000,
23197,30491000.000,28177000.000,25661000.000,,24515000.000,23879000.000,21861000.000,,21238000.000,20858000.000,19620000.000,,20332000.000,19820000.000,17674000.000,,17448000.000,16470000.000,14477000.000,,13839000.000,38667000.000,37186000.000,,35759000.000,33981000.000
1431880,,,295000.000,,,,,,,,,,,,,,,,,,,,,,,
1540615,,,,,,,,,,,,,,,,,,,,,,,,,,
1456137,,7391250.000,7323046.000,8050582.000,7838147.000,,11881687.000,11532498.000,11220196.000,10981583.000,26274217.000,,,,,,,,,,,,,,,
1069258,,61500000.000,81600000.000,73000000.000,72700000.000,72400000.000,84600000.000,85600000.000,84000000.000,83500000.000,84500000.000,84800000.000,84000000.000,84200000.000,82600000.000,82600000.000,81500000.000,60900000.000,60700000.000,56200000.000,53800000.000,51200000.000,47300000.000,49800000.000,50800000.000,55000000.000
887936,70834000.000,71983000.000,75027000.000,74448000.000,71807000.000,68807000.000,66933000.000,68192000.000,66706000.000,65607000.000,66300000.000,79007000.000,85993000.000,83495000.000,83520000.000,82163000.000,79389000.000,80527000.000,77716000.000,74760000.000,71263000.000,68764000.000,66422000.000,61856000.000,59474000.000,60280000.000
70487,,13804000.000,13888000.000,13613000.000,13511000.000,13124000.000,12907000.000,12493000.000,12192000.000,12089000.000,12040000.000,11898000.000,11725000.000,12179000.000,11943000.000,12143000.000,11604000.000,11743000.000,11161000.000,11125000.000,11631000.000,11843000.000,11659000.000,11806000.000,12133000.000,
13055,,,29162.000,,,,,,,,,,,,,,,,,,,,,,,
946486,,2839000.000,2585000.000,2293000.000,2143000.000,2235000.000,1995000.000,1737000.000,1660000.000,1493000.000,1417000.000,1656000.000,2007000.000,2178000.000,1772000.000,1637000.000,1665000.000,1245000.000,1186000.000,1039000.000,1100000.000,1048000.000,1022000.000,1054000.000,1018000.000,
36146,141524000.000,140640000.000,141639000.000,142582000.000,156158000.000,156089000.000,155467000.000,154841000.000,210789000.000,210845000.000,208837000.000,207283000.000,203771000.000,201639000.000,200474000.000,200781000.000,198039000.000,196220000.000,196558000.000,195656000.000,194453000.000,192732000.000,190930000.000,184987000.000,183311000.000,
1393631,,,,,,1374827.000,1379400.000,1429773.000,1456795.000,6976047.000,6110244.000,5837806.000,6208351.000,6121892.000,5654859.000,,,,,,,,,,,
1377013,13562000000.000,13583000000.000,13506000000.000,13905000000.000,14542000000.000,14526000000.000,14510000000.000,14742000000.000,14653000000.000,14690000000.000,14627000000.000,15056000000.000,15077000000.000,15604000000.000,15794000000.000,15990000000.000,16207000000.000,16604000000.000,16746000000.000,16945000000.000,17276000000.000,,,,,
814549,,,8718000.000,8834000.000,9399000.000,10319000.000,10383000.000,10082000.000,9676000.000,9226000.000,8819000.000,8528000.000,8309000.000,21148000.000,22648000.000,24661000.000,28121000.000,32250000.000,33583000.000,34088000.000,34154000.000,34507000.000,36187000.000,37061000.000,38823000.000,
1276477,,83047000.000,,67069000.000,63241000.000,,,,,,,,,,,,,,,,,,,,,
764038,,90529000.000,90020000.000,94250000.000,93209000.000,106458000.000,105579000.000,115583000.000,110792000.000,109794000.000,184959000.000,188114000.000,187127000.000,184113000.000,173425000.000,171772000.000,171565000.000,171582000.000,174662000.000,174537000.000,176412000.000,177950000.000,179450000.000,183510000.000,203505000.000,
1610853,,,,,,,,,,,,,,,,,,,,,,,,,,
1582554,,,,,,,,,,,,,,361645.000,357733.000,339995.000,339036.000,363197.000,365542.000,377723.000,364832.000,382489.000,368822.000,356143.000,344158.000,
1459188,,,33981.000,31807.000,29635.000,27465.000,25291.000,,,,,,,,,,,,,,,,,,,
