SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,10637000.000,6380000.000,7037000.000,,,
1133116,,5064.000,2685.000,515.000,233.000,,
912513,,1114500000.000,835300000.000,1047000000.000,1121400000.000,,
1101026,,83546.000,13203.000,93750.000,68750.000,43750.000,18750.000
23197,,26638000.000,22832000.000,20333000.000,18536000.000,15370000.000,38667000.000
1431880,,,,,,,
1540615,,,,,,,
1456137,,8050582.000,11532498.000,,,,
1069258,,73000000.000,85600000.000,84800000.000,82600000.000,56200000.000,49800000.000
887936,,74448000.000,68192000.000,79007000.000,82163000.000,74760000.000,61856000.000
70487,,13613000.000,12493000.000,11898000.000,12143000.000,11125000.000,11806000.000
13055,,,,,,,
946486,,2293000.000,1737000.000,1656000.000,1637000.000,1039000.000,1054000.000
36146,,142582000.000,154841000.000,207283000.000,200781000.000,195656000.000,184987000.000
1393631,,,1429773.000,5837806.000,,,
1377013,,13905000000.000,14742000000.000,15056000000.000,15990000000.000,16945000000.000,
814549,,8834000.000,10082000.000,8528000.000,24661000.000,34088000.000,37061000.000
1276477,,67069000.000,,,,,
764038,,94250000.000,115583000.000,188114000.000,171772000.000,174537000.000,183510000.000
1610853,,,,,,,
1582554,,,,,339995.000,377723.000,356143.000
1459188,,31807.000,,,,,
1005409,,32646000.000,30518000.000,26077000.000,25065000.000,15150000.000,18405000.000
1622057,,,,,,,
1175108,,104871000.000,,,,,
927761,,,,,,,
937834,,,,,,,
1320729,,,6989.000,,,,
860131,,,,,,21037.000,19764.000
1329799,,,,,4026000.000,,
77877,,,1616706000.000,1653445000.000,1800186000.000,1937678000.000,4008266000.000
1267391,,,,,,,
1040130,,2597000.000,2132000.000,1310000.000,1569000.000,20929000.000,30164000.000
1484565,,,,,57607.000,85745.000,102560.000
1287668,,,,,,,
1262449,,,,,,,
1270400,,,,,,,
1077688,,21669000.000,22829000.000,23752000.000,22824000.000,22768000.000,25803000.000
1140184,,,7419000.000,6902000.000,,,
1361937,,,,,,,
1426800,,8218.000,6841.000,7102.000,156441.000,148609.000,214687.000
1269879,,,12585.000,26845.000,,,
889331,,118884000.000,120911000.000,150173000.000,158640000.000,162568000.000,217175000.000
1034669,,40921000.000,39155000.000,,,,
1416729,,154528.000,105279.000,,,,
1020214,,2032000.000,1698000.000,2189000.000,3781000.000,3549000.000,2985000.000
95552,,145747000.000,147544000.000,219892000.000,255035000.000,234646000.000,227403000.000
1501268,,,,,,,
1040570,,48065000.000,,,,,
1269022,,,,,,,
1594420,,,,,,,
1324482,,,,,,,
1502777,,,,,,,
911109,,79875000.000,80822000.000,85153000.000,113175000.000,131687000.000,149197000.000
1402186,,,,,,,
1549848,,,,,241325000.000,276455000.000,416950000.000
931058,,145429000.000,243595000.000,221078000.000,,,
1563004,,,,,,,
1546381,,,,,2372000.000,2485000.000,1336000.000
1487952,,53738000.000,52092000.000,49323000.000,51982000.000,56631000.000,55285000.000
1287701,,,,,,,
883107,,3713082.000,3027671.000,2464000.000,2138000.000,1861000.000,1395000.000
1084869,,,48669000.000,60147000.000,170100000.000,,171362000.000
1443157,,,,170812.000,,,
1145765,,,,,,,
1069157,,118926000.000,107517000.000,177710000.000,180900000.000,166993000.000,159923000.000
1321732,,,,,,8951000.000,21464000.000
1579717,,,,,,,
1374310,,76798000.000,74044000.000,67294000.000,66856000.000,60360000.000,55935000.000
1126956,,4588000.000,6039000.000,7694000.000,9200000.000,13700000.000,13700000.000
72316,,44204470.000,42986428.000,,,,
1230634,,,,,,,
1451929,,,,,,,
1223112,,37120000.000,44611000.000,,,,
1511863,,,,,,,
1560443,,,,8166000.000,68886000.000,,
1022652,,18496000.000,15229000.000,9901000.000,5279000.000,8812000.000,8392000.000
73605,,2331573.000,1969123.000,1176543.000,1111737.000,1056700.000,
1598924,,,,,4680.000,232180.000,
1094058,,598000.000,,,,,
1555492,,,,144529000.000,148293000.000,,
1474627,,3348533.000,2895523.000,,,,
1392902,,,,448980.000,367702.000,323615.000,221130.000
1421636,,0.000,,,6934.000,2280.000,
6494,,307440.000,266137.000,183726.000,116899.000,86960.000,63611.000
1439242,,,,,,,
33213,,6806309000.000,7715298000.000,8333762000.000,10076814000.000,11472021000.000,13162216000.000
1388180,,,170938.000,211282.000,112006.000,137399.000,132678.000
1517248,,,76904.000,,,,
1065696,,424098000.000,494379000.000,546651000.000,629987000.000,696567000.000,811576000.000
1161582,,,19372.000,53758.000,24042.000,10327.000,1890.000
1130888,,7161057.000,5511426.000,,,,
1389217,,88467.000,80311.000,86648.000,562609.000,,
719274,,611000.000,751000.000,949000.000,718000.000,837000.000,528000.000
1364954,,,,,18369000.000,19971000.000,35305000.000
1395317,,107108000.000,107035000.000,107829000.000,120107000.000,117273000.000,128019000.000
48732,,5043000000.000,5365000000.000,5834000000.000,6343000000.000,6933000000.000,7397000000.000
875159,,,,,,,
1582718,,,,,,,
1455819,,,,,,,
93389,,64039000.000,64422000.000,63646000.000,64611000.000,68882000.000,78499000.000
1070494,,151000.000,42000.000,579000.000,553000.000,2203000.000,3081000.000
1107332,,242505000.000,150604000.000,125168000.000,,,
1210294,,3202611.000,13248688.000,17240012.000,10013412.000,,
1269021,,,,2600000.000,2776000.000,6243000.000,6143000.000
1593204,,,,,23981.000,21744.000,20892.000
1434316,,,,810000.000,1200000.000,2160000.000,1579000.000
740670,,312000000.000,338000000.000,358000000.000,,,
788611,,31674.000,10393.000,11419.000,803027.000,714754.000,564933.000
1058290,,758034000.000,971486000.000,1081164000.000,1247205000.000,1271400000.000,1311000000.000
75439,,362000.000,79000.000,5000.000,,1941000.000,1557000.000
1582086,,,,,,,
1347613,,5773.000,30000.000,589000.000,642000.000,531000.000,593000.000
1412665,,26260000.000,25609000.000,27682000.000,37770000.000,76202000.000,75043000.000
759718,,7474000.000,7113000.000,,,,
1220606,,,,,,,
1049502,,72487000.000,80516000.000,77536000.000,72776000.000,68856000.000,174559000.000
1398235,,,,,,,
924642,,195000.000,21000.000,4000.000,35000.000,,
1355304,,1705631.000,1403675.000,,1542642.000,,
1036500,,,,,,,
1451433,,,,,16355.000,,
107687,,,19978000.000,20266000.000,25135000.000,37250000.000,55931000.000
1001250,1143100000.000,1231800000.000,1350700000.000,1502600000.000,1490200000.000,1583300000.000,
910638,,29594000.000,34353000.000,45208000.000,81881000.000,85995000.000,79978000.000
1017907,,,4656000.000,3512000.000,3173000.000,5141000.000,4213000.000
77597,,208074000.000,197373000.000,,,,
318673,,9300185.000,11033957.000,11523160.000,11307714.000,11441660.000,8791522.000
1003410,,,,,,,
1108236,,2355000.000,1888000.000,1500000.000,1518000.000,1407000.000,1362000.000
1478726,,,,21750756.000,20571541.000,19660012.000,28078591.000
1109357,,32570000000.000,45186000000.000,47330000000.000,52087000000.000,57439000000.000,71555000000.000
920760,,319245000.000,313621000.000,,143164000.000,115557000.000,
1001385,,152846000.000,152545000.000,143061000.000,132595000.000,131848000.000,118101000.000
1620928,,,,,,578026000.000,805027000.000
1476278,,,91841.000,,,,
4447,,24712000000.000,28807000000.000,28771000000.000,27517000000.000,26352000000.000,23595000000.000
313927,,506000000.000,586000000.000,594100000.000,616200000.000,609600000.000,588600000.000
1639947,,,,,,,
1587246,,,,,24340000.000,18337000.000,14619000.000
852437,,2711000.000,2638000.000,2583000.000,1053000.000,,
1548953,,,,,,,
1103025,,4003000.000,,,,,
897448,,432000.000,811000.000,579000.000,381000.000,243000.000,78000.000
1364397,,,,,,,
1382134,,16107.000,,,,,
768890,,,,,,,
1449278,,,,,3902000.000,8585000.000,
1364250,,,,,,1448000.000,1093000.000
99780,,4179500000.000,4299000000.000,4770600000.000,4902900000.000,5348000000.000,5966800000.000
1095146,,,,,,,
1564822,,,,523270000.000,605906000.000,631109000.000,723345000.000
886982,,8697000000.000,,,,,
859368,,25081000.000,,,,,
1497645,,498876238.000,,,,,
1436229,,1027.000,6076.000,27180.000,190190.000,489420.000,
1507615,,136264000.000,274372000.000,1368301000.000,3306000000.000,3450000000.000,3444000000.000
1510295,,12228000000.000,12643000000.000,13921000000.000,16261000000.000,25164000000.000,25765000000.000
1504937,,,,,,,
1172052,,,,10664000.000,8285000.000,8418000.000,8946000.000
31986,,2468000000.000,,,,,
1127993,,5414616.000,5982281.000,5793371.000,5664245.000,5255728.000,4467664.000
831967,,,,,,,
733076,,,0.000,,,,
71508,,260436000.000,256039000.000,199375000.000,213791000.000,219999000.000,233641000.000
1610418,,,,,622746000.000,866309000.000,878560000.000
1089143,,1795000.000,2153000.000,2466000.000,2326000.000,2839000.000,
1404644,,,,,104694.000,89000.000,849000.000
1109553,,,,,,,
890926,,11044000.000,7456000.000,10516000.000,27248000.000,46802000.000,70665000.000
890923,,215083000.000,215650000.000,209621000.000,,,
1446806,,181110196.000,161940646.000,146570694.000,122750939.000,108795539.000,20583746.000
1507986,,,,1252000.000,1226000.000,1979000.000,2125000.000
1423586,,,,,,,
1489588,,4403.000,3057.000,1618.000,3732.000,87668.000,64562.000
