SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,24416000.000,21790000.000,,36138000.000,25152000.000,20009000.000,20194000.000,28304000.000,22609000.000,20656000.000,20616000.000,25531000.000,,,,,,,,,,,,,
1133116,,0.000,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,
912513,766000000.000,797900000.000,778400000.000,730800000.000,783300000.000,404000000.000,455400000.000,65400000.000,477400000.000,513800000.000,464000000.000,479900000.000,489000000.000,527200000.000,507500000.000,484800000.000,515000000.000,508200000.000,497400000.000,,,,,,,
1101026,,,35648.000,,0.000,,,,0.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
23197,162811000.000,131081000.000,113361000.000,,99141000.000,112775000.000,90953000.000,,74577000.000,84411000.000,83368000.000,,85499000.000,88905000.000,76391000.000,,81802000.000,71633000.000,64117000.000,,70323000.000,152377000.000,135786000.000,,139028000.000,127792000.000
1431880,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,
1540615,,,,,,34245.000,,,32275.000,,,,,41930.000,,,0.000,0.000,,,,,,,,
1456137,,,,,,,,,,,,,,,,,,,,,,,,,,
1069258,,171100000.000,211000000.000,,215000000.000,219800000.000,,,252800000.000,235200000.000,226400000.000,-613500000.000,200100000.000,229300000.000,217100000.000,221500000.000,182500000.000,160500000.000,161700000.000,152400000.000,153000000.000,168200000.000,165400000.000,182100000.000,167800000.000,185700000.000
887936,361816000.000,400437000.000,413802000.000,390713000.000,395228000.000,396243000.000,386055000.000,399345000.000,407178000.000,414613000.000,414643000.000,415998000.000,425552000.000,454324000.000,451178000.000,425158000.000,432338000.000,449137000.000,455470000.000,442204000.000,470285000.000,460147000.000,438042000.000,441920000.000,446344000.000,444715000.000
70487,,18316000.000,18549000.000,,22407000.000,20632000.000,21386000.000,21996000.000,24906000.000,22354000.000,22407000.000,22923000.000,26030000.000,24001000.000,23682000.000,25124000.000,26270000.000,24464000.000,25244000.000,26365000.000,27870000.000,26114000.000,27032000.000,28368000.000,30276000.000,
13055,,,6252.000,,,,,,,,,,,,,,,,,,,,,,,
946486,,,,,,,,,,,,,31000.000,1093000.000,527000.000,1184000.000,191000.000,75000.000,66000.000,655000.000,75000.000,106000.000,961000.000,900000.000,,
36146,,,,,,,,,,,,,,,,,,,,,,,,,,
1393631,,,,,,2389725.000,2910099.000,,3759124.000,,20366673.000,,17914253.000,16779445.000,5272113.000,,,,,,,,,,,
1377013,4827000000.000,4944000000.000,4911000000.000,4993000000.000,5134000000.000,5404000000.000,5363000000.000,5485000000.000,5475000000.000,5550000000.000,5518000000.000,5577000000.000,5582000000.000,5726000000.000,5714000000.000,5790000000.000,5777000000.000,5926000000.000,5922000000.000,6072000000.000,6191000000.000,,,,,
814549,,,42602000.000,,43827000.000,47716000.000,53804000.000,54023000.000,52566000.000,51004000.000,50293000.000,50847000.000,51404000.000,51476000.000,50808000.000,60633000.000,63753000.000,64712000.000,66813000.000,70204000.000,71066000.000,72574000.000,74608000.000,80046000.000,79103000.000,
1276477,,55719000.000,,,51853000.000,,,,,,,,,,,,,,,,,,,,,
764038,,,,,,,,,,,,,,,,,,,,,,,,,,
1610853,,,,,,,,,,,,,,,,,,,,,,,,,,
1582554,,,,,,,,,,,,,,,,,,,59858.000,,0.000,0.000,0.000,0.000,14969.000,
1459188,,,193271.000,,221415.000,113732.000,105746.000,,,,,,,,,,,,,,,,,,,
1005409,,,,,,,,,,,,,,,,,,,,,,,,,,
1622057,,,,,,,,,,,,,,,,,,,,,,600000.000,2400000.000,,,
1175108,,122437000.000,122806000.000,,116957000.000,116544000.000,113782000.000,,,,,,,,,,,,,,,,,,,
927761,,,,,,,,,,,,,,,,,,,,,,,,,,
937834,,,,,,,,,,,8018000000.000,,9037000000.000,9252000000.000,9857000000.000,10585000000.000,9862000000.000,8833000000.000,10772000000.000,9304000000.000,8794000000.000,9082000000.000,9876000000.000,8738000000.000,8645000000.000,
1320729,,,13855882.000,,13007160.000,8620964.000,,,12400975.000,,13872602.000,,25713759.000,,,,,,,,,,,,,
860131,,,10944633.000,,,,,,,,,,,,,,,,,,3000.000,4500.000,,,208639.000,
1329799,,,,,,,,,,,,,,,,,,,,,,,,,,
77877,,113430000.000,144982000.000,,100346000.000,106045000.000,41181000.000,108561000.000,71826000.000,121305000.000,77116000.000,141067000.000,130262000.000,109472000.000,224556000.000,391917000.000,144632000.000,50960000.000,231100000.000,168634000.000,90831000.000,20097000.000,163890000.000,108097000.000,273707000.000,
1267391,,,0.000,,,,,,,,,,,,,,,,,,,,,,,
1040130,,,,,,,,,,,,,,,,,,,,,,,,,,
1484565,,,,,,,,,,,,,,,,,22000.000,97000.000,247000.000,241472.000,,,329000.000,,265000.000,
1287668,,,,,,,,,,,,,,,,,,,,,,,,,,
1262449,,392160000.000,393512000.000,,,,,,,,,,,,,,,,,,,,,,,
1270400,,,,,,,,,,,,,,,,,,,,,,,,,,
1077688,,,,,,50185000.000,56803000.000,,,56295000.000,55301000.000,,,,,,,,,,,,,,,
1140184,,,,,,,,,155950000.000,173939000.000,167777000.000,169181000.000,158107000.000,182875000.000,178641000.000,,,,,,,,,,,
1361937,,69593000.000,64389000.000,,77731000.000,63552000.000,68701000.000,75496000.000,73702000.000,81602000.000,81414000.000,78594000.000,95339000.000,89360000.000,84531000.000,70175000.000,47242000.000,44456000.000,38321000.000,47952000.000,38250000.000,42831000.000,51372000.000,52441000.000,56987000.000,
1426800,,,,,,,,,,,,,,,,,,,,,,,,,,
1269879,,,,,193216.000,,,,79451.000,,51638.000,,112424.000,120220.000,234468.000,,,,,,,,,,,
889331,,176615000.000,173987000.000,,160578000.000,175853000.000,172688000.000,158794000.000,170918000.000,187766000.000,201040000.000,198129000.000,206859000.000,220908000.000,217608000.000,206620000.000,210313000.000,222021000.000,215510000.000,,,219398000.000,280331000.000,284518000.000,,285441000.000
1034669,,40350000.000,39700000.000,,33932000.000,42270000.000,39895000.000,52107000.000,36791000.000,42067000.000,,,,,,,,,,,,,,,,
1416729,,,,,4725818.000,,13447.000,,,,,,,,,,,,,,,,,,,
1020214,,,9249000.000,,8782000.000,9224000.000,8252000.000,10528000.000,,,,,,,,,,,,,,,,,,
95552,,,,,,215053000.000,193926000.000,,206441000.000,198993000.000,191619000.000,192511000.000,183390000.000,198966000.000,176419000.000,186672000.000,173729000.000,183940000.000,175656000.000,194621000.000,186065000.000,182709000.000,175580000.000,188323000.000,174220000.000,
1501268,,,,,,,,,,,,,,,,,3000.000,,,,,,,,,
1040570,,87206000.000,85769000.000,,89283000.000,88394000.000,87109000.000,,,,,,,,,,,,,,,,,,,
1269022,,,,,,,,,,,,,,,,,,,,,,,,,,
1594420,,,,,,,,,,,,,0.000,,,,,,,,,,,,,
1324482,,,,,218137000.000,218671000.000,166885000.000,,,,,,,,,,,,,,,,,,,
1502777,,,,,3024.000,107483.000,149325.000,,130448.000,98008.000,,,,,,,,,,,,,,,,
911109,82859000.000,90523000.000,95141000.000,,87923000.000,94150000.000,100879000.000,98307000.000,97941000.000,97522000.000,105487000.000,105536000.000,102404000.000,106533000.000,113322000.000,123215000.000,132629000.000,130288000.000,133343000.000,134517000.000,124533000.000,124849000.000,128853000.000,130387000.000,123527000.000,126690000.000
1402186,,2507962.000,,,,,,,,,,,,,,,,,,,,,,,,
1549848,,,,,,,,,,,,,55828000.000,82724000.000,102316000.000,145679000.000,102111000.000,83958000.000,81494000.000,72077000.000,52148000.000,38429000.000,46556000.000,67297000.000,83364000.000,
931058,,104114000.000,100813000.000,,103200000.000,,133076000.000,,140992000.000,,163110000.000,,166241000.000,,192063000.000,,,,,,,,,,,
1563004,,,,,,,,,,,,,,,,,,,,,,,,,,
