SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,102983000.000,101493000.000,92185000.000,,,
1133116,,0.000,,,,,
912513,,3073100000.000,1708100000.000,1935000000.000,2007700000.000,,
1101026,,103891.000,0.000,0.000,0.000,0.000,0.000
23197,,612379000.000,425070000.000,319797000.000,347150000.000,307289000.000,411004000.000
1431880,,0.000,0.000,,,,
1540615,,,,,47930.000,,
1456137,,,,,,,
1069258,,723100000.000,969200000.000,100900000.000,868000000.000,657100000.000,668700000.000
887936,,1566768000.000,1576871000.000,1652432000.000,1756212000.000,1779149000.000,1810394000.000
70487,,75767000.000,86421000.000,92590000.000,98837000.000,102343000.000,109384000.000
13055,,,,,,,
946486,,,,,2835000.000,987000.000,2042000.000
36146,,,,,,,
1393631,,,9772966.000,74423658.000,,,
1377013,,19675000000.000,21386000000.000,22120000000.000,22812000000.000,23697000000.000,
814549,,168969000.000,199370000.000,204710000.000,214321000.000,265482000.000,298294000.000
1276477,,225203000.000,,,,,
764038,,,,,,,
1610853,,,,,,,
1582554,,,,,,194494.000,0.000
1459188,,775155.000,,,,,
1005409,,,,,,,
1622057,,,,,,,3000000.000
1175108,,483791000.000,,,,,
927761,,,,,,,
937834,,,,35300000000.000,38731000000.000,38771000000.000,36490000000.000
1320729,,,50513644.000,,,,
860131,,,,,,190505.000,30691.000
1329799,,,,,,,
77877,,395960000.000,356133000.000,411314000.000,856207000.000,595326000.000,382915000.000
1267391,,,,,,,
1040130,,,,,,,
1484565,,,,,,607472.000,1450788.000
1287668,,,,,,,
1262449,,,,,,,
1270400,,,,,,,
1077688,,222505000.000,218359000.000,,,,
1140184,,,681129000.000,666847000.000,,,
1361937,,261840000.000,285480000.000,315312000.000,339405000.000,177971000.000,184894000.000
1426800,,,,,,,
1269879,,1268985.000,520874.000,227525.000,,,
889331,,664955000.000,667913000.000,757853000.000,851995000.000,867864000.000,1056159000.000
1034669,,163968000.000,168204000.000,,,,
1416729,,6944315.000,,,,,
1020214,,33044000.000,36786000.000,39657000.000,36416000.000,,39275000.000
95552,,,821454000.000,789564000.000,745447000.000,727946000.000,732677000.000
1501268,,,,,,3000.000,
1040570,,356407000.000,,,,,
1269022,,,,,,,
1594420,,,,,,,
1324482,,,,,,,
1502777,,,227187.000,,,,
911109,,364428000.000,381259000.000,406486000.000,445474000.000,530777000.000,508622000.000
1402186,,,,,,,
1549848,,,75634000.000,,386547000.000,339640000.000,204430000.000
931058,,400003000.000,553462000.000,652363000.000,,,
1563004,,,,,,,
1546381,,,,,137689000.000,124917000.000,
1487952,,238107000.000,217616000.000,240275000.000,250823000.000,232178000.000,224929000.000
1287701,,211210000.000,36821000.000,56704000.000,107940000.000,,
883107,,9650787.000,10036705.000,9590000.000,9936000.000,10313000.000,10783000.000
1084869,,,716257000.000,756345000.000,1121506000.000,,1173024000.000
1443157,,,,348494.000,,,
1145765,,,,,,,
1069157,,,,,,,
1321732,,,,,,186095000.000,263317000.000
1579717,,,,,,,
1374310,,508144000.000,512338000.000,572050000.000,617225000.000,634545000.000,656946000.000
1126956,,,,1017019000.000,1627200000.000,1976400000.000,
72316,,14488727.000,8141816.000,,,,
1230634,,25000.000,,,,,
1451929,,,,,,,
1223112,,53316000.000,212523000.000,,,,
1511863,,,,,,,
1560443,,,,50675000.000,165643000.000,,
1022652,,402862000.000,344288000.000,335053000.000,185245000.000,220942000.000,243555000.000
73605,,13314725.000,12757054.000,5277837.000,,4532172.000,
1598924,,,,,26500.000,1386968.000,
1094058,,22063000.000,,,,,
1555492,,,,,,,
1474627,,21639283.000,21370325.000,,,,
1392902,,,,,,,
1421636,,105000.000,85123.000,77697.000,,,
6494,,4164652.000,3324916.000,3250800.000,2786576.000,13234882.000,3582441.000
1439242,,,,,,,
33213,,,,,,,
1388180,,,3627299.000,2540438.000,2351081.000,1637381.000,1258760.000
1517248,,,659628.000,,,,
1065696,,3269862000.000,4122930000.000,5062528000.000,6740064000.000,7192633000.000,8584031000.000
1161582,,498736.000,1450745.000,4901245.000,8537676.000,3499642.000,1231281.000
1130888,,70495597.000,66440789.000,,,,
1389217,,,,,,,
719274,,13116000.000,2927000.000,1477000.000,1467000.000,14596000.000,16267000.000
1364954,,,,,304834000.000,301373000.000,254090000.000
1395317,,,,,,,
48732,,2337000000.000,2540000000.000,2577000000.000,2846000000.000,2846000000.000,3059000000.000
875159,,6696803000.000,7230480000.000,7541234000.000,6602267000.000,9308926000.000,10546086000.000
1582718,,,,,,,
1455819,,714062.000,84378.000,,841724.000,,
93389,,,948916000.000,983704000.000,980392000.000,971975000.000,
1070494,,2067000.000,4907000.000,1145000.000,120000.000,61000.000,17331000.000
1107332,,341613000.000,325530000.000,283746000.000,,,
1210294,,,,,4196277.000,,
1269021,,,,,,,
1593204,,,,,91307.000,105839.000,41630.000
1434316,,,,971000.000,,2431000.000,
740670,,,,,,,
788611,,,,,,,966422.000
1058290,,6121156000.000,7346472000.000,8843189000.000,10262681000.000,12416000000.000,13487000000.000
75439,,24000.000,198000.000,24000.000,,9887000.000,9238000.000
1582086,,,,,44600000.000,38100000.000,42600000.000
1347613,,,,,,,0.000
1412665,,,,,,,
759718,,,,,,,
1220606,,5578301.000,-1013278.000,8849232.000,,,
1049502,,822517000.000,643508000.000,669420000.000,780869000.000,813524000.000,1295342000.000
1398235,,,,,,,
924642,,3663000.000,0.000,,,,
1355304,,2637127.000,2804221.000,,7501943.000,,
1036500,,2200.000,,,,,
1451433,,,,,2402769.000,,
107687,,,581679000.000,803165000.000,945163000.000,976505000.000,975226000.000
1001250,8810000000.000,9713600000.000,10181700000.000,10968800000.000,10780400000.000,11262300000.000,
910638,,230423000.000,353633000.000,513400000.000,653652000.000,666163000.000,632965000.000
1017907,,,228059000.000,240512000.000,263194000.000,331892000.000,389623000.000
77597,,,1149355000.000,,,,
318673,,159589384.000,234260169.000,215315020.000,226936674.000,283161000.000,307208416.000
1003410,,1274274000.000,1109440000.000,1081790000.000,1164704000.000,949432000.000,902244000.000
1108236,,,,,,,
1478726,,,,,,,
1109357,,18924000000.000,23489000000.000,24888000000.000,27429000000.000,29447000000.000,31360000000.000
920760,,3095385000.000,4104706000.000,5935095000.000,7779812000.000,9474008000.000,
1001385,,511668000.000,524503000.000,475556000.000,403298000.000,236608000.000,156256000.000
1620928,,,,,,114459000.000,201623000.000
1476278,,500.000,3267825.000,2056307.000,,,
4447,,37871000000.000,38373000000.000,24421000000.000,11439000000.000,6561000000.000,4844000000.000
313927,,,,,,,
1639947,,,,,,327941000.000,347904000.000
1587246,,,,,404418000.000,371191000.000,297997000.000
852437,,89377000.000,82503000.000,91596000.000,86699000.000,,
1548953,,,0.000,984.000,,,
1103025,,49368000.000,,,,,
897448,,,,26351000.000,54202000.000,81756000.000,130084000.000
1364397,,,,,,,
1382134,,6300000.000,,,,,
768890,,,,,,,
1449278,,,,,,,
1364250,,575337000.000,578999000.000,591536000.000,599539000.000,635774000.000,742551000.000
99780,,3075100000.000,3811900000.000,4365300000.000,6170000000.000,6392700000.000,4590600000.000
1095146,,0.000,0.000,0.000,,,
1564822,,,,2463802000.000,2591183000.000,2655792000.000,3127938000.000
886982,,,,,,,
859368,,721126000.000,,,,,
1497645,,,189542000.000,298958000.000,403466000.000,463455000.000,473935000.000
1436229,,,,,38214.000,506190.000,355212.000
1507615,,80946000.000,156839000.000,305476000.000,600000000.000,1112000000.000,1220000000.000
1510295,,78638000000.000,82289000000.000,100212000000.000,97928000000.000,72163000000.000,
1504937,,20000.000,,,,,
1172052,,660158000.000,703867000.000,745284000.000,778797000.000,797953000.000,819822000.000
31986,,509000000.000,,,,,
1127993,,1288330.000,1865468.000,1883837.000,1497813.000,1142484.000,1087411.000
831967,,,,,,,
733076,,8529000000.000,8117000000.000,5416000000.000,6903000000.000,7104000000.000,1180000000.000
71508,,11229073000.000,10302079000.000,,,,
1610418,,,,,130172000.000,203423000.000,239211000.000
1089143,,48359000.000,49090000.000,60571000.000,61684000.000,60954000.000,
1404644,,,,,,,
1109553,,,,,,,
890926,,1947843000.000,825408000.000,758987000.000,1072685000.000,1193253000.000,1238452000.000
890923,,151686000.000,186337000.000,140451000.000,,,
1446806,,46797113.000,58742744.000,50233891.000,40870031.000,36268570.000,21950386.000
1507986,,,,,33447000.000,43322000.000,56330000.000
1423586,,,,,,,
1489588,,16824.000,7350.000,,1646947.000,2157929.000,1086971.000
1488613,,,,28990000.000,61079000.000,93203000.000,116865000.000
1085706,,,,,,,
215419,,,692832000.000,690316000.000,662040000.000,587157000.000,
858395,,,,,,,
752714,,342670000.000,364074000.000,379320000.000,408122000.000,404544000.000,424080000.000
1689084,,,,,,,
1556508,,,44445.000,15537875.000,20846119.000,18728148.000,16166777.000
1444064,,,,,,,
1042074,,,,,,,
1517709,,,,,,,
1468174,,3698000000.000,3949000000.000,4184000000.000,4415000000.000,4328000000.000,4429000000.000
808326,,200928000.000,163781000.000,168147000.000,174778000.000,81685000.000,91998000.000
1265888,,,,,,,
1434702,,,,,,,
1308711,,52494000.000,42004000.000,55068000.000,55487000.000,55391000.000,54364000.000
