SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003130,,18813000.000,18838000.000,,19090000.000,18991.000,19017.000,-146008.000,19283000.000,19195000.000,19241000.000,-38520000.000,19284000.000,,,,,,,,,,,,,
1133116,,,,,,,,,,,,,,,,,,,,,,,,,,
912513,,49918000.000,48834000.000,,46630000.000,46963000.000,47153000.000,-93960000.000,45853000.000,41577000.000,36948000.000,-84194000.000,36648000.000,36766000.000,73667000.000,-73706000.000,72848000.000,73144000.000,73408000.000,,,,,,,
1101026,,,,,,,,,,,,,,,,,129559474.000,130440688.000,,,,,,,,
23197,32983000.000,32378000.000,29147000.000,,26056000.000,24910000.000,23444000.000,,17401000.000,16827000.000,22698000.000,,22487000.000,21764000.000,16513000.000,,16505000.000,-32982000.000,16194000.000,,16205000.000,16195000.000,23385000.000,,23445000.000,23503000.000
1431880,,,,,,,,,,,,,,,,,,,,,,,,,,
1540615,,,,,,,,,,,,,,,,,,,,,,,,,,
1456137,,,,,,,,,,,,,,,,,,,,,,,,,,
1069258,,23800000.000,30800000.000,,32500000.000,41700000.000,,,56600000.000,56600000.000,57100000.000,,,,,,,,60000000.000,,59600000.000,,60500000.000,,,
887936,,42518000.000,42267000.000,,43185000.000,42074000.000,41102000.000,-86045000.000,40620000.000,40293000.000,39094000.000,-80819000.000,40457000.000,40750000.000,40819000.000,-81297000.000,41324000.000,41696000.000,41982000.000,-83273000.000,41148000.000,41599000.000,42065000.000,-83103000.000,41245000.000,39555000.000
70487,,6855000.000,6850000.000,,6907000.000,6943000.000,6961000.000,-13860000.000,7021000.000,,,,,,,,,,,,,,,,,
13055,,,6075768573.000,,,,,,,,,,,,,,,,,,,,,,,
946486,,24027.000,24106.000,,27162000.000,,,,,49866000.000,54792000.000,,,85882000.000,85209000.000,,,85753000.000,105696000.000,,,,,,,
